Treatment_ID,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24
Notes,"A (HFC, ancestor invades)","B (HFC, mutant fails to invade)","C (LFC, mutant invades)","D (LFC, ancestor fails to invade)",A full invasion sim,,,,,,,,,,,,,,,,,,,
psiA1,0.29,0.29,0.29,0.29,0.29,,,,,,,,,,,,,,,,,,,
psiM1,0.39,0.39,0.39,0.39,0.39,,,,,,,,,,,,,,,,,,,
psiF1,0.35,0.35,0.35,0.35,0.35,,,,,,,,,,,,,,,,,,,
psiA2,0.29,0.29,0.29,0.29,0.29,,,,,,,,,,,,,,,,,,,
psiM2,0.39,0.39,0.39,0.39,0.39,,,,,,,,,,,,,,,,,,,
psiF2,0.35,0.35,0.35,0.35,0.35,,,,,,,,,,,,,,,,,,,
gammaA1.F1,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,,,,,,,,,,,,,,,,,,
gammaA2.F1,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,,,,,,,,,,,,,,,,,,
gammaM1.F1,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,,,,,,,,,,,,,,,,,,
gammaM2.F1,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,,,,,,,,,,,,,,,,,,
gammaA1.F2,9.50E-12,9.50E-12,9.50E-12,9.50E-12,9.50E-12,,,,,,,,,,,,,,,,,,,
gammaA2.F2,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,,,,,,,,,,,,,,,,,,
gammaM1.F2,1.40E-14,1.40E-14,1.40E-14,1.40E-14,1.40E-14,,,,,,,,,,,,,,,,,,,
gammaM2.F2,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,,,,,,,,,,,,,,,,,,
gammaA1.F1_base,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,,,,,,,,,,,,,,,,,,
gammaA2.F1_base,9.50E-12,9.50E-12,9.50E-12,9.50E-12,9.50E-12,,,,,,,,,,,,,,,,,,,
gammaM1.F1_base,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,,,,,,,,,,,,,,,,,,
gammaM2.F1_base,1.40E-14,1.40E-14,1.40E-14,1.40E-14,1.40E-14,,,,,,,,,,,,,,,,,,,
gammaA1.F2_base,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,,,,,,,,,,,,,,,,,,
gammaA2.F2_base,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,,,,,,,,,,,,,,,,,,
