Treatment_ID,O,A.1,A.1_full,A.2,A.2_full,C.1,C.1_full,C.2,C.2_full,E,F
Notes,Original invasion of A mutant,"A (HFC, ancestor invades, liquid)","A Anc full invasion sim, liquid","A (HFC, ancestor invades, solid)","A Anc full invasion sim, solid","C (LFC, mutant invades, liquid)","C Mut full invasion sim, liquid","C (LFC, mutant invades, liquid)","C Mut full invasion sim, liquid",Dimitriu 90% immigration protocol with pB10 strains,Turner M treatment with pB10 strains
psiA1,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29
psiM1,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39
psiF1,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35
psiA2,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29
psiM2,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39
psiF2,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35
gammaA1.F1,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.50E-12,9.50E-12
gammaA2.F1,9.50E-12,9.50E-12,9.50E-12,9.50E-12,9.50E-12,9.50E-12,9.50E-12,9.50E-12,9.50E-12,9.50E-12,9.50E-12
gammaM1.F1,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.40E-14,1.40E-14
gammaM2.F1,1.40E-14,1.40E-14,1.40E-14,1.40E-14,1.40E-14,1.40E-14,1.40E-14,1.40E-14,1.40E-14,1.40E-14,1.40E-14
gammaA1.F2,9.50E-12,9.50E-12,9.50E-12,9.50E-12,9.50E-12,9.50E-12,9.50E-12,9.50E-12,9.50E-12,9.50E-12,9.50E-12
gammaA2.F2,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.50E-12,9.50E-12
gammaM1.F2,1.40E-14,1.40E-14,1.40E-14,1.40E-14,1.40E-14,1.40E-14,1.40E-14,1.40E-14,1.40E-14,1.40E-14,1.40E-14
gammaM2.F2,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.40E-14,1.40E-14
gammaA1.F1_base,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
gammaA2.F1_base,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
gammaM1.F1_base,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
gammaM2.F1_base,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
gammaA1.F2_base,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
gammaA2.F2_base,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
gammaM1.F2_base,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
gammaM2.F2_base,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
sigmaA1,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
sigmaM1,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
sigmaA2,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
sigmaM2,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
A1_0,1.00E+06,1.00E+04,1.00E+00,1.00E+05,1.00E+02,1.00E+07,1.00E+06,1.00E+07,1.00E+06,5.00E+00,5.00E+00
M1_0,5.00E+00,1.00E+07,1.00E+06,1.00E+07,1.00E+07,1.00E+04,1.00E+00,1.00E+05,5.00E+00,1.00E+07,1.00E+07
F1_0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
A2_0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
M2_0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
F2_0,0.00E+00,1.00E+07,0.00E+00,1.00E+07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
C,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09,1.00E+09
e,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00
Q,1.00E+07,1.00E+07,1.00E+07,1.00E+07,1.00E+07,1.00E+07,1.00E+07,1.00E+07,1.00E+07,1.00E+07,1.00E+07
Timestep,1.00E-02,1.00E-02,1.00E-02,1.00E-02,1.00E-02,1.00E-02,1.00E-02,1.00E-02,1.00E-02,1.00E-02,1.00E-02
Cycles,3,1,10,1,10,1,3,1,3,10,10
Growout,no,no,yes,no,no,no,yes,no,no,no,yes
