Treatment_ID,Dim90_copA
Notes,copA invasion in 90% immigration
psiA1,0.754
psiM1,0.738
psiF1,0.767
psiA2,0.754
psiM2,0.738
psiF2,0.767
gammaA1.F1,2.19E-11
gammaA2.F1,2.19E-11
gammaM1.F1,1.60E-10
gammaM2.F1,1.60E-10
gammaA1.F2,2.19E-11
gammaA2.F2,2.19E-11
gammaM1.F2,1.63E-14
gammaM2.F2,1.63E-14
sigmaA1,0.00E+00
sigmaM1,0.00E+00
sigmaA2,0.00E+00
sigmaM2,0.00E+00
A1_0,1.00E+06
M1_0,1.00E+04
F1_0,9.00E+06
A2_0,0.00E+00
M2_0,0.00E+00
F2_0,0.00E+00
C,1.00E+09
e,1.00E+00
Q,1.00E+07
Timestep,1.00E-02
Cycles,8
Volume,0.2
Colony_selection,volume
T_volume,0.5
Colony_bottleneck,50
Protocol,immigration
Protocol_phases,1
Selection_type,
Hours_growth,24
Hours_conjugation,
Hours_t_selection,
A_colony,
M_colony,
Final_density_t_selection,
Dilution_growth,0.01
Dilution_conjugation,
Dilution_t_selection,
A1_migrants,0
M1_migrants,0
F1_migrants,1.00E+09
A2_migrants,0
M2_migrants,0
F2_migrants,0.00E+00
Immigration_ratio,0.9
