Treatment_ID,LFC_S.pB10-A_full
Notes,"LFC, mutant invades, solid"
psiA1,0.485
psiM1,0.68
psiF1,0.535
psiA2,0.485
psiM2,0.68
psiF2,0.535
gammaA1.F1,2.30E-12
gammaA2.F1,2.30E-12
gammaM1.F1,1.63E-14
gammaM2.F1,1.63E-14
gammaA1.F2,2.30E-12
gammaA2.F2,2.30E-12
gammaM1.F2,1.63E-14
gammaM2.F2,1.63E-14
gammaA1.F1_base,0.00E+00
gammaA2.F1_base,0.00E+00
gammaM1.F1_base,0.00E+00
gammaM2.F1_base,0.00E+00
gammaA1.F2_base,0.00E+00
gammaA2.F2_base,0.00E+00
gammaM1.F2_base,0.00E+00
gammaM2.F2_base,0.00E+00
sigmaA1,0.00E+00
sigmaM1,0.00E+00
sigmaA2,0.00E+00
sigmaM2,0.00E+00
A1_0,1.00E+07
M1_0,1.00E+05
F1_0,0.00E+00
A2_0,0.00E+00
M2_0,0.00E+00
F2_0,0.00E+00
C,1.00E+09
e,1.00E+00
Q,1.00E+07
Timestep,1.00E-02
Cycles,2
Volume,5
Colony_selection,volume
T_volume,0.5
Colony_bottleneck,50
Protocol,"growth,conjugation,transconjugant_selection"
Protocol_phases,"7,1,1"
Selection_type,solid
Hours_growth,24
Hours_conjugation,5
Hours_t_selection,72
A_colony,2.96E+07
M_colony,2.36E+08
Final_density_t_selection,1.00E+07
Dilution_growth,0.001
Dilution_conjugation,0.01
Dilution_t_selection,0.1
A1_migrants,0
M1_migrants,0
F1_migrants,1.00E+07
A2_migrants,0
M2_migrants,0
F2_migrants,1.00E+07
Immigration_ratio,
