Experiment,Treatment,Cycle,Phase,Day,Time,Plate_Dilution ,Volume_plated,Replicate,Plate_label,Plate_type,Phenotype,Predicted_count,Predicted_density,Count,Density,Count_time,Plating_style,Count_type,Notes
2026-01-09_LFC,LFC,1,growth,1,0,3,100,1,LFC T0 R1 -3,Tet50/Rif75,Anc,1000,1.00E+07,1494,1.49E+07,48,dilution_plate,count,
2026-01-09_LFC,LFC,1,growth,1,0,3,100,1,LFC T0 R1 -3,Tet50/Rif75,Mut,10,1.00E+05,19,1.90E+05,48,dilution_plate,count,
2026-01-09_LFC,LFC,1,growth,1,0,3,100,2,LFC T0 R2 -3,Tet50/Rif75,Anc,1000,1.00E+07,1358,1.36E+07,48,dilution_plate,count,
2026-01-09_LFC,LFC,1,growth,1,0,3,100,2,LFC T0 R2 -3,Tet50/Rif75,Mut,10,1.00E+05,6,6.00E+04,48,dilution_plate,count,
2026-01-09_LFC,LFC,1,growth,1,0,3,100,3,LFC T0 R3 -3,Tet50/Rif75,Anc,1000,1.00E+07,1472,1.47E+07,48,dilution_plate,count,
2026-01-09_LFC,LFC,1,growth,1,0,3,100,3,LFC T0 R3 -3,Tet50/Rif75,Mut,10,1.00E+05,13,1.30E+05,48,dilution_plate,count,
2026-01-09_LFC,LFC,1,growth,1,0,3,100,4,LFC T0 R4 -3,Tet50/Rif75,Anc,1000,1.00E+07,1392,1.39E+07,48,dilution_plate,count,
2026-01-09_LFC,LFC,1,growth,1,0,3,100,4,LFC T0 R4 -3,Tet50/Rif75,Mut,10,1.00E+05,20,2.00E+05,48,dilution_plate,count,
2026-01-09_LFC,LFC,1,growth,1,0,3,100,5,LFC T0 R5 -3,Tet50/Rif75,Anc,1000,1.00E+07,1116,1.12E+07,48,dilution_plate,count,
2026-01-09_LFC,LFC,1,growth,1,0,3,100,5,LFC T0 R5 -3,Tet50/Rif75,Mut,10,1.00E+05,18,1.80E+05,48,dilution_plate,count,
2026-01-09_LFC,LFC,1,growth,1,24,6,100,1,LFC T24 R1 -6,Tet50/Rif75,Anc,50,5.00E+08,64,6.40E+08,48,dilution_plate,count,
2026-01-09_LFC,LFC,1,growth,1,24,5,100,1,LFC T24 R1 -5,Tet50/Rif75,Mut,50,5.00E+07,38,3.80E+07,48,dilution_plate,count,
2026-01-09_LFC,LFC,1,growth,1,24,6,100,2,LFC T24 R2 -6,Tet50/Rif75,Anc,50,5.00E+08,81,8.10E+08,48,dilution_plate,count,
2026-01-09_LFC,LFC,1,growth,1,24,5,100,2,LFC T24 R2 -5,Tet50/Rif75,Mut,50,5.00E+07,36,3.60E+07,48,dilution_plate,count,
2026-01-09_LFC,LFC,1,growth,1,24,6,100,3,LFC T24 R3 -6,Tet50/Rif75,Anc,50,5.00E+08,59,5.90E+08,48,dilution_plate,count,
2026-01-09_LFC,LFC,1,growth,1,24,5,100,3,LFC T24 R3 -5,Tet50/Rif75,Mut,50,5.00E+07,45,4.50E+07,48,dilution_plate,count,
2026-01-09_LFC,LFC,1,growth,1,24,6,100,4,LFC T24 R4 -6,Tet50/Rif75,Anc,50,5.00E+08,57,5.70E+08,48,dilution_plate,count,
2026-01-09_LFC,LFC,1,growth,1,24,5,100,4,LFC T24 R4 -5,Tet50/Rif75,Mut,50,5.00E+07,135,1.35E+08,48,dilution_plate,count,
2026-01-09_LFC,LFC,1,growth,1,24,6,100,5,LFC T24 R5 -6,Tet50/Rif75,Anc,50,5.00E+08,77,7.70E+08,48,dilution_plate,count,
2026-01-09_LFC,LFC,1,growth,1,24,5,100,5,LFC T24 R5 -5,Tet50/Rif75,Mut,50,5.00E+07,29,2.90E+07,48,dilution_plate,count,
2026-01-09_LFC,LFC,1,growth,2,48,6,100,1,LFC T48 R1 -6,Tet50/Rif75,Anc,50,5.00E+08,57,5.70E+08,48,dilution_plate,count,
2026-01-09_LFC,LFC,1,growth,2,48,6,100,1,LFC T48 R1 -6,Tet50/Rif75,Mut,50,5.00E+08,22,2.20E+08,48,dilution_plate,count,
2026-01-09_LFC,LFC,1,growth,2,48,6,100,2,LFC T48 R2 -6,Tet50/Rif75,Anc,50,5.00E+08,44,4.40E+08,48,dilution_plate,count,
