Experiment,Treatment,Colony_size,Plated_size,Plate_Dilution ,Volume_plated,Replicate,Plate_label,Plate_type,Phenotype,Predicted_count,Predicted_density,Count,Density,Volume_suspended,Cells_colony
2025-11-30_HFC,Anc-mono,small,small,4,100,1,small R1 -4,LB,Anc,100,1.00E+07,107,1.07E+07,0.3,3.21E+06
2025-11-30_HFC,Anc-mono,small,small,4,100,1,small R1 -4,Tet50/Nal50,Anc,100,1.00E+07,50,5.00E+06,0.3,1.50E+06
2025-11-30_HFC,Mut-mono,large,large,6,100,1,large R1 -6,LB,Mut,100,1.00E+09,79,7.90E+08,0.3,2.37E+08
2025-11-30_HFC,Mut-mono,large,large,6,100,1,large R1 -6,Tet50/Nal50,Mut,100,1.00E+09,46,4.60E+08,0.3,1.38E+08
2025-11-30_HFC,Anc-mono,small,large,5,100,2,small R2 -5,LB,Anc,100,1.00E+08,41,4.10E+07,0.3,1.23E+07
2025-11-30_HFC,Anc-mono,small,large,5,100,2,small R2 -5,Tet50/Nal50,Anc,100,1.00E+08,31,3.10E+07,0.3,9.30E+06
2025-11-30_HFC,Mut-mono,large,large,6,100,2,large R2 -6,LB,Mut,100,1.00E+09,78,7.80E+08,0.3,2.34E+08
2025-11-30_HFC,Mut-mono,large,large,6,100,2,large R2 -6,Tet50/Nal50,Mut,100,1.00E+09,57,5.70E+08,0.3,1.71E+08
2025-11-30_HFC,Anc-mono,small,mix,4,100,3,small R3 -4,LB,Anc,100,1.00E+07,292,2.92E+07,0.3,8.76E+06
2025-11-30_HFC,Anc-mono,small,mix,4,100,3,small R3 -4,Tet50/Nal50,Anc,100,1.00E+07,173,1.73E+07,0.3,5.19E+06
2025-11-30_HFC,Mut-mono,large,large,6,100,3,large R3 -6,LB,Mut,100,1.00E+09,40,4.00E+08,0.3,1.20E+08
2025-11-30_HFC,Mut-mono,large,large,6,100,3,large R3 -6,Tet50/Nal50,Mut,100,1.00E+09,40,4.00E+08,0.3,1.20E+08
2026-01-09_LFC,Anc-mono,small,small,4,100,1,small R1 -4,LB,Anc,100,1.00E+07,446,4.46E+07,0.27,1.20E+07
2026-01-09_LFC,Anc-mono,small,small,4,100,1,small R1 -4,Tet50/Nal50,Anc,100,1.00E+07,262,2.62E+07,0.27,7.07E+06
2026-01-09_LFC,Mut-mono,large,large,6,100,1,large R1 -6,LB,Mut,100,1.00E+09,112,1.12E+09,0.27,3.02E+08
