Day,Strain,Replicate,Time,Dilution,Volume.plate,Plate.type,Plate.cell.type,Counts,Density,Average,,,,,,
2025-07-23,84,1,0,3,100,Tet50,Donor,206,2.06E+06,2.72E+06,,Variable,Value,,,
2025-07-23,84,2,0,3,100,Tet50,Donor,266,2.66E+06,,,f,10,,,
2025-07-23,84,3,0,3,100,Tet50,Donor,344,3.44E+06,,,D0,2.72E+06,,,
2025-07-23,84,1,0,3,100,Nal50,Recipient,157,1.57E+06,1.65E+06,,R0,1.65E+06,,Strain,LDM_mean
2025-07-23,84,2,0,3,100,Nal50,Recipient,123,1.23E+06,,,Dt,3.94E+06,,84,2.44E-12
2025-07-23,84,3,0,3,100,Nal50,Recipient,216,2.16E+06,,,Rt,2.81E+06,,85,1.66E-14
2025-07-23,84,1,1,3,100,Tet50,Donor,391,3.91E+06,3.94E+06,,p0,0.32,,,
2025-07-23,84,2,1,4,100,Tet50,Donor,37,3.70E+06,,,t,1,,,
2025-07-23,84,3,1,4,100,Tet50,Donor,42,4.20E+06,,,,,,,
2025-07-23,84,1,1,3,100,Nal50,Recipient,359,3.59E+06,2.81E+06,,LDM estimate,1.56E-12,,,
2025-07-23,84,2,1,3,100,Nal50,Recipient,211,2.11E+06,,,,,,,
2025-07-23,84,3,1,3,100,Nal50,Recipient,272,2.72E+06,,,,,,,
2025-07-23,85,1,0,3,70,Tet50,Donor,101,1.44E+06,1.21E+06,,Variable,Value,,,
2025-07-23,85,2,0,3,100,Tet50,Donor,90,9.00E+05,,,f,10,,,
2025-07-23,85,3,0,3,100,Tet50,Donor,128,1.28E+06,,,D0,1.21E+06,,,
2025-07-23,85,1,0,3,100,Nal50,Recipient,179,1.79E+06,1.75E+06,,R0,1.75E+06,,,
2025-07-23,85,2,0,3,100,Nal50,Recipient,173,1.73E+06,,,Dt,3.16E+06,,,
2025-07-23,85,3,0,3,100,Nal50,Recipient,173,1.73E+06,,,Rt,5.12E+06,,,
2025-07-23,85,1,2,3,100,Tet50,Donor,295,2.95E+06,3.16E+06,,p0,0.95,,,
2025-07-23,85,2,2,3,100,Tet50,Donor,294,2.94E+06,,,t,2,,,
2025-07-23,85,3,2,3,100,Tet50,Donor,358,3.58E+06,,,,,,,
2025-07-23,85,1,2,3,100,Nal50,Recipient,447,4.47E+06,5.12E+06,,LDM estimate,3.53E-14,,,
2025-07-23,85,2,2,3,100,Nal50,Recipient,522,5.22E+06,,,,,,,
2025-07-23,85,3,2,3,100,Nal50,Recipient,568,5.68E+06,,,,,,,
2025-08-25,84,1,0,3,100,Tet50,Donor,210,2.10E+06,3.11E+06,,Variable,Value,,,
2025-08-25,84,2,0,3,100,Tet50,Donor,252,2.52E+06,,,f,10,,,
2025-08-25,84,3,0,4,100,Tet50,Donor,47,4.70E+06,,,D0,3.11E+06,,,
2025-08-25,84,1,0,3,100,Nal50,Recipient,162,1.62E+06,1.78E+06,,R0,1.78E+06,,,
2025-08-25,84,2,0,3,100,Nal50,Recipient,166,1.66E+06,,,Dt,3.89E+06,,,
2025-08-25,84,3,0,3,100,Nal50,Recipient,206,2.06E+06,,,Rt,3.07E+06,,,
2025-08-25,84,1,1,4,100,Tet50,Donor,37,3.70E+06,3.89E+06,,p0,0.38,,,
2025-08-25,84,2,1,3,100,Tet50,Donor,376,3.76E+06,,,t,1,,,
2025-08-25,84,3,1,4,100,Tet50,Donor,42,4.20E+06,,,,,,,
2025-08-25,84,1,1,4,100,Nal50,Recipient,32,3.20E+06,3.07E+06,,LDM estimate,1.16E-12,,,
2025-08-25,84,2,1,3,100,Nal50,Recipient,330,3.30E+06,,,,,,,
2025-08-25,84,3,1,4,100,Nal50,Recipient,27,2.70E+06,,,,,,,
2025-08-25,85,1,0,4,100,Tet50,Donor,49,4.90E+06,4.73E+06,,Variable,Value,,,
2025-08-25,85,2,0,4,100,Tet50,Donor,41,4.10E+06,,,f,10,,,
2025-08-25,85,3,0,4,100,Tet50,Donor,52,5.20E+06,,,D0,4.73E+06,,,
2025-08-25,85,1,0,3,100,Nal50,Recipient,224,2.24E+06,2.42E+06,,R0,2.42E+06,,,
2025-08-25,85,2,0,3,100,Nal50,Recipient,232,2.32E+06,,,Dt,9.67E+06,,,
2025-08-25,85,3,0,3,100,Nal50,Recipient,270,2.70E+06,,,Rt,5.37E+06,,,
2025-08-25,85,1,2,4,100,Tet50,Donor,87,8.70E+06,9.67E+06,,p0,0.95,,,
2025-08-25,85,2,2,4,100,Tet50,Donor,96,9.60E+06,,,t,2,,,
2025-08-25,85,3,2,4,100,Tet50,Donor,107,1.07E+07,,,,,,,
2025-08-25,85,1,2,4,100,Nal50,Recipient,52,5.20E+06,5.37E+06,,LDM estimate,9.12E-15,,,
2025-08-25,85,2,2,4,100,Nal50,Recipient,53,5.30E+06,,,,,,,
2025-08-25,85,3,2,4,100,Nal50,Recipient,56,5.60E+06,,,,,,,
2025-09-11,84,1,0,3,100,Tet50,Donor,68,6.80E+05,6.13E+05,,Variable,Value,,,
2025-09-11,84,2,0,3,100,Tet50,Donor,54,5.40E+05,,,f,10,,,
2025-09-11,84,3,0,3,100,Tet50,Donor,62,6.20E+05,,,D0,6.13E+05,,,
2025-09-11,84,1,0,4,100,Nal50,Recipient,15,1.50E+06,2.13E+06,,R0,2.13E+06,,,
2025-09-11,84,2,0,4,100,Nal50,Recipient,23,2.30E+06,,,Dt,6.53E+05,,,
2025-09-11,84,3,0,4,100,Nal50,Recipient,26,2.60E+06,,,Rt,3.20E+06,,,
2025-09-11,84,1,1,3,100,Tet50,Donor,64,6.40E+05,6.53E+05,,p0,0.46,,,
2025-09-11,84,2,1,3,100,Tet50,Donor,78,7.80E+05,,,t,1,,,
2025-09-11,84,3,1,3,100,Tet50,Donor,54,5.40E+05,,,,,,,
2025-09-11,84,1,1,4,100,Nal50,Recipient,22,2.20E+06,3.20E+06,,LDM estimate,4.60E-12,,,
2025-09-11,84,2,1,4,100,Nal50,Recipient,44,4.40E+06,,,,,,,
2025-09-11,84,3,1,4,100,Nal50,Recipient,30,3.00E+06,,,,,,,
2025-09-11,85,1,0,4,100,Tet50,Donor,24,2.40E+06,3.67E+06,,Variable,Value,,,
2025-09-11,85,2,0,4,100,Tet50,Donor,42,4.20E+06,,,f,10,,,
2025-09-11,85,3,0,4,100,Tet50,Donor,44,4.40E+06,,,D0,3.67E+06,,,
2025-09-11,85,1,0,4,100,Nal50,Recipient,23,2.30E+06,2.17E+06,,R0,2.17E+06,,,
2025-09-11,85,2,0,4,100,Nal50,Recipient,14,1.40E+06,,,Dt,9.40E+06,,,
2025-09-11,85,3,0,4,100,Nal50,Recipient,28,2.80E+06,,,Rt,5.30E+06,,,
2025-09-11,85,1,2,4,100,Tet50,Donor,61,6.10E+06,9.40E+06,,p0,0.98,,,
2025-09-11,85,2,2,4,100,Tet50,Donor,104,1.04E+07,,,t,2,,,
