Assay_date,Strain,Time,Plate_Dilution ,Volume_plated,Replicate,Plate_label,Plate_type,Phenotype,Predicted_count,Predicted_density,Count,Density,Plating_style,Notes
2026-03-04,TR84,0,4,5,1,TR84 T0 R1 -4,Tet50,Anc,,1.00E+07,3,6.00E+06,spotting,
2026-03-04,TR84,0,4,5,2,TR84 T0 R2 -4,Tet50,Anc,,1.00E+07,6,1.20E+07,spotting,
2026-03-04,TR84,0,4,5,3,TR84 T0 R3 -4,Tet50,Anc,,1.00E+07,2,4.00E+06,spotting,
2026-03-04,TR85,0,4,5,1,TR85 T0 R1 -4,Tet50,Mut,,1.00E+07,5,1.00E+07,spotting,
2026-03-04,TR85,0,4,5,2,TR85 T0 R2 -4,Tet50,Mut,,1.00E+07,5,1.00E+07,spotting,
2026-03-04,TR85,0,4,5,3,TR85 T0 R3 -4,Tet50,Mut,,1.00E+07,7,1.40E+07,spotting,
2026-03-04,TR86,0,4,5,1,TR86 T0 R1 -4,Tet50,MutB,,1.00E+07,13,2.60E+07,spotting,
2026-03-04,TR86,0,4,5,2,TR86 T0 R2 -4,Tet50,MutB,,1.00E+07,5,1.00E+07,spotting,
2026-03-04,TR86,0,4,5,3,TR86 T0 R3 -4,Tet50,MutB,,1.00E+07,8,1.60E+07,spotting,
2026-03-04,TR44,0,4,5,1,TR44 T0 R1 -4,Nal50,F,,1.00E+07,17,3.40E+07,spotting,
2026-03-04,TR44,0,4,5,2,TR44 T0 R2 -4,Nal50,F,,1.00E+07,16,3.20E+07,spotting,
2026-03-04,TR44,0,4,5,3,TR44 T0 R3 -4,Nal50,F,,1.00E+07,18,3.60E+07,spotting,
2026-03-04,TR84,4,5,5,1,TR84 T4 R1 -5,Tet50,Anc,,2.00E+07,4,8.00E+07,spotting,
2026-03-04,TR84,4,5,5,2,TR84 T4 R2 -5,Tet50,Anc,,2.00E+07,2,4.00E+07,spotting,
2026-03-04,TR84,4,5,5,3,TR84 T4 R3 -5,Tet50,Anc,,2.00E+07,3,6.00E+07,spotting,
2026-03-04,TR85,4,5,5,1,TR85 T4 R1 -5,Tet50,Mut,,5.00E+07,10,2.00E+08,spotting,
2026-03-04,TR85,4,5,5,2,TR85 T4 R2 -5,Tet50,Mut,,5.00E+07,8,1.60E+08,spotting,
2026-03-04,TR85,4,5,5,3,TR85 T4 R3 -5,Tet50,Mut,,5.00E+07,9,1.80E+08,spotting,
2026-03-04,TR86,4,5,5,1,TR86 T4 R1 -5,Tet50,MutB,,5.00E+07,16,3.20E+08,spotting,
2026-03-04,TR86,4,5,5,2,TR86 T4 R2 -5,Tet50,MutB,,5.00E+07,5,1.00E+08,spotting,
2026-03-04,TR86,4,5,5,3,TR86 T4 R3 -5,Tet50,MutB,,5.00E+07,15,3.00E+08,spotting,
2026-03-04,TR44,4,5,5,1,TR44 T4 R1 -5,Nal50,F,,5.00E+07,13,2.60E+08,spotting,
2026-03-04,TR44,4,5,5,2,TR44 T4 R2 -5,Nal50,F,,5.00E+07,20,4.00E+08,spotting,
2026-03-04,TR44,4,5,5,3,TR44 T4 R3 -5,Nal50,F,,5.00E+07,20,4.00E+08,spotting,
2026-04-02,TR84,0,4,5,4,TR84 T0 R4 -4,Tet50,Anc,,1.00E+07,10,2.00E+07,spotting,
2026-04-02,TR84,0,4,5,5,TR84 T0 R5 -4,Tet50,Anc,,1.00E+07,7,1.40E+07,spotting,
2026-04-02,TR84,0,4,5,6,TR84 T0 R6 -4,Tet50,Anc,,1.00E+07,5,1.00E+07,spotting,
2026-04-02,TR85,0,4,5,4,TR85 T0 R4 -4,Tet50,Mut,,1.00E+07,7,1.40E+07,spotting,
2026-04-02,TR85,0,4,5,5,TR85 T0 R5 -4,Tet50,Mut,,1.00E+07,7,1.40E+07,spotting,
2026-04-02,TR85,0,3,5,6,TR85 T0 R6 -3,Tet50,Mut,,1.00E+07,57,1.14E+07,spotting,
2026-04-02,TR86,0,4,5,4,TR86 T0 R4 -4,Tet50,MutB,,1.00E+07,4,8.00E+06,spotting,
2026-04-02,TR86,0,4,5,5,TR86 T0 R5 -4,Tet50,MutB,,1.00E+07,6,1.20E+07,spotting,
2026-04-02,TR86,0,4,5,6,TR86 T0 R6 -4,Tet50,MutB,,1.00E+07,9,1.80E+07,spotting,
2026-04-02,TR44,0,4,5,4,TR44 T0 R4 -4,Nal50,F,,1.00E+07,6,1.20E+07,spotting,
2026-04-02,TR44,0,4,5,5,TR44 T0 R5 -4,Nal50,F,,1.00E+07,14,2.80E+07,spotting,
2026-04-02,TR44,0,4,5,6,TR44 T0 R6 -4,Nal50,F,,1.00E+07,13,2.60E+07,spotting,
2026-04-02,TR84,4,5,5,4,TR84 T4 R4 -5,Tet50,Anc,,2.00E+07,3,6.00E+07,spotting,
2026-04-02,TR84,4,5,5,5,TR84 T4 R5 -5,Tet50,Anc,,2.00E+07,5,1.00E+08,spotting,
2026-04-02,TR84,4,5,5,6,TR84 T4 R6 -5,Tet50,Anc,,2.00E+07,4,8.00E+07,spotting,
2026-04-02,TR85,4,5,5,4,TR85 T4 R4 -5,Tet50,Mut,,5.00E+07,9,1.80E+08,spotting,
2026-04-02,TR85,4,5,5,5,TR85 T4 R5 -5,Tet50,Mut,,5.00E+07,13,2.60E+08,spotting,
2026-04-02,TR85,4,4,5,6,TR85 T4 R6 -4,Tet50,Mut,,5.00E+07,71,1.42E+08,spotting,
2026-04-02,TR86,4,5,5,4,TR86 T4 R4 -5,Tet50,MutB,,5.00E+07,14,2.80E+08,spotting,
2026-04-02,TR86,4,5,5,5,TR86 T4 R5 -5,Tet50,MutB,,5.00E+07,18,3.60E+08,spotting,
2026-04-02,TR86,4,5,5,6,TR86 T4 R6 -5,Tet50,MutB,,5.00E+07,15,3.00E+08,spotting,
2026-04-02,TR44,4,5,5,4,TR44 T4 R4 -5,Nal50,F,,5.00E+07,5,1.00E+08,spotting,
2026-04-02,TR44,4,5,5,5,TR44 T4 R5 -5,Nal50,F,,5.00E+07,6,1.20E+08,spotting,
2026-04-02,TR44,4,5,5,6,TR44 T4 R6 -5,Nal50,F,,5.00E+07,13,2.60E+08,spotting,
