"","Time","A1","M1","F1","A2","M2","F2","C","Cycle","Phase"
"1",0,1e+05,1e+07,0,0,0,1e+07,1e+09,1,"conj"
"2",0.01,100287.128712871,10038613.8613861,0,0.0940594059405941,0.0138613861386139,10034653.3574257,999926445.544554,1,"conj"
"3",0.02,100575.081645,10077376.7975697,0,0.188985769178036,0.0278780302333111,10069426.7747188,999852621.129203,1,"conj"
"4",0.03,100863.861160948,10116289.38386,0,0.284785365633563,0.0420512782636786,10104320.6676513,999778525.760491,1,"conj"
"5",0.04,101153.469632053,10155352.1977846,0,0.381464513260817,0.0563824868819368,10139335.4534335,999704158.441303,1,"conj"
"6",0.05,101443.909436446,10194565.8190983,0,0.479029572318705,0.0708730234942913,10174471.5507194,999629518.170843,1,"conj"
"7",0.06,101735.18295907,10233930.8297915,0,0.577486945646002,0.0855242663428924,10209729.3796112,999554603.944627,1,"conj"
"8",0.07,102027.292591701,10273447.8140991,0,0.676843078937719,0.100337604588407,10245109.3616646,999479414.754464,1,"conj"
"9",0.08,102320.240732965,10313117.3585087,0,0.777104461023232,0.115314438393209,10280611.9198938,999403949.588446,1,"conj"
"10",0.09,102614.029788361,10352940.0517694,0,0.8782776241462,0.130456179005189,10316237.4787762,999328207.430932,1,"conj"
"11",0.1,102908.662170279,10392916.4849007,0,0.980369144246264,0.145764248842193,10351986.464258,999252187.262538,1,"conj"
"12",0.11,103204.140298019,10433047.2512012,0,1.08338564124256,0.161240081577091,10387859.3037589,999175888.060116,1,"conj"
"13",0.12,103500.466597811,10473332.9462573,0,1.18733377931904,0.17688512222348,10423856.4261772,999099308.796749,1,"conj"
"14",0.13,103797.643502835,10513774.1679519,0,1.29222026721162,0.19270082722203,10459978.2618949,999022448.441729,1,"conj"
"15",0.14,104095.673453242,10554371.5164733,0,1.39805185849716,0.208688664527473,10496225.2427832,998945305.96055,1,"conj"
"16",0.15,104394.558896172,10595125.5943244,0,1.50483535188432,0.224850113696244,10532597.802207,998867880.314887,1,"conj"
"17",0.16,104694.302285775,10636037.0063311,0,1.61257759150623,0.241186665974772,10569096.3750306,998790170.462588,1,"conj"
"18",0.17,104994.90608323,10677106.3596516,0,1.72128546721507,0.257699824388438,10605721.3976226,998712175.357657,1,"conj"
"19",0.18,105296.372756768,10718334.2637851,0,1.83096591487853,0.27439110383119,10642473.3078611,998633893.95024,1,"conj"
"20",0.19,105598.704781687,10759721.3305813,0,1.94162591667814,0.291262031155831,10679352.5451391,998555325.18661,1,"conj"
"21",0.2,105901.904640378,10801268.1742487,0,2.05327250140958,0.308314145264985,10716359.5503695,998476468.009155,1,"conj"
"22",0.21,106205.97482234,10842975.4113644,0,2.16591274478478,0.325548997202731,10753494.7659905,998397321.356361,1,"conj"
"23",0.22,106510.917824205,10884843.6608829,0,2.27955376973611,0.342968150246933,10790758.6359708,998317884.1628,1,"conj"
"24",0.23,106816.736149753,10926873.5441452,0,2.39420274672239,0.360573180002254,10828151.6058148,998238155.359115,1,"conj"
"25",0.24,107123.432309939,10969065.684888,0,2.50986689403694,0.378365674493865,10865674.1225683,998158133.872002,1,"conj"
"26",0.25,107431.008822907,11011420.709253,0,2.62655347811754,0.396347234261853,10903326.6348231,998077818.624201,1,"conj"
"27",0.26,107739.468214014,11053939.2457963,0,2.7442698138584,0.414519472456335,10941109.592723,997997208.534478,1,"conj"
"28",0.27,108048.813015852,11096621.9254973,0,2.86302326492415,0.432884014933282,10979023.4479688,997916302.517611,1,"conj"
"29",0.28,108359.045768264,11139469.3817684,0,2.98282124406579,0.451442500351056,11017068.653824,997835099.484376,1,"conj"
"30",0.29,108670.169018369,11182482.2504642,0,3.10367121343868,0.47019658026767,11055245.6651196,997753598.34153,1,"conj"
"31",0.3,108982.18532058,11225661.169891,0,3.2255806849226,0.489147919238772,11093554.9382602,997671797.9918,1,"conj"
"32",0.31,109295.097236626,11269006.7808159,0,3.34855722044379,0.508298194916364,11131996.931229,997589697.333863,1,"conj"
"33",0.32,109608.907335575,11312519.7264767,0,3.47260843229909,0.52764909814825,11170572.1035934,997507295.262337,1,"conj"
"34",0.33,109923.618193849,11356200.6525914,0,3.59774198348214,0.547202333078234,11209280.9165103,997424590.66776,1,"conj"
"35",0.34,110239.232395252,11400050.2073673,0,3.72396558801169,0.56695961724706,11248123.8327319,997341582.436581,1,"conj"
"36",0.35,110555.752530985,11444069.041511,0,3.851287011262,0.586922681694111,11287101.3166108,997258269.451138,1,"conj"
"37",0.36,110873.181199672,11488257.8082378,0,3.97971407029528,0.607093271059856,11326213.834106,997174650.589649,1,"conj"
"38",0.37,111191.521007379,11532617.1632817,0,4.1092546341964,0.627473143689074,11365461.8527879,997090724.726195,1,"conj"
"39",0.38,111510.774567632,11577147.7649045,0,4.23991662440958,0.648064071734841,11404845.8418444,997006490.730703,1,"conj"
"40",0.39,111830.944501447,11621850.273906,0,4.37170801507739,0.668867841263288,11444366.2720861,996921947.468931,1,"conj"
"41",0.4,112152.033437341,11666725.3536336,0,4.50463683338176,0.689886252359152,11484023.6159521,996837093.802454,1,"conj"
"42",0.41,112474.04401136,11711773.6699923,0,4.6387111598873,0.711121119232106,11523818.3475154,996751928.588649,1,"conj"
"43",0.42,112796.978867101,11756995.8914541,0,4.77393912888673,0.732574270323878,11563750.9424887,996666450.680677,1,"conj"
"44",0.43,113120.840655727,11802392.6890684,0,4.91032892874857,0.754247548416184,11603821.8782303,996580658.927469,1,"conj"
"45",0.44,113445.632035996,11847964.7364715,0,5.04788880226701,0.776142810739445,11644031.6337492,996494552.173712,1,"conj"
"46",0.45,113771.355674279,11893712.7098968,0,5.18662704701407,0.798261929082335,11684380.6897112,996408129.259829,1,"conj"
"47",0.46,114098.014244582,11939637.2881847,0,5.32655201569392,0.820606789902127,11724869.5284446,996321389.021967,1,"conj"
"48",0.47,114425.610428568,11985739.1527926,0,5.4676721164996,0.843179294435876,11765498.6339459,996234330.291982,1,"conj"
"49",0.48,114754.146915578,12032018.9878052,0,5.60999581347186,0.865981358812426,11806268.4918854,996146951.897417,1,"conj"
"50",0.49,115083.626402656,12078477.4799444,0,5.75353162686043,0.889014914165244,11847179.5896131,996059252.661493,1,"conj"
"51",0.5,115414.051594566,12125115.3185791,0,5.89828813348753,0.912281906746108,11888232.4161646,995971231.403092,1,"conj"
"52",0.51,115745.425203819,12171933.1957363,0,6.04427396711369,0.935784298039634,11929427.4622666,995882886.936735,1,"conj"
"53",0.52,116077.749950692,12218931.8061106,0,6.19149781880597,0.959524064878656,11970765.2203432,995794218.072574,1,"conj"
"54",0.53,116411.02856325,12266111.8470744,0,6.33996843730846,0.98350319956047,12012246.1845213,995705223.61637,1,"conj"
"55",0.54,116745.263777372,12313474.0186888,0,6.48969462941521,1.00772370996394,12053870.8506367,995615902.369479,1,"conj"
"56",0.55,117080.458336766,12361019.0237134,0,6.64068526034549,1.03218761966749,12095639.71624,995526253.128837,1,"conj"
"57",0.56,117416.614993,12408747.5676171,0,6.7929492541215,1.05689696806793,12137553.2806025,995436274.686941,1,"conj"
"58",0.57,117753.736505519,12456660.3585881,0,6.94649559394841,1.08185381050025,12179612.044722,995345965.831835,1,"conj"
"59",0.58,118091.825641667,12504758.1075447,0,7.10133332259695,1.10706021835821,12221816.511329,995255325.347091,1,"conj"
"60",0.59,118430.885176713,12553041.5281455,0,7.25747154278833,1.1325182792159,12264167.1848925,995164352.011796,1,"conj"
"61",0.6,118770.917893871,12601511.3368004,0,7.41491941758168,1.15823009695017,12306664.5716259,995073044.600531,1,"conj"
"62",0.61,119111.926584323,12650168.2526807,0,7.57368617076392,1.18419779186401,12349309.1794933,994981401.883358,1,"conj"
"63",0.62,119453.914047243,12699012.99773,0,7.7337810872422,1.21042350081076,12392101.5182155,994889422.625803,1,"conj"
"64",0.63,119796.883089819,12748046.2966747,0,7.89521351343873,1.23690937731937,12435042.0992756,994797105.588837,1,"conj"
"65",0.64,120140.836527276,12797268.8770349,0,8.05799285768827,1.26365759172049,12478131.4359259,994704449.528862,1,"conj"
"66",0.65,120485.777182896,12846681.4691351,0,8.22212859063799,1.29067033127353,12521370.0431931,994611453.19769,1,"conj"
"67",0.66,120831.707888047,12896284.8061149,0,8.38763024565008,1.31794980029472,12564758.4378851,994518115.342532,1,"conj"
"68",0.67,121178.6314822,12946079.6239396,0,8.55450741920673,1.34549822028602,12608297.1385968,994424434.705976,1,"conj"
"69",0.68,121526.550812958,12996066.6614118,0,8.72276977131786,1.37331783006509,12651986.6657165,994330410.025971,1,"conj"
"70",0.69,121875.468736072,13046246.6601815,0,8.89242702593137,1.40141088589613,12695827.5414317,994236040.035813,1,"conj"
"71",0.7,122225.388115471,13096620.3647575,0,9.063488971346,1.42977966162182,12739820.2897356,994141323.464123,1,"conj"
"72",0.71,122576.311823282,13147188.5225183,0,9.23596546062687,1.4584264487961,12783965.4364335,994046259.034833,1,"conj"
"73",0.72,122928.242739852,13197951.8837231,0,9.40986641202367,1.48735355681803,12828263.5091487,993950845.467169,1,"conj"
"74",0.73,123281.183753776,13248911.2015231,0,9.58520180939148,1.51656331306664,12872715.0373287,993855081.475629,1,"conj"
"75",0.74,123635.137761916,13300067.2319722,0,9.76198170261428,1.54605806303675,12917320.5522519,993758965.769974,1,"conj"
"76",0.75,123990.107669426,13351420.7340385,0,9.94021620803125,1.57584017047581,12962080.5870337,993662497.055202,1,"conj"
"77",0.76,124346.096389777,13402972.4696155,0,10.1199155088656,1.60591201752178,13006995.6766326,993565674.031535,1,"conj"
"78",0.77,124703.106844779,13454723.203533,0,10.3010898556565,1.63627600484201,13052066.3578571,993468495.394399,1,"conj"
"79",0.78,125061.141964607,13506673.7035691,0,10.4837495666932,1.66693455177316,13097293.1693715,993370959.834411,1,"conj"
"80",0.79,125420.20468782,13558824.7404606,0,10.6679050284525,1.69789009646218,13142676.6517026,993273066.037354,1,"conj"
"81",0.8,125780.29796139,13611177.0879153,0,10.8535666960387,1.72914509600829,13188217.3472463,993174812.684165,1,"conj"
"82",0.81,126141.424740725,13663731.5226227,0,11.0407450936263,1.7607020266061,13233915.8002736,993076198.450916,1,"conj"
"83",0.82,126503.587989691,13716488.824266,0,11.2294508149057,1.79256338368968,13279772.5569373,992977222.008793,1,"conj"
"84",0.83,126866.790680637,13769449.7755331,0,11.419694523532,1.82473168207783,13325788.1652786,992877882.024082,1,"conj"
"85",0.84,127231.035794419,13822615.1621289,0,11.6114869535757,1.85720945612031,13371963.1752333,992778177.158147,1,"conj"
"86",0.85,127596.326320426,13875985.7727859,0,11.8048389099776,1.88999925984524,13418298.1386388,992678106.067417,1,"conj"
"87",0.86,127962.665256602,13929562.3992767,0,11.9997612690054,1.92310366710756,13464793.60924,992577667.403362,1,"conj"
"88",0.87,128330.055609471,13983345.8364254,0,12.1962649787142,1.95652527173858,13511450.1426966,992476859.812479,1,"conj"
"89",0.88,128698.500394162,14037336.8821192,0,12.3943610594088,1.99026668769673,13558268.2965891,992375681.93627,1,"conj"
"90",0.89,129068.002634434,14091536.3373202,0,12.5940606041107,2.02433054921927,13605248.6304258,992274132.411229,1,"conj"
"91",0.9,129438.565362698,14145945.0060776,0,12.7953747790258,2.05871951097531,13652391.7056493,992172209.868816,1,"conj"
"92",0.91,129810.191620045,14200563.6955391,0,12.9983148240173,2.09343624821981,13699698.0856431,992069912.935447,1,"conj"
