"","Time","Cycle","Phase","Cell_types","Density","Host","Genotype"
"1",0,1,"conj","A1",1e+05,"1","A"
"2",0,1,"conj","M1",1e+07,"1","M"
"3",0,1,"conj","F1",0,"1","F"
"4",0,1,"conj","A2",0,"2","A"
"5",0,1,"conj","M2",0,"2","M"
"6",0,1,"conj","F2",1e+07,"2","F"
"7",0,1,"conj","C",1e+09,"C","C"
"8",0.01,1,"conj","A1",100287.128712871,"1","A"
"9",0.01,1,"conj","M1",10038613.8613861,"1","M"
"10",0.01,1,"conj","F1",0,"1","F"
"11",0.01,1,"conj","A2",0,"2","A"
"12",0.01,1,"conj","M2",0,"2","M"
"13",0.01,1,"conj","F2",10034653.3574257,"2","F"
"14",0.01,1,"conj","C",999926445.544554,"C","C"
"15",0.02,1,"conj","A1",100575.081645,"1","A"
"16",0.02,1,"conj","M1",10077376.7975697,"1","M"
"17",0.02,1,"conj","F1",0,"1","F"
"18",0.02,1,"conj","A2",0,"2","A"
"19",0.02,1,"conj","M2",0,"2","M"
"20",0.02,1,"conj","F2",10069426.7747188,"2","F"
"21",0.02,1,"conj","C",999852621.129203,"C","C"
"22",0.03,1,"conj","A1",100863.861160948,"1","A"
"23",0.03,1,"conj","M1",10116289.38386,"1","M"
"24",0.03,1,"conj","F1",0,"1","F"
"25",0.03,1,"conj","A2",0,"2","A"
"26",0.03,1,"conj","M2",0,"2","M"
"27",0.03,1,"conj","F2",10104320.6676513,"2","F"
"28",0.03,1,"conj","C",999778525.760491,"C","C"
"29",0.04,1,"conj","A1",101153.469632053,"1","A"
"30",0.04,1,"conj","M1",10155352.1977846,"1","M"
"31",0.04,1,"conj","F1",0,"1","F"
"32",0.04,1,"conj","A2",0,"2","A"
"33",0.04,1,"conj","M2",0,"2","M"
"34",0.04,1,"conj","F2",10139335.4534335,"2","F"
"35",0.04,1,"conj","C",999704158.441303,"C","C"
"36",0.05,1,"conj","A1",101443.909436446,"1","A"
"37",0.05,1,"conj","M1",10194565.8190983,"1","M"
"38",0.05,1,"conj","F1",0,"1","F"
"39",0.05,1,"conj","A2",0,"2","A"
"40",0.05,1,"conj","M2",0,"2","M"
"41",0.05,1,"conj","F2",10174471.5507194,"2","F"
"42",0.05,1,"conj","C",999629518.170843,"C","C"
"43",0.06,1,"conj","A1",101735.18295907,"1","A"
"44",0.06,1,"conj","M1",10233930.8297915,"1","M"
"45",0.06,1,"conj","F1",0,"1","F"
"46",0.06,1,"conj","A2",0,"2","A"
"47",0.06,1,"conj","M2",0,"2","M"
"48",0.06,1,"conj","F2",10209729.3796112,"2","F"
"49",0.06,1,"conj","C",999554603.944627,"C","C"
