"","Time","A1","M1","F1","A2","M2","F2","C","Cycle","Phase"
"3",0,1,1e+07,0,0,0,1e+07,1e+09,1,"conj"
"4",0.01,1.00287128712871,10038613.8613861,0,9.40594059405941e-07,0.0138613861386139,10034653.4514842,999926732.670396,1,"conj"
"5",0.02,1.00575081645818,10077376.79768,0,1.88985770335183e-06,0.0278780304040453,10069426.9638575,999853196.204832,1,"conj"
"6",0.03,1.00863861163414,10116289.3841922,0,2.84785369129688e-06,0.0420512787801499,10104320.9529001,999779389.612215,1,"conj"
"7",0.04,1.01153469637004,10155352.1984524,0,3.81464520302788e-06,0.0563824879234879,10139335.8358309,999705311.897796,1,"conj"
"8",0.05,1.0144390944473,10194565.8202167,0,4.79029584138785e-06,0.070873025244676,10174472.0313122,999630962.063154,1,"conj"
"9",0.06,1.01735182971545,10233930.8314775,0,5.7748696350221e-06,0.0855242689903484,10209729.9594548,999556339.106186,1,"conj"
"10",0.07,1.02027292609235,10273447.8164711,0,6.76843104114195e-06,0.10033760832573,10245110.041823,999481442.021089,1,"conj"
"11",0.08,1.02320240756435,10313117.3616869,0,7.77104494830609e-06,0.115314443417826,10280612.7014394,999406269.798349,1,"conj"
"12",0.09,1.02614029818656,10352940.0558757,0,8.78277667921977e-06,0.130456185519236,10316238.3627905,999330821.424729,1,"conj"
"13",0.1,1.02908662208297,10392916.4900589,0,9.80369199355187e-06,0.14576425705259,10351987.4518309,999255095.88325,1,"conj"
"14",0.11,1.03204140344667,10433047.2575368,0,1.08338570907701e-05,0.161240091695622,10387860.3959893,999179092.153182,1,"conj"
"15",0.12,1.03500466654009,10473332.9538975,0,1.1873338612994e-05,0.176885134466869,10423857.6241727,999102809.210028,1,"conj"
"16",0.13,1.03797643569512,10513774.1770256,0,1.2922203647867e-05,0.192700841812023,10459979.5667724,999026246.025512,1,"conj"
"17",0.14,1.04095673531338,10554371.5271115,0,1.39805197314458e-05,0.208688681690919,10496226.6556683,998949401.567561,1,"conj"
"18",0.15,1.04394558986638,10595125.6066598,0,1.50483548511091e-05,0.224850133665176,10532599.3242345,998872274.800295,1,"conj"
"19",0.16,1.04694302389572,10636037.0204981,0,1.61257774484843e-05,0.241186688986493,10569098.0073444,998794864.684012,1,"conj"
"20",0.17,1.0499490620133,10677106.3757867,0,1.72128564223935e-05,0.257699850685602,10605723.1413759,998717170.175171,1,"conj"
"21",0.18,1.05296372890154,10718334.2820267,0,1.83096611318183e-05,0.274391133661889,10642475.1642164,998639190.226384,1,"conj"
"22",0.19,1.05598704931353,10759721.3510694,0,1.94162613988826e-05,0.291262064773684,10679354.5152681,998560923.786394,1,"conj"
"23",0.2,1.05901904807329,10801268.1971256,0,2.0532727511856e-05,0.308314182929222,10716361.6354535,998482369.800067,1,"conj"
"24",0.21,1.06205975007592,10842975.4367742,0,2.16591302281754e-05,0.325549039178284,10753496.9672202,998403527.208375,1,"conj"
"25",0.22,1.06510918028785,10884843.6889715,0,2.27955407774861e-05,0.342968196804527,10790760.9545465,998324394.948382,1,"conj"
"26",0.23,1.06816736374701,10926873.5750607,0,2.39420308647023e-05,0.3605732314185,10828154.0429464,998244971.953229,1,"conj"
"27",0.24,1.07123432556304,10969065.7187804,0,2.50986726730879e-05,0.378365731051348,10865676.6794752,998165257.152119,1,"conj"
"28",0.25,1.07431009091752,11011420.7462745,0,2.62655388673557e-05,0.396347296249231,10903329.3127348,998085249.470307,1,"conj"
"29",0.26,1.07739468506412,11053939.2861009,0,2.74427025967876e-05,0.414519540168432,10941112.3928786,998004947.829079,1,"conj"
"30",0.27,1.08048813332888,11096621.9692412,0,2.86302374983742e-05,0.432884088671185,10979026.3716175,997924351.145741,1,"conj"
"31",0.28,1.08359046111036,11139469.4291099,0,2.98282176999746e-05,0.451442580422213,11017071.7022248,997843458.333603,1,"conj"
"32",0.29,1.08670169387984,11182482.3015637,0,3.10367178234962e-05,0.470196666985989,11055248.8395417,997762268.301965,1,"conj"
"33",0.3,1.0898218571816,11225661.2249108,0,3.22558129880954e-05,0.489148012924724,11093558.2399828,997680779.956104,1,"conj"
"34",0.31,1.09295097663305,11269006.8399208,0,3.34855788133979e-05,0.50829829589708,11132000.3615415,997598992.197255,1,"conj"
"35",0.32,1.09608907792497,11312519.7898336,0,3.47260914227406e-05,0.52764920675763,11170575.6637955,997516903.922598,1,"conj"
"36",0.33,1.09923618682172,11356200.7203691,0,3.59774274464334e-05,0.547202449657047,11209284.6079121,997434514.025244,1,"conj"
"37",0.34,1.10239232916145,11400050.2797371,0,3.72396640250421e-05,0.566959742143055,11248127.6566538,997351821.39422,1,"conj"
"38",0.35,1.10555753085632,11444069.1186464,0,3.85128788126926e-05,0.586922815262119,11287105.2743839,997268824.914451,1,"conj"
"39",0.36,1.10873181789267,11488257.8903145,0,3.9797149980396e-05,0.607093413661904,11326217.9270718,997185523.466749,1,"conj"
"40",0.37,1.1119152163313,11532617.2504775,0,4.10925562193947e-05,0.627473295694493,11365466.0822986,997101915.927794,1,"conj"
"41",0.38,1.1151077523076,11577147.8573998,0,4.23991767445301e-05,0.648064233520377,11404850.209263,997018001.170123,1,"conj"
"42",0.39,1.11830945203184,11621850.3718834,0,4.37170912976324e-05,0.668868013213219,11444370.7787863,996933778.062109,1,"conj"
"43",0.4,1.12152034178935,11666725.4572781,0,4.50463801509307e-05,0.6898864348654,11484028.2633184,996849245.467952,1,"conj"
"44",0.41,1.1247404479407,11711773.7794911,0,4.63871241104866e-05,0.711121312694353,11523823.1369434,996764402.247657,1,"conj"
"45",0.42,1.127969796922,11756996.0069969,0,4.77394045196482e-05,0.732574475149688,11563755.875385,996679247.257026,1,"conj"
"46",0.43,1.13120841524501,11802392.8108473,0,4.91033032625271e-05,0.754247765021117,11603826.9560126,996593779.347635,1,"conj"
"47",0.44,1.13445632949745,11847964.8646811,0,5.04789027674974e-05,0.776143039547183,11644036.8578465,996507997.366823,1,"conj"
"48",0.45,1.13771356634315,11893712.8447341,0,5.18662860107172e-05,0.798262170524802,11684386.0615637,996421900.157675,1,"conj"
"49",0.46,1.14098015252233,11939637.4298491,0,5.3265536519672e-05,0.820607044419617,11724875.0495038,996335486.559007,1,"conj"
"50",0.47,1.14425611485173,11985739.3014862,0,5.46767383767415e-05,0.843179562477175,11765504.3056748,996248755.405349,1,"conj"
"51",0.48,1.14754148022493,12032019.1437325,0,5.60999762227889e-05,0.865981640834939,11806274.3157585,996161705.52693,1,"conj"
"52",0.49,1.15083627561248,12078477.6433124,0,5.75353352607728e-05,0.889015210635131,11847185.5671165,996074335.749662,1,"conj"
"53",0.5,1.15414052806218,12125115.4895976,0,5.89829012593831e-05,0.91228221813841,11888238.5487962,995986644.895124,1,"conj"
"54",0.51,1.15745426469927,12171933.3746175,0,6.04427605566987e-05,0.935784624838405,11929433.7515359,995898631.780547,1,"conj"
"55",0.52,1.16077751272668,12218931.9930693,0,6.191500006387e-05,0.959524407577102,11970771.6677717,995810295.218795,1,"conj"
"56",0.53,1.16411029942519,12266112.0423282,0,6.33997072688243e-05,0.983503558661082,12012252.7916424,995721634.018352,1,"conj"
"57",0.54,1.16745265215373,12313474.222458,0,6.48969702399945e-05,1.00772408597864,12053877.6189958,995632646.983305,1,"conj"
"58",0.55,1.17080459834954,12361019.236221,0,6.64068776300723e-05,1.03218801311774,12095646.6473946,995543332.913325,1,"conj"
"59",0.56,1.17416616552845,12408747.7890886,0,6.79295186797851e-05,1.05689737948493,12137560.3761224,995453690.603657,1,"conj"
"60",0.57,1.17753738128504,12456660.589252,0,6.94649832216967e-05,1.08185424042503,12179619.3061892,995363718.845098,1,"conj"
"61",0.58,1.18091827329292,12504758.3476322,0,7.10133616840332e-05,1.10706066734181,12221823.9403379,995273416.42398,1,"conj"
"62",0.59,1.18430886930492,12553041.7778906,0,7.2574745094532e-05,1.13251874781949,12264174.7830499,995182782.122159,1,"conj"
