"","Time","Cycle","Phase","Cell_types","Density","Host","Genotype"
"1",0,1,"conj","A1",1,"1","A"
"2",0,1,"conj","M1",1e+07,"1","M"
"3",0,1,"conj","F1",0,"1","F"
"4",0,1,"conj","A2",0,"2","A"
"5",0,1,"conj","M2",0,"2","M"
"6",0,1,"conj","F2",1e+07,"2","F"
"7",0,1,"conj","C",1e+09,"C","C"
"8",0.01,1,"conj","A1",1.00287128712871,"1","A"
"9",0.01,1,"conj","M1",10038613.8613861,"1","M"
"10",0.01,1,"conj","F1",0,"1","F"
"11",0.01,1,"conj","A2",0,"2","A"
"12",0.01,1,"conj","M2",0,"2","M"
"13",0.01,1,"conj","F2",10034653.4514842,"2","F"
"14",0.01,1,"conj","C",999926732.670396,"C","C"
"15",0.02,1,"conj","A1",1.00575081645818,"1","A"
"16",0.02,1,"conj","M1",10077376.79768,"1","M"
"17",0.02,1,"conj","F1",0,"1","F"
"18",0.02,1,"conj","A2",0,"2","A"
"19",0.02,1,"conj","M2",0,"2","M"
"20",0.02,1,"conj","F2",10069426.9638575,"2","F"
"21",0.02,1,"conj","C",999853196.204832,"C","C"
"22",0.03,1,"conj","A1",1.00863861163414,"1","A"
"23",0.03,1,"conj","M1",10116289.3841922,"1","M"
"24",0.03,1,"conj","F1",0,"1","F"
"25",0.03,1,"conj","A2",0,"2","A"
"26",0.03,1,"conj","M2",0,"2","M"
"27",0.03,1,"conj","F2",10104320.9529001,"2","F"
"28",0.03,1,"conj","C",999779389.612215,"C","C"
"29",0.04,1,"conj","A1",1.01153469637004,"1","A"
"30",0.04,1,"conj","M1",10155352.1984524,"1","M"
"31",0.04,1,"conj","F1",0,"1","F"
"32",0.04,1,"conj","A2",0,"2","A"
"33",0.04,1,"conj","M2",0,"2","M"
"34",0.04,1,"conj","F2",10139335.8358309,"2","F"
"35",0.04,1,"conj","C",999705311.897796,"C","C"
"36",0.05,1,"conj","A1",1.0144390944473,"1","A"
"37",0.05,1,"conj","M1",10194565.8202167,"1","M"
"38",0.05,1,"conj","F1",0,"1","F"
"39",0.05,1,"conj","A2",0,"2","A"
"40",0.05,1,"conj","M2",0,"2","M"
"41",0.05,1,"conj","F2",10174472.0313122,"2","F"
"42",0.05,1,"conj","C",999630962.063154,"C","C"
"43",0.06,1,"conj","A1",1.01735182971545,"1","A"
"44",0.06,1,"conj","M1",10233930.8314775,"1","M"
"45",0.06,1,"conj","F1",0,"1","F"
"46",0.06,1,"conj","A2",0,"2","A"
"47",0.06,1,"conj","M2",0,"2","M"
"48",0.06,1,"conj","F2",10209729.9594548,"2","F"
"49",0.06,1,"conj","C",999556339.106186,"C","C"
"50",0.07,1,"conj","A1",1.02027292609235,"1","A"
"51",0.07,1,"conj","M1",10273447.8164711,"1","M"
"52",0.07,1,"conj","F1",0,"1","F"
"53",0.07,1,"conj","A2",0,"2","A"
"54",0.07,1,"conj","M2",0,"2","M"
"55",0.07,1,"conj","F2",10245110.041823,"2","F"
"56",0.07,1,"conj","C",999481442.021089,"C","C"
"57",0.08,1,"conj","A1",1.02320240756435,"1","A"
"58",0.08,1,"conj","M1",10313117.3616869,"1","M"
"59",0.08,1,"conj","F1",0,"1","F"
"60",0.08,1,"conj","A2",0,"2","A"
"61",0.08,1,"conj","M2",0,"2","M"
"62",0.08,1,"conj","F2",10280612.7014394,"2","F"
"63",0.08,1,"conj","C",999406269.798349,"C","C"
"64",0.09,1,"conj","A1",1.02614029818656,"1","A"
"65",0.09,1,"conj","M1",10352940.0558757,"1","M"
"66",0.09,1,"conj","F1",0,"1","F"
"67",0.09,1,"conj","A2",0,"2","A"
"68",0.09,1,"conj","M2",0,"2","M"
"69",0.09,1,"conj","F2",10316238.3627905,"2","F"
"70",0.09,1,"conj","C",999330821.424729,"C","C"
"71",0.1,1,"conj","A1",1.02908662208297,"1","A"
"72",0.1,1,"conj","M1",10392916.4900589,"1","M"
"73",0.1,1,"conj","F1",0,"1","F"
"74",0.1,1,"conj","A2",0,"2","A"
"75",0.1,1,"conj","M2",0,"2","M"
"76",0.1,1,"conj","F2",10351987.4518309,"2","F"
"77",0.1,1,"conj","C",999255095.88325,"C","C"
"78",0.11,1,"conj","A1",1.03204140344667,"1","A"
"79",0.11,1,"conj","M1",10433047.2575368,"1","M"
"80",0.11,1,"conj","F1",0,"1","F"
"81",0.11,1,"conj","A2",0,"2","A"
"82",0.11,1,"conj","M2",0,"2","M"
"83",0.11,1,"conj","F2",10387860.3959893,"2","F"
"84",0.11,1,"conj","C",999179092.153182,"C","C"
"85",0.12,1,"conj","A1",1.03500466654009,"1","A"
"86",0.12,1,"conj","M1",10473332.9538975,"1","M"
"87",0.12,1,"conj","F1",0,"1","F"
"88",0.12,1,"conj","A2",0,"2","A"
"89",0.12,1,"conj","M2",0,"2","M"
"90",0.12,1,"conj","F2",10423857.6241727,"2","F"
"91",0.12,1,"conj","C",999102809.210028,"C","C"
"92",0.13,1,"conj","A1",1.03797643569512,"1","A"
"93",0.13,1,"conj","M1",10513774.1770256,"1","M"
"94",0.13,1,"conj","F1",0,"1","F"
"95",0.13,1,"conj","A2",0,"2","A"
"96",0.13,1,"conj","M2",0,"2","M"
"97",0.13,1,"conj","F2",10459979.5667724,"2","F"
"98",0.13,1,"conj","C",999026246.025512,"C","C"
"99",0.14,1,"conj","A1",1.04095673531338,"1","A"
"100",0.14,1,"conj","M1",10554371.5271115,"1","M"
"101",0.14,1,"conj","F1",0,"1","F"
"102",0.14,1,"conj","A2",0,"2","A"
"103",0.14,1,"conj","M2",0,"2","M"
"104",0.14,1,"conj","F2",10496226.6556683,"2","F"
"105",0.14,1,"conj","C",998949401.567561,"C","C"
"106",0.15,1,"conj","A1",1.04394558986638,"1","A"
"107",0.15,1,"conj","M1",10595125.6066598,"1","M"
