...1,Time,Cycle,Phase,Cell_types,Density,Host,Genotype,Genotype_plot
1,0,1,conj,A1,1,rifR,Ancestor,Ancestor
2,0,1,conj,M1,10000000,rifR,Mutant,Mutant
3,0,1,conj,F1,0,rifR,Plasmid-free,Plasmid-free
4,0,1,conj,A2,0,nalR,Ancestor,Ancestor
5,0,1,conj,M2,0,nalR,Mutant,Mutant
6,0,1,conj,F2,10000000,nalR,Plasmid-free,Plasmid-free
8,0.01,1,conj,A1,1.00287128712871,rifR,Ancestor,Ancestor
9,0.01,1,conj,M1,10038613.8613861,rifR,Mutant,Mutant
10,0.01,1,conj,F1,0,rifR,Plasmid-free,Plasmid-free
11,0.01,1,conj,A2,0,nalR,Ancestor,Ancestor
12,0.01,1,conj,M2,0,nalR,Mutant,Mutant
13,0.01,1,conj,F2,10034653.4514842,nalR,Plasmid-free,Plasmid-free
15,0.02,1,conj,A1,1.00575081645818,rifR,Ancestor,Ancestor
16,0.02,1,conj,M1,10077376.79768,rifR,Mutant,Mutant
17,0.02,1,conj,F1,0,rifR,Plasmid-free,Plasmid-free
18,0.02,1,conj,A2,0,nalR,Ancestor,Ancestor
19,0.02,1,conj,M2,0,nalR,Mutant,Mutant
20,0.02,1,conj,F2,10069426.9638575,nalR,Plasmid-free,Plasmid-free
22,0.03,1,conj,A1,1.00863861163414,rifR,Ancestor,Ancestor
23,0.03,1,conj,M1,10116289.3841922,rifR,Mutant,Mutant
24,0.03,1,conj,F1,0,rifR,Plasmid-free,Plasmid-free
25,0.03,1,conj,A2,0,nalR,Ancestor,Ancestor
26,0.03,1,conj,M2,0,nalR,Mutant,Mutant
27,0.03,1,conj,F2,10104320.9529001,nalR,Plasmid-free,Plasmid-free
29,0.04,1,conj,A1,1.01153469637004,rifR,Ancestor,Ancestor
30,0.04,1,conj,M1,10155352.1984524,rifR,Mutant,Mutant
31,0.04,1,conj,F1,0,rifR,Plasmid-free,Plasmid-free
32,0.04,1,conj,A2,0,nalR,Ancestor,Ancestor
33,0.04,1,conj,M2,0,nalR,Mutant,Mutant
34,0.04,1,conj,F2,10139335.8358309,nalR,Plasmid-free,Plasmid-free
36,0.05,1,conj,A1,1.0144390944473,rifR,Ancestor,Ancestor
37,0.05,1,conj,M1,10194565.8202167,rifR,Mutant,Mutant
38,0.05,1,conj,F1,0,rifR,Plasmid-free,Plasmid-free
39,0.05,1,conj,A2,0,nalR,Ancestor,Ancestor
40,0.05,1,conj,M2,0,nalR,Mutant,Mutant
41,0.05,1,conj,F2,10174472.0313122,nalR,Plasmid-free,Plasmid-free
43,0.06,1,conj,A1,1.01735182971545,rifR,Ancestor,Ancestor
44,0.06,1,conj,M1,10233930.8314775,rifR,Mutant,Mutant
45,0.06,1,conj,F1,0,rifR,Plasmid-free,Plasmid-free
46,0.06,1,conj,A2,0,nalR,Ancestor,Ancestor
47,0.06,1,conj,M2,0,nalR,Mutant,Mutant
48,0.06,1,conj,F2,10209729.9594548,nalR,Plasmid-free,Plasmid-free
50,0.07,1,conj,A1,1.02027292609235,rifR,Ancestor,Ancestor
51,0.07,1,conj,M1,10273447.8164711,rifR,Mutant,Mutant
52,0.07,1,conj,F1,0,rifR,Plasmid-free,Plasmid-free
53,0.07,1,conj,A2,0,nalR,Ancestor,Ancestor
54,0.07,1,conj,M2,0,nalR,Mutant,Mutant
55,0.07,1,conj,F2,10245110.041823,nalR,Plasmid-free,Plasmid-free
57,0.08,1,conj,A1,1.02320240756435,rifR,Ancestor,Ancestor
58,0.08,1,conj,M1,10313117.3616869,rifR,Mutant,Mutant
59,0.08,1,conj,F1,0,rifR,Plasmid-free,Plasmid-free
60,0.08,1,conj,A2,0,nalR,Ancestor,Ancestor
61,0.08,1,conj,M2,0,nalR,Mutant,Mutant
62,0.08,1,conj,F2,10280612.7014394,nalR,Plasmid-free,Plasmid-free
64,0.09,1,conj,A1,1.02614029818656,rifR,Ancestor,Ancestor
65,0.09,1,conj,M1,10352940.0558757,rifR,Mutant,Mutant
66,0.09,1,conj,F1,0,rifR,Plasmid-free,Plasmid-free
67,0.09,1,conj,A2,0,nalR,Ancestor,Ancestor
68,0.09,1,conj,M2,0,nalR,Mutant,Mutant
69,0.09,1,conj,F2,10316238.3627905,nalR,Plasmid-free,Plasmid-free
71,0.1,1,conj,A1,1.02908662208297,rifR,Ancestor,Ancestor
72,0.1,1,conj,M1,10392916.4900589,rifR,Mutant,Mutant
73,0.1,1,conj,F1,0,rifR,Plasmid-free,Plasmid-free
74,0.1,1,conj,A2,0,nalR,Ancestor,Ancestor
75,0.1,1,conj,M2,0,nalR,Mutant,Mutant
76,0.1,1,conj,F2,10351987.4518309,nalR,Plasmid-free,Plasmid-free
78,0.11,1,conj,A1,1.03204140344667,rifR,Ancestor,Ancestor
79,0.11,1,conj,M1,10433047.2575368,rifR,Mutant,Mutant
80,0.11,1,conj,F1,0,rifR,Plasmid-free,Plasmid-free
81,0.11,1,conj,A2,0,nalR,Ancestor,Ancestor
82,0.11,1,conj,M2,0,nalR,Mutant,Mutant
83,0.11,1,conj,F2,10387860.3959893,nalR,Plasmid-free,Plasmid-free
85,0.12,1,conj,A1,1.03500466654009,rifR,Ancestor,Ancestor
86,0.12,1,conj,M1,10473332.9538975,rifR,Mutant,Mutant
87,0.12,1,conj,F1,0,rifR,Plasmid-free,Plasmid-free
88,0.12,1,conj,A2,0,nalR,Ancestor,Ancestor
89,0.12,1,conj,M2,0,nalR,Mutant,Mutant
90,0.12,1,conj,F2,10423857.6241727,nalR,Plasmid-free,Plasmid-free
92,0.13,1,conj,A1,1.03797643569512,rifR,Ancestor,Ancestor
93,0.13,1,conj,M1,10513774.1770256,rifR,Mutant,Mutant
94,0.13,1,conj,F1,0,rifR,Plasmid-free,Plasmid-free
95,0.13,1,conj,A2,0,nalR,Ancestor,Ancestor
96,0.13,1,conj,M2,0,nalR,Mutant,Mutant
97,0.13,1,conj,F2,10459979.5667724,nalR,Plasmid-free,Plasmid-free
99,0.14,1,conj,A1,1.04095673531338,rifR,Ancestor,Ancestor
100,0.14,1,conj,M1,10554371.5271115,rifR,Mutant,Mutant
101,0.14,1,conj,F1,0,rifR,Plasmid-free,Plasmid-free
102,0.14,1,conj,A2,0,nalR,Ancestor,Ancestor
103,0.14,1,conj,M2,0,nalR,Mutant,Mutant
104,0.14,1,conj,F2,10496226.6556683,nalR,Plasmid-free,Plasmid-free
106,0.15,1,conj,A1,1.04394558986638,rifR,Ancestor,Ancestor
107,0.15,1,conj,M1,10595125.6066598,rifR,Mutant,Mutant
108,0.15,1,conj,F1,0,rifR,Plasmid-free,Plasmid-free
109,0.15,1,conj,A2,0,nalR,Ancestor,Ancestor
110,0.15,1,conj,M2,0,nalR,Mutant,Mutant
111,0.15,1,conj,F2,10532599.3242345,nalR,Plasmid-free,Plasmid-free
113,0.16,1,conj,A1,1.04694302389572,rifR,Ancestor,Ancestor
114,0.16,1,conj,M1,10636037.0204981,rifR,Mutant,Mutant
115,0.16,1,conj,F1,0,rifR,Plasmid-free,Plasmid-free
116,0.16,1,conj,A2,0,nalR,Ancestor,Ancestor
117,0.16,1,conj,M2,0,nalR,Mutant,Mutant
