Cycle,Phase,Time,Genotype,Frequency
1,conj,0,Ancestor,9.9999990000001e-8
1,conj,0,Mutant,0.99999990000001
1,conj,5,Ancestor,4.147759285070463e-5
1,conj,5,Mutant,0.9999585224071493
1,tselect,5,Ancestor,4.147759285070442e-5
1,tselect,5,Mutant,0.9999585224071493
1,tselect,77,Ancestor,2.073961364314029e-6
1,tselect,77,Mutant,0.9999979260386357
2,conj,77,Ancestor,2.073961364314029e-6
2,conj,77,Mutant,0.9999979260386357
2,conj,82,Ancestor,8.595272936409019e-4
2,conj,82,Mutant,0.9991404727063592
2,tselect,82,Ancestor,8.595272936409046e-4
2,tselect,82,Mutant,0.9991404727063592
2,tselect,154,Ancestor,4.3011485750690815e-5
2,tselect,154,Mutant,0.9999569885142494
3,conj,154,Ancestor,4.3011485750690815e-5
3,conj,154,Mutant,0.9999569885142494
3,conj,159,Ancestor,0.01752889217664607
3,conj,159,Mutant,0.982471107823354
3,tselect,159,Ancestor,0.01752889217664599
3,tselect,159,Mutant,0.982471107823354
3,tselect,231,Ancestor,8.912867141068561e-4
3,tselect,231,Mutant,0.9991087132858932
4,conj,231,Ancestor,8.912867141068561e-4
4,conj,231,Mutant,0.9991087132858932
4,conj,236,Ancestor,0.2700886543950257
4,conj,236,Mutant,0.7299113456049743
4,tselect,236,Ancestor,0.2700886543950251
4,tselect,236,Mutant,0.7299113456049748
4,tselect,308,Ancestor,0.018165383508786
4,tselect,308,Mutant,0.981834616491214
5,conj,308,Ancestor,0.018165383508786
5,conj,308,Mutant,0.981834616491214
5,conj,313,Ancestor,0.8847166078885477
5,conj,313,Mutant,0.11528339211145242
5,tselect,313,Ancestor,0.8847166078885481
5,tselect,313,Mutant,0.11528339211145197
5,tselect,385,Ancestor,0.277307209122066
5,tselect,385,Mutant,0.722692790877934
6,conj,385,Ancestor,0.277307209122066
6,conj,385,Mutant,0.722692790877934
6,conj,390,Ancestor,0.99375623878452
6,conj,390,Mutant,0.006243761215480002
6,tselect,390,Ancestor,0.99375623878452
6,tselect,390,Mutant,0.006243761215479994
6,tselect,462,Ancestor,0.888367859809524
6,tselect,462,Mutant,0.11163214019047599
7,conj,462,Ancestor,0.888367859809524
7,conj,462,Mutant,0.11163214019047599
7,conj,467,Ancestor,0.9996971340329054
7,conj,467,Mutant,3.0286596709463195e-4
7,tselect,467,Ancestor,0.9996971340329054
7,tselect,467,Mutant,3.028659670946311e-4
7,tselect,539,Ancestor,0.9939773377870041
7,tselect,539,Mutant,0.006022662212995771
