"","Time","A1","M1","F1","A2","M2","F2","C","Cycle","Phase"
"2",0,10000,1e+07,0,0,0,1e+07,1e+09,1,"conj"
"3",0.01,10028.7128712871,10038613.8613861,0,0.00940594059405941,0.0138613861386139,10034653.4420792,999926703.960396,1,"conj"
"4",0.02,10057.5081645736,10077376.7976689,0,0.0188985770219478,0.0278780303869734,10069426.9449453,999853138.702445,1,"conj"
"5",0.03,10086.3861163167,10116289.384159,0,0.0284785368780107,0.0420512787285075,10104320.9243778,999779303.234817,1,"conj"
"6",0.04,10115.3469636509,10155352.1983856,0,0.0381464519598655,0.0563824878193422,10139335.7975946,999705196.562527,1,"conj"
"7",0.05,10144.3909443902,10194565.8201049,0,0.0479029582956884,0.0708730250696533,10174471.9832572,999630817.686917,1,"conj"
"8",0.06,10173.5182970298,10233930.8313089,0,0.0577486961716751,0.0855242687256267,10209729.9014757,999556165.605645,1,"conj"
"9",0.07,10202.7292607481,10273447.8162339,0,0.0676843101596775,0.100337607952031,10245109.9738133,999481239.31267,1,"conj"
"10",0.08,10232.0240754088,10313117.3613691,0,0.0777104491450177,0.11531444291541,10280612.6232919,999406037.798239,1,"conj"
"11",0.09,10261.4029815627,10352940.0554651,0,0.0878277663544795,0.13045618486789,10316238.274397,999330560.048872,1,"conj"
"12",0.1,10290.8662204495,10392916.4895432,0,0.0980369193844793,0.145764256231625,10351987.3530825,999254805.047352,1,"conj"
"13",0.11,10320.4140340003,10433047.2569033,0,0.108338570229417,0.16124009068386,10387860.2867761,999178771.772708,1,"conj"
"14",0.12,10350.046664839,10473332.9531335,0,0.118733385310211,0.17688513324264,10423857.504384,999102459.200199,1,"conj"
"15",0.13,10379.7643562845,10513774.1761183,0,0.129222035503008,0.192700840353156,10459979.4362964,999025866.301306,1,"conj"
"16",0.14,10409.567352353,10554371.5260478,0,0.139805196168088,0.20868867997473,10496226.5143925,998948992.043713,1,"conj"
"17",0.15,10439.4558977592,10595125.6054263,0,0.150483547178946,0.224850131668464,10532599.1720454,998871835.391297,1,"conj"
"18",0.16,10469.4302379193,10636037.0190816,0,0.16125777295156,0.24118668668553,10569097.8441277,998794395.304108,1,"conj"
"19",0.17,10499.4906189521,10677106.3741733,0,0.172128562473851,0.257699848056124,10605722.9670163,998716670.738363,1,"conj"
"20",0.18,10529.6372876816,10718334.2802027,0,0.183096609335329,0.27439113067909,10642474.9785976,998638660.646424,1,"conj"
"21",0.19,10559.8704916388,10759721.3490208,0,0.194162611756927,0.291262061412204,10679354.318273,998560363.97679,1,"conj"
"22",0.2,10590.1904790635,10801268.1948381,0,0.205327272621027,0.30831417916314,10716361.4269639,998481779.674077,1,"conj"
"23",0.21,10620.5974989069,10842975.4342334,0,0.216591299501679,0.32554903498111,10753496.747117,998402906.67901,1,"conj"
"24",0.22,10651.0918008329,10884843.6861629,0,0.227955404695015,0.342968192149191,10790760.7227097,998323743.928403,1,"conj"
"25",0.23,10681.6736352208,10926873.5719695,0,0.239420305249854,0.360573226277342,10828153.7992551,998244290.355146,1,"conj"
"26",0.24,10712.343253167,10969065.7153915,0,0.2509867229985,0.378365725396114,10865676.4238075,998164544.888195,1,"conj"
"27",0.25,10743.100906487,11011420.7425727,0,0.262655384587748,0.396347290051057,10903329.0449677,998084506.45255,1,"conj"
"28",0.26,10773.9468477175,11053939.2820708,0,0.274427021510078,0.414519533397839,10941112.1128882,998004173.969246,1,"conj"
"29",0.27,10804.8813301188,11096621.9648673,0,0.286302370135051,0.432884081298066,10979026.0792789,997923546.355337,1,"conj"
"30",0.28,10835.9046076762,11139469.4243762,0,0.298282171740908,0.451442572415827,11017071.3974121,997842622.523879,1,"conj"
"31",0.29,10867.0169351026,11182482.2964542,0,0.310367172546371,0.470196658314948,11055248.522128,997761401.383919,1,"conj"
"32",0.3,10898.2185678406,11225661.2194094,0,0.322558123742644,0.489148003556983,11093557.9098402,997679881.840476,1,"conj"
"33",0.31,10929.5097620641,11269006.8340109,0,0.334855781525622,0.50829828579993,11132000.0185411,997598062.794532,1,"conj"
"34",0.32,10960.8907746809,11312519.7834985,0,0.347260907128304,0.527649195897683,11170575.3078073,997515943.143009,1,"conj"
"35",0.33,10992.3618633344,11356200.713592,0,0.359774266853417,0.547202438000231,11209284.2388051,997433521.778762,1,"conj"
"36",0.34,11023.9232864061,11400050.2725008,0,0.37239663210624,0.566959729654597,11248127.274296,997350797.59056,1,"conj"
"37",0.35,11055.5753030172,11444069.1109336,0,0.385128779427649,0.58692280190654,11287104.8786422,997267769.463069,1,"conj"
"38",0.36,11087.3181730313,11488257.8821076,0,0.397971490527366,0.607093399403004,11326217.517812,997184436.276842,1,"conj"
"39",0.37,11119.152157056,11532617.2417588,0,0.41092555231742,0.627473280495343,11365465.6593856,997100796.908299,1,"conj"
"40",0.38,11151.0775164454,11577147.8481512,0,0.423991756945828,0.648064217343306,11404849.7725604,997016850.229715,1,"conj"
"41",0.39,11183.0945133017,11621850.3620866,0,0.437170901830486,0.668867996019802,11444370.3281568,996932595.109204,1,"conj"
"42",0.4,11215.2034104783,11666725.4469146,0,0.450463789693277,0.689886416616449,11484027.7986235,996848030.410701,1,"conj"
"43",0.41,11247.4044715807,11711773.7685423,0,0.4638712285944,0.711121293349904,11523822.6580436,996763154.99395,1,"conj"
"44",0.42,11279.6979609698,11756995.9954438,0,0.477394031966914,0.732574454668987,11563755.3821398,996677967.714486,1,"conj"
"45",0.43,11312.0841437632,11802392.7986706,0,0.491033018651512,0.754247743362613,11603826.4482801,996592467.423624,1,"conj"
"46",0.44,11344.5632858379,11847964.8518614,0,0.504789012931501,0.776143016668513,11644036.3354837,996506652.968436,1,"conj"
"47",0.45,11377.1356538321,11893712.8312517,0,0.518662844568023,0.798262146382776,11684385.5244267,996420523.191742,1,"conj"
"48",0.46,11409.8015151477,11939637.4156841,0,0.532655348835491,0.82060701897021,11724874.4974475,996334076.93209,1,"conj"
"49",0.47,11442.5611379523,11985739.2866184,0,0.546767366557253,0.843179535675513,11765503.7385529,996247313.023743,1,"conj"
"50",0.48,11475.4147911812,12032019.1281414,0,0.560999744141483,0.865981612635287,11806273.7334236,996160230.296662,1,"conj"
"51",0.49,11508.36274454,12078477.6269772,0,0.575353333617309,0.889015180990876,11847184.96942,996072827.576489,1,"conj"
"52",0.5,11541.4052685065,12125115.4724975,0,0.589828992671159,0.912282187002052,11888237.9355881,995985103.684534,1,"conj"
"53",0.51,11574.5426343329,12171933.3567312,0,0.60442758468335,0.935784592161544,11929433.1226656,995897057.437756,1,"conj"
"54",0.52,11607.7751140483,12218931.9743753,0,0.619149978764908,0.959524373310422,11970771.0230868,995808687.648749,1,"conj"
"55",0.53,11641.1029804606,12266112.0228048,0,0.633997049794617,0.983503522754339,12012252.1309897,995719993.125724,1,"conj"
"56",0.54,11674.5265071587,12313474.2020831,0,0.648969678456314,1.00772404838064,12053876.9422207,995630972.672495,1,"conj"
"57",0.55,11708.0459685151,12361019.2149723,0,0.664068751276418,1.03218797377636,12095645.9543415,995541625.08846,1,"conj"
"58",0.56,11741.6616396876,12408747.7669437,0,0.679295160661697,1.05689733834704,12137559.6666342,995451949.168589,1,"conj"
"59",0.57,11775.3737966222,12456660.5661879,0,0.694649804937279,1.08185419743654,12179618.5801078,995361943.703403,1,"conj"
"60",0.58,11809.1827160547,12504758.3236258,0,0.710133588384903,1.10706062244761,12221823.1975038,995271607.47896,1,"conj"
"61",0.59,11843.0886755132,12553041.7529186,0,0.725747421281419,1.13251870096348,12264174.0233025,995180939.276837,1,"conj"
"62",0.6,11877.0919533205,12601511.5704787,0,0.741492219937531,1.15823053687026,12306671.5637287,995089937.874116,1,"conj"
"63",0.61,11911.1928285964,12650168.4954798,0,0.757368906736784,1.18419825048033,12349316.3267577,994998602.043366,1,"conj"
"64",0.62,11945.3915812595,12699013.2498683,0,0.773378410174807,1.21042397865658,12392108.8221219,994906930.552626,1,"conj"
"65",0.63,11979.68849203,12748046.5583733,0,0.789521664898801,1.23690987493763,12435049.561316,994814922.165387,1,"conj"
"66",0.64,12014.0838424318,12797269.1485174,0,0.805799611747282,1.26365810966394,12478139.0576036,994722575.640578,1,"conj"
"67",0.65,12048.5779147947,12846681.7506278,0,0.822213197790078,1.29067087010492,12521377.8260235,994629889.732549,1,"conj"
"68",0.66,12083.1709922567,12896285.0978467,0,0.838763376368577,1.31795036058687,12564766.3833952,994536863.191052,1,"conj"
"69",0.67,12117.8633587666,12946079.9261424,0,0.855451107136242,1.34549880262203,12608305.2483256,994443494.761223,1,"conj"
"70",0.68,12152.6552990859,12996066.9743201,0,0.872277356099369,1.37331843503845,12651994.9412147,994349783.18357,1,"conj"
"71",0.69,12187.5470987914,13046246.9840325,0,0.889243095658123,1.4014115141109,12695835.9842623,994255727.193951,1,"conj"
"72",0.7,12222.5390442773,13096620.6997913,0,0.906349304647823,1.42978031369276,12739828.9014738,994161325.523561,1,"conj"
"73",0.71,12257.6314227579,13147188.8689778,0,0.923596968380493,1.45842712534883,12783974.2186665,994066576.898908,1,"conj"
"74",0.72,12292.8245222694,13197952.2418542,0,0.940987078686685,1.48735425848921,12828272.4634761,993971480.041806,1,"conj"
"75",0.73,12328.1186316728,13248911.5715743,0,0.958520633957562,1.5165640405041,12872724.1653625,993876033.669346,1,"conj"
"76",0.74,12363.5140406557,13300067.6141952,0,0.976198639187249,1.54605881689966,12917329.8556167,993780236.49389,1,"conj"
"77",0.75,12399.0110397353,13351421.1286878,0,0.994022106015462,1.57584095143486,12962090.0673664,993684087.223043,1,"conj"
"78",0.76,12434.6099202602,13402972.8769485,0,1.0119920527704,1.60591282625932,13007005.3355831,993587584.559643,1,"conj"
"79",0.77,12470.3109744128,13454723.6238104,0,1.03010950451192,1.63627684205222,13052076.1970878,993490727.201741,1,"conj"
"80",0.78,12506.1144952122,13506674.1370542,0,1.04837549307497,1.66693541816225,13097303.1905578,993393513.842582,1,"conj"
"81",0.79,12542.020776516,13558825.1874201,0,1.06679105711333,1.69789099274852,13142686.8565328,993295943.170588,1,"conj"
"82",0.8,12578.030113023,13611177.5486187,0,1.0853572421436,1.72914602292263,13188227.7374218,993198013.869343,1,"conj"
"83",0.81,12614.1428002756,13663731.9973429,0,1.1040751005895,1.7607029848917,13233926.3775087,993099724.61757,1,"conj"
"84",0.82,12650.3591346619,13716489.3132788,0,1.12294569182639,1.79256437410252,13279783.3229597,993001074.089116,1,"conj"
"85",0.83,12686.6794134186,13769450.2791177,0,1.14197008222619,1.82473270538678,13325799.1218293,992902060.952936,1,"conj"
"86",0.84,12723.103934633,13822615.6805673,0,1.16114934520245,1.85721051310732,13371974.3240668,992802683.873071,1,"conj"
"87",0.85,12759.6329972454,13875986.3063638,0,1.18048456125582,1.8900003513055,13418309.4815228,992702941.508631,1,"conj"
"88",0.86,12796.2669010521,13929562.9482828,0,1.19997681801973,1.92310479384972,13464805.1479561,992602832.513778,1,"conj"
"89",0.87,12833.0059467072,13983346.4011518,0,1.21962721030641,1.95652643458495,13511461.87904,992502355.537707,1,"conj"
"90",0.88,12869.8504357252,14037337.4628611,0,1.23943684015321,1.99026788748342,13558280.2323688,992401509.224629,1,"conj"
"91",0.89,12906.8006704837,14091536.9343765,0,1.25940681686914,2.02433178679643,13605260.7674647,992300292.213749,1,"conj"
"92",0.9,12943.8569542256,14145945.6197503,0,1.27953825708181,2.05872078720732,13652404.0457843,992198703.139252,1,"conj"
"93",0.91,12981.0195910618,14200564.3261336,0,1.29983228478461,2.09343756398546,13699710.6307251,992096740.63028,1,"conj"
"94",0.92,13018.2888859733,14255393.8637883,0,1.32029003138419,2.12848481314156,13747181.0876328,991994403.310918,1,"conj"
"95",0.93,13055.6651448141,14310435.0460985,0,1.34091263574826,2.16386525158395,13794815.983807,991891689.800171,1,"conj"
"96",0.94,13093.1486743133,14365688.6895834,0,1.36170124425367,2.1995816172762,13842615.8885091,991788598.71195,1,"conj"
"97",0.95,13130.739782078,14421155.6139084,0,1.38265701083487,2.23563666939574,13890581.372968,991685128.655047,1,"conj"
"98",0.96,13168.4387765955,14476836.6418978,0,1.40378109703257,2.2720331884938,13938713.0103877,991581278.233123,1,"conj"
"99",0.97,13206.2459672357,14532732.5995471,0,1.42507467204277,2.30877397665645,13987011.3759536,991477046.044683,1,"conj"
"100",0.98,13244.1616642541,14588844.3160343,0,1.44653891276614,2.34586185766688,14035477.0468396,991372430.683061,1,"conj"
"101",0.99,13282.1861787938,14645172.6237332,0,1.46817500385763,2.38329967716886,14084110.6022147,991267430.736398,1,"conj"
"102",1,13320.3198228885,14701718.3582251,0,1.48998413777646,2.42109030283144,14132912.6232502,991162044.787627,1,"conj"
"103",1.01,13358.5629094644,14758482.358311,0,1.5119675148364,2.45923662451483,14181883.6931263,991056271.414449,1,"conj"
"104",1.02,13396.9157523435,14815465.4660245,0,1.53412634325638,2.4977415544376,14231024.3970393,990950109.189316,1,"conj"
"105",1.03,13435.3786662455,14872668.5266438,0,1.55646183921141,2.53660802734499,14280335.3222082,990843556.679411,1,"conj"
"106",1.04,13473.9519667909,14930092.3887044,0,1.57897522688387,2.5758390006786,14329817.057882,990736612.446632,1,"conj"
"107",1.05,13512.635970503,14987737.9040114,0,1.60166773851506,2.61543745474725,14379470.1953466,990629275.047566,1,"conj"
"108",1.06,13551.4309948111,15045605.9276525,0,1.62454061445711,2.65540639289917,14429295.3279316,990521543.033474,1,"conj"
"109",1.07,13590.3373580523,15103697.3180099,0,1.64759510322526,2.69574884169541,14479293.0510178,990413414.95027,1,"conj"
"110",1.08,13629.3553794749,15162012.9367738,0,1.67083246155039,2.73646785108459,14529463.9620437,990304889.338502,1,"conj"
"111",1.09,13668.4853792406,15220553.6489544,0,1.69425395443196,2.77756649457894,14579808.660513,990195964.733332,1,"conj"
"112",1.1,13707.7276784269,15279320.3228952,0,1.71786085519123,2.81904786943159,14630327.7480017,990086639.664515,1,"conj"
"113",1.11,13747.08259903,15338313.8302855,0,1.74165444552489,2.86091509681525,14681021.8281651,989976912.65638,1,"conj"
"114",1.12,13786.5504639675,15397535.0461732,0,1.76563601555895,2.90317132200218,14731891.5067448,989866782.22781,1,"conj"
"115",1.13,13826.1315970806,15456984.848978,0,1.78980686390302,2.94581971454551,14782937.3915763,989756246.892222,1,"conj"
"116",1.14,13865.8263231373,15516664.1205043,0,1.81416829770497,2.98886346846188,14834160.0925959,989645305.157544,1,"conj"
"117",1.15,13905.6349678345,15576573.7459538,0,1.83872163270581,3.03230580241546,14885560.2218482,989533955.526202,1,"conj"
"118",1.16,13945.5578578008,15636714.6139393,0,1.86346819329511,3.07614995990333,14937138.3934929,989422196.495091,1,"conj"
"119",1.17,13985.5953205995,15697087.616497,0,1.88840931256658,3.12039920944225,14988895.2238127,989310026.555561,1,"conj"
"120",1.18,14025.7476847307,15757693.6491003,0,1.91354633237414,3.16505684475676,15040831.3312201,989197444.193391,1,"conj"
"121",1.19,14066.0152796345,15818533.6106726,0,1.93888060338831,3.21012618496878,15092947.336265,989084447.888775,1,"conj"
"122",1.2,14106.3984356931,15879608.4036008,0,1.96441348515292,3.25561057478847,15145243.8616421,988971036.116297,1,"conj"
"123",1.21,14146.8974842342,15940918.9337485,0,1.99014634614223,3.30151338470667,15197721.5321979,988857207.344909,1,"conj"
"124",1.22,14187.5127575328,16002466.1104694,0,2.01608056381838,3.34783801118864,15250380.9749387,988742960.037915,1,"conj"
"125",1.23,14228.2445888149,16064250.8466207,0,2.04221752468924,3.3945878768693,15303222.8190377,988628292.652947,1,"conj"
"126",1.24,14269.0933122593,16126274.0585765,0,2.06855862436661,3.4417664307499,15356247.6958422,988513203.641943,1,"conj"
"127",1.25,14310.0592630009,16188536.6662414,0,2.09510526762477,3.48937714839615,15409456.2388818,988397691.451131,1,"conj"
"128",1.26,14351.142777133,16251039.593064,0,2.12185886845945,3.53742353213783,15462849.0838753,988281754.521001,1,"conj"
"129",1.27,14392.3441917105,16313783.7660507,0,2.14882085014713,3.58590911126985,15516426.8687383,988165391.286289,1,"conj"
"130",1.28,14433.6638447523,16376770.115779,0,2.17599264530474,3.63483744225486,15570190.2335912,988048600.175954,1,"conj"
"131",1.29,14475.1020752439,16439999.5764118,0,2.20337569594975,3.68421210892729,15624139.8207663,987931379.613158,1,"conj"
"132",1.3,14516.6592231406,16503473.0857103,0,2.23097145356063,3.73403672269895,15678276.2748157,987813728.015242,1,"conj"
"133",1.31,14558.3356293701,16567191.5850489,0,2.25878137913767,3.78431492276617,15732600.2425188,987695643.793706,1,"conj"
"134",1.32,14600.1316358348,16631156.0194282,0,2.28680694326424,3.83505037631839,15787112.3728901,987577125.354188,1,"conj"
