Cycle,Phase,Time,Genotype,Frequency
1,conj,0,Ancestor,9.99000999000999e-4
1,conj,0,Mutant,0.999000999000999
1,conj,7,Ancestor,0.2540846676427712
1,conj,7,Mutant,0.7459153323572287
1,tselect,7,Ancestor,0.2540846676427712
1,tselect,7,Mutant,0.7459153323572288
1,tselect,38.1400000000011,Ancestor,0.015523676564334333
1,tselect,38.1400000000011,Mutant,0.9844763234356657
2,conj,38.1400000000011,Ancestor,0.015523676564334333
2,conj,38.1400000000011,Mutant,0.9844763234356657
2,conj,45.1400000000011,Ancestor,0.8430454263743395
2,conj,45.1400000000011,Mutant,0.15695457362566043
2,tselect,45.1400000000011,Ancestor,0.8430454263743395
2,tselect,45.1400000000011,Mutant,0.15695457362566045
2,tselect,75.7600000000033,Ancestor,0.20744093495615015
2,tselect,75.7600000000033,Mutant,0.7925590650438499
3,conj,75.7600000000033,Ancestor,0.20744093495615015
3,conj,75.7600000000033,Mutant,0.7925590650438499
3,conj,82.7600000000033,Ancestor,0.988907745498844
3,conj,82.7600000000033,Mutant,0.01109225450115601
3,tselect,82.7600000000033,Ancestor,0.9889077454988439
3,tselect,82.7600000000033,Mutant,0.01109225450115601
3,tselect,109.320000000017,Ancestor,0.8664011529494348
3,tselect,109.320000000017,Mutant,0.13359884705056524
