"","Time","A1","M1","F1","A2","M2","F2","C","Cycle","Phase"
"2",0,1e+07,10000,0,0,0,1e+07,1e+09,1,"conj"
"3",0.01,10028712.8712871,10038.6138613861,0,9.40594059405941,1.38613861386139e-05,10034644.0593921,999936595.049505,1,"conj"
"4",0.02,10057508.167394,10077.3768014656,0,18.898569101069,2.78780187039155e-05,10069408.0909432,999872987.466264,1,"conj"
"5",0.03,10086386.1248219,10116.2893956196,0,28.4785129843255,4.20512434553107e-05,10104292.509796,999809176.597432,1,"conj"
"6",0.04,10115346.9807499,10155.352221449,0,38.1464039089493,5.63824168220591e-05,10139297.7325271,999745161.788041,1,"conj"
"7",0.05,10144390.9730372,10194.5658587825,0,47.902877769158,7.08729059845966e-05,10174424.177153,999680942.381002,1,"conj"
"8",0.06,10173518.3402244,10233.9308896855,0,57.7485747157142,8.55240889564674e-05,10209672.2631341,999616517.717092,1,"conj"
"9",0.07,10202729.321536,10273.4478984686,0,67.6841391835493,0.000100337354666867,10245042.4113803,999551887.134946,1,"conj"
"10",0.08,10232024.1568822,10313.1174716962,0,77.7102199195641,0.000115314103043803,10280535.0442558,999487049.971055,1,"conj"
"11",0.09,10261403.0868608,10352.9401981953,0,87.8274700106066,0.000130455745097877,10316150.585584,999422005.559757,1,"conj"
"12",0.1,10290866.3527592,10392.9166690641,0,98.0365469116304,0.000145763703006693,10351889.4606527,999356753.233227,1,"conj"
"13",0.11,10320414.1965563,10433.047477681,0,108.338112474032,0.000161239410199896,10387752.096219,999291292.321473,1,"conj"
"14",0.12,10350046.8609248,10473.333219713,0,118.732832974168,0.000176884311444847,10423738.9205145,999225622.152331,1,"conj"
"15",0.13,10379764.5892325,10513.7744931248,0,129.221379142062,0.000192699862932938,10459850.3632502,999159742.051453,1,"conj"
"16",0.14,10409567.6255452,10554.3718981876,0,139.804426190283,0.00020868753236655,10496086.8556219,999093651.3423,1,"conj"
