Cycle,Phase,Time,Genotype,Frequency
1,conj,0,Ancestor,0.999000999000999
1,conj,0,Mutant,9.99000999000999e-4
1,conj,7,Ancestor,0.9999970638137295
1,conj,7,Mutant,2.9361862704423345e-6
1,tselect,7,Ancestor,1
1,tselect,7,Mutant,0
1,tselect,28.5800000000018,Ancestor,1
1,tselect,28.5800000000018,Mutant,0
2,conj,28.5800000000018,Ancestor,1
2,conj,28.5800000000018,Mutant,0
2,conj,35.5800000000018,Ancestor,1
2,conj,35.5800000000018,Mutant,0
2,tselect,35.5800000000018,Ancestor,1
2,tselect,35.5800000000018,Mutant,0
2,tselect,57.1499999999975,Ancestor,1
2,tselect,57.1499999999975,Mutant,0
3,conj,57.1499999999975,Ancestor,1
3,conj,57.1499999999975,Mutant,0
3,conj,64.1499999999975,Ancestor,1
3,conj,64.1499999999975,Mutant,0
3,tselect,64.1499999999975,Ancestor,1
3,tselect,64.1499999999975,Mutant,0
3,tselect,85.7300000000085,Ancestor,1
3,tselect,85.7300000000085,Mutant,0
