"","Time","A1","M1","F1","A2","M2","F2","C","Phase","Type","Cycle"
"1",0,1e+07,10000,0,0,0,1e+07,1e+09,"conj","start",1
"701",7,74322563.2943206,148227.667274745,0,205897.908339633,0.604556386669787,112235270.526281,833098039.999228,"conj","end",1
"11",7,0,0,0,20589.7908339633,0,0,1e+09,"tselect","start",1
"22157",28.5800000000018,0,0,0,10017175.6300654,0,0,990003414.160767,"tselect","end",1
"12",28.5800000000018,0,0,1e+07,10017175.6300654,0,0,1e+09,"conj","start",2
"7011",35.5800000000018,206251.201832204,0,112234878.590406,74450223.7576996,0,0,833125822.080128,"conj","end",2
"111",35.5800000000018,20625.1201832204,0,0,0,0,0,1e+09,"tselect","start",2
"22156",57.1499999999975,10005635.8948928,0,0,0,0,0,990014989.22529,"tselect","end",2
"13",57.1499999999975,10005635.8948928,0,0,0,0,1e+07,1e+09,"conj","start",3
"7012",64.1499999999975,74364503.1619038,0,0,206014.159001454,0,112235233.549953,833199885.024035,"conj","end",3
"112",64.1499999999975,0,0,0,20601.4159001454,0,0,1e+09,"tselect","start",3
"221571",85.7300000000085,0,0,0,10022830.8046957,0,0,989997770.611203,"tselect","end",3
