"","Time","A1","M1","F1","A2","M2","F2","C","Cycle","Phase"
"1",0,1e+07,1e+05,0,0,0,0,1e+09,1,"growth"
"2",0.01,10028712.8712871,100386.138613861,0,0,0,0,999970900.990099,1,"growth"
"3",0.02,10057508.1771756,100773.768146331,0,0,0,0,999941718.054678,1,"growth"
"4",0.03,10086386.1542867,101162.894353229,0,0,0,0,999912450.95136,1,"growth"
"5",0.04,10115347.0399205,101553.523012592,0,0,0,0,999883099.437067,1,"growth"
"6",0.05,10144391.0720583,101945.659924755,0,0,0,0,999853663.268017,1,"growth"
"7",0.06,10173518.4893639,102339.310912445,0,0,0,0,999824142.199724,1,"growth"
"8",0.07,10202729.5311859,102734.481820858,0,0,0,0,999794535.986993,1,"growth"
"9",0.08,10232024.4375597,103131.178517754,0,0,0,0,999764844.383922,1,"growth"
"10",0.09,10261403.4492095,103529.406893539,0,0,0,0,999735067.143897,1,"growth"
"11",0.1,10290866.80755,103929.172861353,0,0,0,0,999705204.019589,1,"growth"
"12",0.11,10320414.7546887,104330.482357161,0,0,0,0,999675254.762954,1,"growth"
"13",0.12,10350047.5334276,104733.341339837,0,0,0,0,999645219.125233,1,"growth"
"14",0.13,10379765.3872655,105137.755791254,0,0,0,0,999615096.856943,1,"growth"
"15",0.14,10409568.5603997,105543.731716373,0,0,0,0,999584887.707884,1,"growth"
"16",0.15,10439457.2977282,105951.275143332,0,0,0,0,999554591.427128,1,"growth"
"17",0.16,10469431.8448517,106360.392123535,0,0,0,0,999524207.763025,1,"growth"
"18",0.17,10499492.4480754,106771.088731742,0,0,0,0,999493736.463193,1,"growth"
"19",0.18,10529639.3544114,107183.371066159,0,0,0,0,999463177.274522,1,"growth"
"20",0.19,10559872.8115802,107597.245248529,0,0,0,0,999432529.943171,1,"growth"
"21",0.2,10590193.0680134,108012.717424223,0,0,0,0,999401794.214562,1,"growth"
"22",0.21,10620600.3728551,108429.793762328,0,0,0,0,999370969.833382,1,"growth"
"23",0.22,10651094.9759643,108848.480455743,0,0,0,0,999340056.54358,1,"growth"
"24",0.23,10681677.1279169,109268.78372127,0,0,0,0,999309054.088362,1,"growth"
"25",0.24,10712347.0800076,109690.709799702,0,0,0,0,999277962.210193,1,"growth"
"26",0.25,10743105.0842523,110114.26495592,0,0,0,0,999246780.650792,1,"growth"
"27",0.26,10773951.3933898,110539.455478987,0,0,0,0,999215509.151131,1,"growth"
"28",0.27,10804886.2608839,110966.287682234,0,0,0,0,999184147.451434,1,"growth"
"29",0.28,10835909.9409259,111394.767903362,0,0,0,0,999152695.291171,1,"growth"
"30",0.29,10867022.6884362,111824.902504532,0,0,0,0,999121152.409059,1,"growth"
"31",0.3,10898224.7590665,112256.697872459,0,0,0,0,999089518.543061,1,"growth"
"32",0.31,10929516.4092021,112690.160418509,0,0,0,0,999057793.430379,1,"growth"
"33",0.32,10960897.8959639,113125.29657879,0,0,0,0,999025976.807457,1,"growth"
"34",0.33,10992369.4772104,113562.112814253,0,0,0,0,998994068.409975,1,"growth"
"35",0.34,11023931.4115398,114000.615610783,0,0,0,0,998962067.972849,1,"growth"
"36",0.35,11055583.9582925,114440.811479299,0,0,0,0,998929975.230228,1,"growth"
"37",0.36,11087327.3775527,114882.706955847,0,0,0,0,998897789.915491,1,"growth"
"38",0.37,11119161.9301508,115326.308601699,0,0,0,0,998865511.761248,1,"growth"
"39",0.38,11151087.8776655,115771.623003451,0,0,0,0,998833140.499331,1,"growth"
"40",0.39,11183105.4824263,116218.656773118,0,0,0,0,998800675.860801,1,"growth"
"41",0.4,11215215.0075147,116667.416548235,0,0,0,0,998768117.575937,1,"growth"
"42",0.41,11247416.7167675,117117.908991954,0,0,0,0,998735465.374241,1,"growth"
"43",0.42,11279710.8747782,117570.140793142,0,0,0,0,998702718.984429,1,"growth"
"44",0.43,11312097.7468993,118024.118666483,0,0,0,0,998669878.134434,1,"growth"
"45",0.44,11344577.5992448,118479.849352574,0,0,0,0,998636942.551402,1,"growth"
"46",0.45,11377150.6986921,118937.339618028,0,0,0,0,998603911.96169,1,"growth"
"47",0.46,11409817.3128841,119396.596255572,0,0,0,0,998570786.09086,1,"growth"
"48",0.47,11442577.7102317,119857.62608415,0,0,0,0,998537564.663684,1,"growth"
"49",0.48,11475432.1599158,120320.435949022,0,0,0,0,998504247.404135,1,"growth"
"50",0.49,11508380.9318894,120785.032721867,0,0,0,0,998470834.035389,1,"growth"
"51",0.5,11541424.2968802,121251.423300883,0,0,0,0,998437324.279819,1,"growth"
"52",0.51,11574562.5263925,121719.614610894,0,0,0,0,998403717.858997,1,"growth"
"53",0.52,11607795.8927094,122189.613603445,0,0,0,0,998370014.493687,1,"growth"
"54",0.53,11641124.6688953,122661.427256914,0,0,0,0,998336213.903848,1,"growth"
"55",0.54,11674549.1287977,123135.062576608,0,0,0,0,998302315.808626,1,"growth"
"56",0.55,11708069.5470501,123610.526594869,0,0,0,0,998268319.926355,1,"growth"
