Cycle,Phase,Time,Genotype,Frequency
1,growth,0,Ancestor,0.9900990099009901
1,growth,0,Mutant,0.009900990099009901
1,growth,24,Ancestor,0.9540403473150577
1,growth,24,Mutant,0.04595965268494227
1,growth,24,Ancestor,0.9540403473150577
1,growth,24,Mutant,0.045959652684942266
1,growth,48,Ancestor,0.6841813677353439
1,growth,48,Mutant,0.31581863226465606
1,growth,48,Ancestor,0.6841813677353439
1,growth,48,Mutant,0.3158186322646561
1,growth,72,Ancestor,0.22709292921238783
1,growth,72,Mutant,0.7729070707876122
1,growth,72,Ancestor,0.22709292921238783
1,growth,72,Mutant,0.7729070707876122
1,growth,96,Ancestor,0.04532209397374219
1,growth,96,Mutant,0.9546779060262579
1,growth,96,Ancestor,0.045322093973742185
1,growth,96,Mutant,0.9546779060262578
1,growth,120,Ancestor,0.007953879549057258
1,growth,120,Mutant,0.9920461204509428
1,growth,120,Ancestor,0.007953879549057258
1,growth,120,Mutant,0.9920461204509426
1,growth,144,Ancestor,0.0013632702823082653
1,growth,144,Mutant,0.9986367297176918
1,growth,144,Ancestor,0.0013632702823082653
1,growth,144,Mutant,0.9986367297176918
1,growth,168,Ancestor,2.3270789837851868e-4
1,growth,168,Mutant,0.9997672921016214
1,conj,168,Ancestor,2.3270789837851865e-4
1,conj,168,Mutant,0.9997672921016214
1,conj,173,Ancestor,0.08804731342032064
1,conj,173,Mutant,0.9119526865796794
1,tselect,173,Ancestor,0.08804731342032039
1,tselect,173,Mutant,0.91195268657967965
1,tselect,245,Ancestor,0.00671299917370321
1,tselect,245,Mutant,0.9932870008262967
