"","Time","A1","M1","F1","A2","M2","F2","C","Phase","Type","Cycle"
"1",0,1e+07,1e+05,0,0,0,0,1e+09,"growth","start",1
"2401",24,963676154.82294,46423845.1770602,0,0,0,0,4.1191946057141e-115,"growth","end",1
"11",24,963676.15482294,46423.8451770602,0,0,0,0,1e+09,"growth","start",1
"24011",48,684872459.334892,316137640.665106,0,0,0,0,8.091345767972e-10,"growth","end",1
"12",48,684872.459334892,316137.640665106,0,0,0,0,1e+09,"growth","start",1
"24012",72,227320251.528168,773680758.571832,0,0,0,0,6.34058959145134e-66,"growth","end",1
"13",72,227320.251528168,773680.758571832,0,0,0,0,1e+09,"growth","start",1
"24013",96,45367461.4355896,955633539.574507,0,0,0,0,3.19440662396813e-108,"growth","end",1
"14",96,45367.4614355896,955633.539574507,0,0,0,0,1e+09,"growth","start",1
"24014",120,7961841.39044776,993039159.61056,0,0,0,0,2.688513771567e-119,"growth","end",1
"15",120,7961.84139044776,993039.15961056,0,0,0,0,1e+09,"growth","start",1
"24015",144,1364634.91722549,999636366.083775,0,0,0,0,2.3899371821532e-121,"growth","end",1
"16",144,1364.63491722549,999636.366083775,0,0,0,0,1e+09,"growth","start",1
"24016",168,232940.839217738,1000768060.16179,0,0,0,0,1.05566104122802e-121,"growth","end",1
"17",168,2329.40839217738,10007680.6016179,0,0,0,1e+07,1e+09,"conj","start",1
"501",173,9763.39174484881,68687988.8802854,0,12.2479467751451,126.85847566248,56350112.1970547,894962006.434502,"conj","end",1
"18",173,0,0,0,6.12397338757255,63.4292378312402,0,1e+09,"tselect","start",1
"2",245,0,0,0,67129.9917370321,9932870.00826297,0,1e+09,"tselect","end",1
