Cycle,Phase,Time,Genotype,Frequency
1,growth,0,Ancestor,0.999999000001
1,growth,0,Mutant,9.99999000001e-7
1,growth,24,Ancestor,0.9999894251039726
1,growth,24,Mutant,1.05748960274436e-5
1,growth,24,Ancestor,0.9999894251039726
1,growth,24,Mutant,1.0574896027443602e-5
1,growth,48,Ancestor,0.9998879563341219
1,growth,48,Mutant,1.1204366587806509e-4
1,growth,48,Ancestor,0.999887956334122
1,growth,48,Mutant,1.1204366587806509e-4
1,growth,72,Ancestor,0.9988126982898068
1,growth,72,Mutant,0.0011873017101932887
1,growth,72,Ancestor,0.9988126982898067
1,growth,72,Mutant,0.0011873017101932885
1,growth,96,Ancestor,0.9875392187350505
1,growth,96,Mutant,0.012460781264949563
1,growth,96,Ancestor,0.9875392187350505
1,growth,96,Mutant,0.012460781264949563
1,growth,120,Ancestor,0.8820031400763847
1,growth,120,Mutant,0.11799685992361524
1,growth,120,Ancestor,0.8820031400763847
1,growth,120,Mutant,0.11799685992361524
1,growth,144,Ancestor,0.45546227847290754
1,growth,144,Mutant,0.5445377215270925
1,growth,144,Ancestor,0.4554622784729075
1,growth,144,Mutant,0.5445377215270925
1,growth,168,Ancestor,0.11178581926487259
1,growth,168,Mutant,0.8882141807351274
1,conj,168,Ancestor,0.11178581926487247
1,conj,168,Mutant,0.8882141807351275
1,conj,173,Ancestor,0.9812041934061364
1,conj,173,Mutant,0.01879580659386361
1,tselect,173,Ancestor,0.9812041934061364
1,tselect,173,Mutant,0.018795806593863613
1,tselect,245,Ancestor,0.723004567189892
1,tselect,245,Mutant,0.27699543281010797
2,growth,245,Ancestor,0.723004567189892
2,growth,245,Mutant,0.27699543281010797
2,growth,269,Ancestor,0.39607514275720496
2,growth,269,Mutant,0.603924857242795
2,growth,269,Ancestor,0.39607514275720496
2,growth,269,Mutant,0.603924857242795
2,growth,293,Ancestor,0.091725444266607
2,growth,293,Mutant,0.908274555733393
2,growth,293,Ancestor,0.09172544426660699
2,growth,293,Mutant,0.908274555733393
2,growth,317,Ancestor,0.01659707513539891
2,growth,317,Mutant,0.983402924864601
2,growth,317,Ancestor,0.01659707513539891
2,growth,317,Mutant,0.983402924864601
2,growth,341,Ancestor,0.0028600734748051586
2,growth,341,Mutant,0.9971399265251948
2,growth,341,Ancestor,0.002860073474805158
2,growth,341,Mutant,0.9971399265251948
2,growth,365,Ancestor,4.886616460829468e-4
2,growth,365,Mutant,0.999511338353917
2,growth,365,Ancestor,4.886616460829468e-4
2,growth,365,Mutant,0.9995113383539171
2,growth,389,Ancestor,8.336866056316906e-5
2,growth,389,Mutant,0.9999166313394369
2,growth,389,Ancestor,8.336866056316904e-5
2,growth,389,Mutant,0.9999166313394368
2,growth,413,Ancestor,1.4219644904398086e-5
2,growth,413,Mutant,0.9999857803550956
2,conj,413,Ancestor,1.4219644904398086e-5
2,conj,413,Mutant,0.9999857803550957
2,conj,418,Ancestor,0.00586370969966657
2,conj,418,Mutant,0.9941362903003333
2,tselect,418,Ancestor,0.00586370969966658
2,tselect,418,Mutant,0.9941362903003333
2,tselect,490,Ancestor,2.948278305525848e-4
2,tselect,490,Mutant,0.9997051721694475
3,growth,490,Ancestor,2.948278305525848e-4
3,growth,490,Mutant,0.9997051721694475
3,growth,514,Ancestor,9.045547430932078e-5
3,growth,514,Mutant,0.9999095445256907
3,growth,514,Ancestor,9.045547430932078e-5
3,growth,514,Mutant,0.9999095445256907
3,growth,538,Ancestor,1.5463823175557135e-5
3,growth,538,Mutant,0.9999845361768245
3,growth,538,Ancestor,1.5463823175557135e-5
3,growth,538,Mutant,0.9999845361768245
3,growth,562,Ancestor,2.6374583023901526e-6
3,growth,562,Mutant,0.9999973625416976
3,growth,562,Ancestor,2.6374583023901526e-6
3,growth,562,Mutant,0.9999973625416976
3,growth,586,Ancestor,4.49831531394348e-7
3,growth,586,Mutant,0.9999995501684685
3,growth,586,Ancestor,4.49831531394348e-7
3,growth,586,Mutant,0.9999995501684686
3,growth,610,Ancestor,7.672088420654532e-8
3,growth,610,Mutant,0.9999999232791158
3,growth,610,Ancestor,0
3,growth,610,Mutant,1
3,growth,634,Ancestor,0
3,growth,634,Mutant,1
3,growth,634,Ancestor,0
3,growth,634,Mutant,1
3,growth,658,Ancestor,0
3,growth,658,Mutant,1
3,conj,658,Ancestor,0
3,conj,658,Mutant,1
3,conj,663,Ancestor,0
3,conj,663,Mutant,1
3,tselect,663,Ancestor,0
3,tselect,663,Mutant,1
3,tselect,735,Ancestor,0
3,tselect,735,Mutant,1
