"","Time","A1","M1","F1","A2","M2","F2","C","Phase","Type","Cycle"
"1",0,1e+06,1,0,0,0,0,1e+09,"growth","start",1
"2401",24,946498272.637332,10009.2266698261,0,0,0,0,54491719.1359967,"growth","end",1
"11",24,946498.272637332,10.0092266698261,0,0,0,0,1e+09,"growth","start",1
"24011",48,901125279.172965,100976.693492841,0,0,0,0,99720252.4154075,"growth","end",1
"12",48,901125.279172965,100.976693492841,0,0,0,0,1e+09,"growth","start",1
"24012",72,860725304.752105,1023155.42051939,0,0,0,0,139152766.083243,"growth","end",1
"13",72,860725.304752105,1023.15542051939,0,0,0,0,1e+09,"growth","start",1
"24013",96,823641296.951409,10392715.3953816,0,0,0,0,166827736.113381,"growth","end",1
"14",96,823641.296951409,10392.7153953816,0,0,0,0,1e+09,"growth","start",1
"24014",120,785494572.312862,105085672.384266,0,0,0,0,110253789.315218,"growth","end",1
"15",120,785494.572312862,105085.672384266,0,0,0,0,1e+09,"growth","start",1
"24015",144,455867904.180322,545022676.064379,0,0,0,0,2.2073390457143e-24,"growth","end",1
"16",144,455867.904180322,545022.676064379,0,0,0,0,1e+09,"growth","start",1
"24016",168,111897704.63838,889103185.941867,0,0,0,0,1.06193562793756e-90,"growth","end",1
"17",168,1118977.0463838,8891031.85941868,0,0,0,1e+07,1e+09,"conj","start",1
"501",173,4690105.79355895,61025044.516433,0,5883.39830397413,112.701532850452,56344568.7231558,897944293.772817,"conj","end",1
"18",173,0,0,0,2941.69915198707,56.3507664252261,0,1e+09,"tselect","start",1
"2",245,0,0,0,7230045.67189892,2769954.32810108,0,1e+09,"tselect","end",1
"19",245,0,0,0,7230045.67189892,2769954.32810108,0,1e+09,"growth","start",2
"24017",269,0,0,0,400035894.184777,609964105.815223,0,5.41786935089379e-181,"growth","end",2
"111",269,0,0,0,400035.894184777,609964.105815223,0,1e+09,"growth","start",2
"240111",293,0,0,0,91818086.9653165,909191913.034686,0,2.95837649985419e-96,"growth","end",2
"121",293,0,0,0,91818.0869653165,909191.913034686,0,1e+09,"growth","start",2
"240121",317,0,0,0,16613688.9735802,984387321.02642,0,1.1853466980719e-116,"growth","end",2
"131",317,0,0,0,16613.6889735802,984387.32102642,0,1e+09,"growth","start",2
"240131",341,0,0,0,2862936.41124211,998138064.598757,0,7.02822663130916e-121,"growth","end",2
"141",341,0,0,0,2862.93641124211,998138.064598757,0,1e+09,"growth","start",2
"240141",365,0,0,0,489150.796879831,1000511850.20413,0,1.27040115808692e-121,"growth","end",2
"151",365,0,0,0,489.150796879831,1000511.85020413,0,1e+09,"growth","start",2
"240151",389,0,0,0,83452.1126758453,1000917548.88833,0,9.4750971463779e-122,"growth","end",2
"161",389,0,0,0,83.4521126758453,1000917.54888833,0,1e+09,"growth","start",2
"240161",413,0,0,0,14233.8787831813,1000986767.12222,0,9.01245873059834e-122,"growth","end",2
"171",413,0,0,1e+07,142.338787831813,10009867.6712222,0,1e+09,"conj","start",2
"5011",418,0.748412337753046,126.886203986381,56350123.0512469,596.593242595996,68702997.2308298,0,894956165.500075,"conj","end",2
"181",418,0.374206168876523,63.4431019931904,0,0,0,0,1e+09,"tselect","start",2
"21",490,2948.27830552585,9997051.72169448,0,0,0,0,1e+09,"tselect","end",2
"110",490,2948.27830552585,9997051.72169448,0,0,0,0,1e+09,"growth","start",3
"24018",514,91360.0290524142,1009908639.97095,0,0,0,0,1.18005441677134e-252,"growth","end",3
"112",514,91.3600290524142,1009908.63997095,0,0,0,0,1e+09,"growth","start",3
"240112",538,15479.4416369644,1000994520.55836,0,0,0,0,2.85112831730597e-122,"growth","end",3
"122",538,15.4794416369644,1000994.52055836,0,0,0,0,1e+09,"growth","start",3
"240122",562,2640.09842452544,1000998369.90158,0,0,0,0,8.92686762817316e-122,"growth","end",3
"132",562,2.64009842452544,1000998.36990158,0,0,0,0,1e+09,"growth","start",3
"240132",586,450.281813211605,1001000550.72819,0,0,0,0,8.92304690499359e-122,"growth","end",3
"142",586,0.450281813211605,1001000.55072819,0,0,0,0,1e+09,"growth","start",3
"240142",610,76.7976818884346,1001000924.20333,0,0,0,0,8.92064711325549e-122,"growth","end",3
"152",610,0,1001000.92420333,0,0,0,0,1e+09,"growth","start",3
"240152",634,0,1001001000.9242,0,0,0,0,8.92023969682928e-122,"growth","end",3
"162",634,0,1001001.0009242,0,0,0,0,1e+09,"growth","start",3
"240162",658,0,1001001001.00093,0,0,0,0,8.92015171426837e-122,"growth","end",3
"172",658,0,10010010.0100093,0,0,0,1e+07,1e+09,"conj","start",3
"5012",663,0,68703974.0037229,0,0,126.888008600219,56350123.7576524,894955785.360624,"conj","end",3
"182",663,0,0,0,0,63.4440043001096,0,1e+09,"tselect","start",3
"22",735,0,0,0,0,1e+07,0,1e+09,"tselect","end",3
