Cycle,Phase,Time,Genotype,Frequency
1,growth,0,Ancestor,0.999000999000999
1,growth,0,Mutant,9.99000999000999e-4
1,growth,24,Ancestor,0.9951361188585234
1,growth,24,Mutant,0.004863881141476625
1,growth,24,Ancestor,0.9951361188585234
1,growth,24,Mutant,0.004863881141476626
1,growth,48,Ancestor,0.9510568250258324
1,growth,48,Mutant,0.04894317497416762
1,growth,48,Ancestor,0.9510568250258323
1,growth,48,Mutant,0.04894317497416767
1,growth,72,Ancestor,0.6694532442007914
1,growth,72,Mutant,0.33054675579920856
1,growth,72,Ancestor,0.6694532442007914
1,growth,72,Mutant,0.33054675579920856
1,growth,96,Ancestor,0.21689873024531758
1,growth,96,Mutant,0.7831012697546824
1,growth,96,Ancestor,0.21689873024531758
1,growth,96,Mutant,0.7831012697546824
1,growth,120,Ancestor,0.04294697650622068
1,growth,120,Mutant,0.9570530234937793
1,growth,120,Ancestor,0.042946976506220695
1,growth,120,Mutant,0.9570530234937793
1,growth,144,Ancestor,0.007525550681591486
1,growth,144,Mutant,0.9924744493184084
1,growth,144,Ancestor,0.007525550681591485
1,growth,144,Mutant,0.9924744493184084
1,growth,168,Ancestor,0.001289512731516394
1,growth,168,Mutant,0.9987104872684835
1,conj,168,Ancestor,0.001289512731516394
1,conj,168,Mutant,0.9987104872684835
1,conj,175,Ancestor,0.3054687157844151
1,conj,175,Mutant,0.694531284215585
1,tselect,175,Ancestor,0.3054687157844151
1,tselect,175,Mutant,0.694531284215585
1,tselect,206.129999999972,Ancestor,0.019972937945161705
1,tselect,206.129999999972,Mutant,0.9800270620548384
