Cycle,Phase,Time,Genotype,Frequency
1,growth,0,Ancestor,9.99000999000999e-4
1,growth,0,Mutant,0.999000999000999
1,growth,24,Ancestor,3.066903610246863e-4
1,growth,24,Mutant,0.9996933096389753
1,growth,24,Ancestor,3.0669036102468636e-4
1,growth,24,Mutant,0.9996933096389754
1,growth,48,Ancestor,5.2437403442415204e-5
1,growth,48,Mutant,0.9999475625965576
1,growth,48,Ancestor,5.2437403442415204e-5
1,growth,48,Mutant,0.9999475625965576
1,growth,72,Ancestor,8.94375338961331e-6
1,growth,72,Mutant,0.9999910562466104
1,growth,72,Ancestor,8.943753389613308e-6
1,growth,72,Mutant,0.9999910562466103
1,growth,96,Ancestor,1.5254072210639803e-6
1,growth,96,Mutant,0.9999984745927789
1,growth,96,Ancestor,1.5254072210639805e-6
1,growth,96,Mutant,0.9999984745927789
1,growth,120,Ancestor,2.601655515040448e-7
1,growth,120,Mutant,0.9999997398344486
1,growth,120,Ancestor,2.601655515040448e-7
1,growth,120,Mutant,0.9999997398344485
1,growth,144,Ancestor,4.437245373501539e-8
1,growth,144,Mutant,0.9999999556275463
1,growth,144,Ancestor,0
1,growth,144,Mutant,1
1,growth,168,Ancestor,0
1,growth,168,Mutant,1
1,conj,168,Ancestor,0
1,conj,168,Mutant,1
1,conj,175,Ancestor,0
1,conj,175,Mutant,1
1,tselect,175,Ancestor,0
1,tselect,175,Mutant,1
1,tselect,206.179999999972,Ancestor,0
1,tselect,206.179999999972,Mutant,1
