"","Time","A1","M1","F1","A2","M2","F2","C","Cycle","Phase"
"3",0,1e+06,0.2,0,0,0,0,1e+09,1,"growth"
"4",0.01,1004801.98019802,0.201346534653465,0,0,0,0,999995198.018455,1,"growth"
"5",0.02,1009627.01918046,0.202702135020344,0,0,0,0,999990372.978117,1,"growth"
"6",0.03,1014475.22767183,0.204066862135943,0,0,0,0,999985524.768261,1,"growth"
"7",0.04,1019346.7169283,0.205440777446481,0,0,0,0,999980653.277631,1,"growth"
"8",0.05,1024241.59874027,0.206823942811861,0,0,0,0,999975758.394436,1,"growth"
"9",0.06,1029159.98543488,0.208216420508449,0,0,0,0,999970840.006348,1,"growth"
"10",0.07,1034101.98987868,0.20961827323188,0,0,0,0,999965898.000503,1,"growth"
"11",0.08,1039067.7254801,0.211029564099882,0,0,0,0,999960932.26349,1,"growth"
"12",0.09,1044057.30619217,0.212450356655116,0,0,0,0,999955942.681357,1,"growth"
"13",0.1,1049070.84651504,0.213880714868036,0,0,0,0,999950929.139604,1,"growth"
"14",0.11,1054108.46149868,0.215320703139772,0,0,0,0,999945891.52318,1,"growth"
"15",0.12,1059170.26674547,0.216770386305026,0,0,0,0,999940829.716484,1,"growth"
"16",0.13,1064256.37841286,0.218229829634993,0,0,0,0,999935743.603357,1,"growth"
"17",0.14,1069366.91321608,0.219699098840297,0,0,0,0,999930633.067085,1,"growth"
"18",0.15,1074501.98843074,0.221178260073955,0,0,0,0,999925497.990391,1,"growth"
"19",0.16,1079661.72189559,0.222667379934347,0,0,0,0,999920338.255437,1,"growth"
"20",0.17,1084846.23201518,0.224166525468221,0,0,0,0,999915153.743818,1,"growth"
"21",0.18,1090055.63776262,0.225675764173709,0,0,0,0,999909944.336561,1,"growth"
"22",0.19,1095290.05868226,0.227195164003365,0,0,0,0,999904709.914122,1,"growth"
"23",0.2,1100549.61489245,0.228724793367225,0,0,0,0,999899450.356382,1,"growth"
"24",0.21,1105834.42708833,0.230264721135888,0,0,0,0,999894165.542647,1,"growth"
"25",0.22,1111144.61654454,0.231815016643614,0,0,0,0,999888855.35164,1,"growth"
"26",0.23,1116480.30511805,0.233375749691448,0,0,0,0,999883519.661506,1,"growth"
"27",0.24,1121841.61525095,0.234946990550361,0,0,0,0,999878158.349802,1,"growth"
"28",0.25,1127228.66997321,0.236528809964413,0,0,0,0,999872771.293498,1,"growth"
"29",0.26,1132641.59290559,0.23812127915394,0,0,0,0,999867358.368973,1,"growth"
"30",0.27,1138080.50826239,0.239724469818759,0,0,0,0,999861919.452013,1,"growth"
"31",0.28,1143545.54085436,0.241338454141394,0,0,0,0,999856454.417807,1,"growth"
"32",0.29,1149036.81609151,0.24296330479033,0,0,0,0,999850963.140945,1,"growth"
"33",0.3,1154554.45998606,0.244599094923281,0,0,0,0,999845445.495414,1,"growth"
"34",0.31,1160098.59915526,0.246245898190485,0,0,0,0,999839901.354598,1,"growth"
"35",0.32,1165669.36082433,0.24790378873802,0,0,0,0,999834330.591271,1,"growth"
"36",0.33,1171266.87282938,0.249572841211139,0,0,0,0,999828733.077597,1,"growth"
"37",0.34,1176891.26362032,0.251253130757637,0,0,0,0,999823108.685126,1,"growth"
"38",0.35,1182542.66226384,0.252944733031226,0,0,0,0,999817457.284791,1,"growth"
"39",0.36,1188221.19844635,0.254647724194947,0,0,0,0,999811778.746905,1,"growth"
"40",0.37,1193927.00247695,0.256362180924597,0,0,0,0,999806072.94116,1,"growth"
"41",0.38,1199660.20529044,0.258088180412179,0,0,0,0,999800339.736621,1,"growth"
"42",0.39,1205420.93845031,0.259825800369381,0,0,0,0,999794579.001723,1,"growth"
"43",0.4,1211209.33415176,0.261575119031069,0,0,0,0,999788790.604273,1,"growth"
"44",0.41,1217025.52522473,0.263336215158817,0,0,0,0,999782974.411439,1,"growth"
"45",0.42,1222869.64513695,0.265109168044444,0,0,0,0,999777130.289753,1,"growth"
"46",0.43,1228741.82799703,0.26689405751359,0,0,0,0,999771258.105108,1,"growth"
"47",0.44,1234642.20855748,0.268690963929307,0,0,0,0,999765357.722751,1,"growth"
"48",0.45,1240570.92221785,0.270499968195678,0,0,0,0,999759429.007282,1,"growth"
"49",0.46,1246528.10502781,0.272321151761457,0,0,0,0,999753471.822651,1,"growth"
"50",0.47,1252513.89369027,0.274154596623739,0,0,0,0,999747486.032155,1,"growth"
"51",0.48,1258528.42556456,0.27600038533165,0,0,0,0,999741471.498435,1,"growth"
"52",0.49,1264571.83866951,0.277858600990061,0,0,0,0,999735428.083472,1,"growth"
"53",0.5,1270644.27168668,0.279729327263335,0,0,0,0,999729355.648584,1,"growth"
"54",0.51,1276745.86396351,0.281612648379086,0,0,0,0,999723254.054424,1,"growth"
"55",0.52,1282876.75551651,0.283508649131977,0,0,0,0,999717123.160975,1,"growth"
"56",0.53,1289037.0870345,0.285417414887535,0,0,0,0,999710962.827548,1,"growth"
"57",0.54,1295226.99988183,0.287339031585993,0,0,0,0,999704772.912779,1,"growth"
"58",0.55,1301446.63610158,0.289273585746162,0,0,0,0,999698553.274625,1,"growth"
