Cycle,Phase,Time,Genotype,Frequency
1,growth,0,Ancestor,0.9999998000000401
1,growth,0,Mutant,1.9999996000000803e-07
1,growth,24,Ancestor,0.9999983219372434
1,growth,24,Mutant,1.678062756620917e-6
1,growth,24,Ancestor,0.9999983219372434
1,growth,24,Mutant,1.678062756620917e-6
1,growth,48,Ancestor,0.9999859250518139
1,growth,48,Mutant,1.4074948186036675e-5
1,growth,48,Ancestor,0.9999859250518139
1,growth,48,Mutant,1.4074948186036673e-5
1,growth,72,Ancestor,0.9998819588963376
1,growth,72,Mutant,1.1804110366246514e-4
1,growth,72,Ancestor,0.9998819588963376
1,growth,72,Mutant,1.1804110366246514e-4
1,growth,96,Ancestor,0.9990110284347017
1,growth,96,Mutant,9.889715652983088e-4
1,growth,96,Ancestor,0.9990110284347017
1,growth,96,Mutant,9.889715652983088e-4
1,growth,120,Ancestor,0.9917831601827111
1,growth,120,Mutant,0.008216839817288938
1,growth,120,Ancestor,0.9917831601827111
1,growth,120,Mutant,0.008216839817288938
1,growth,144,Ancestor,0.9360961267164655
1,growth,144,Mutant,0.06390387328353453
1,growth,144,Ancestor,0.9360961267164655
1,growth,144,Mutant,0.06390387328353453
1,growth,168,Ancestor,0.6603800609340402
1,growth,168,Mutant,0.3396199390659597
1,conj,168,Ancestor,0.6603800609340402
1,conj,168,Mutant,0.3396199390659598
1,conj,192,Ancestor,0.9896082372956688
1,conj,192,Mutant,0.010391762704331111
1,tselect,192,Ancestor,0.9896082372956688
1,tselect,192,Mutant,0.010391762704331111
1,tselect,216,Ancestor,0.7469014554330238
1,tselect,216,Mutant,0.25309854456697634
2,growth,216,Ancestor,0.7469014554330238
2,growth,216,Mutant,0.25309854456697634
2,growth,240,Ancestor,0.45017707454827904
2,growth,240,Mutant,0.5498229254517208
2,growth,240,Ancestor,0.45017707454827904
2,growth,240,Mutant,0.5498229254517208
2,growth,264,Ancestor,0.12640869920104997
2,growth,264,Mutant,0.87359130079895
2,growth,264,Ancestor,0.12640869920104997
2,growth,264,Mutant,0.8735913007989501
2,growth,288,Ancestor,0.026999145303542863
2,growth,288,Mutant,0.9730008546964571
2,growth,288,Ancestor,0.026999145303542863
2,growth,288,Mutant,0.9730008546964571
2,growth,312,Ancestor,0.005400398204412203
2,growth,312,Mutant,0.9945996017955878
2,growth,312,Ancestor,0.005400398204412202
2,growth,312,Mutant,0.9945996017955878
2,growth,336,Ancestor,0.0010657494297597648
2,growth,336,Mutant,0.9989342505702402
2,growth,336,Ancestor,0.0010657494297597648
2,growth,336,Mutant,0.9989342505702402
2,growth,360,Ancestor,2.097610359647681e-4
2,growth,360,Mutant,0.9997902389640353
2,growth,360,Ancestor,2.097610359647681e-4
2,growth,360,Mutant,0.9997902389640352
2,growth,384,Ancestor,4.126350041522377e-5
2,growth,384,Mutant,0.9999587364995848
2,conj,384,Ancestor,4.126350041522378e-5
2,conj,384,Mutant,0.9999587364995848
2,conj,408,Ancestor,0.0020391810790214787
2,conj,408,Mutant,0.9979608189209787
2,tselect,408,Ancestor,0
2,tselect,408,Mutant,1
2,tselect,432,Ancestor,0
2,tselect,432,Mutant,1
3,growth,432,Ancestor,0
3,growth,432,Mutant,1
3,growth,456,Ancestor,0
3,growth,456,Mutant,1
3,growth,456,Ancestor,0
3,growth,456,Mutant,1
3,growth,480,Ancestor,0
3,growth,480,Mutant,1
3,growth,480,Ancestor,0
3,growth,480,Mutant,1
3,growth,504,Ancestor,0
3,growth,504,Mutant,1
3,growth,504,Ancestor,0
3,growth,504,Mutant,1
3,growth,528,Ancestor,0
3,growth,528,Mutant,1
3,growth,528,Ancestor,0
3,growth,528,Mutant,1
3,growth,552,Ancestor,0
3,growth,552,Mutant,1
3,growth,552,Ancestor,0
3,growth,552,Mutant,1
3,growth,576,Ancestor,0
3,growth,576,Mutant,1
3,growth,576,Ancestor,0
3,growth,576,Mutant,1
3,growth,600,Ancestor,0
3,growth,600,Mutant,1
3,conj,600,Ancestor,0
3,conj,600,Mutant,1
3,conj,624,Ancestor,0
3,conj,624,Mutant,1
3,tselect,624,Ancestor,0
3,tselect,624,Mutant,1
3,tselect,648,Ancestor,0
3,tselect,648,Mutant,1
