"","Time","A1","M1","F1","A2","M2","F2","C","Phase","Type","Cycle"
"1",0,1e+06,0.2,0,0,0,0,1e+09,"growth","start",1
"2401",24,1000996810.0679,3190.13209411974,0,0,0,0,2.23564420114022e-267,"growth","end",1
"11",24,1000996.8100679,3.19013209411974,0,0,0,0,1e+09,"growth","start",1
"24011",48,1000950189.56401,50810.4361913156,0,0,0,0,1.89976843195599e-267,"growth","end",1
"12",48,1000950.18956401,50.8104361913156,0,0,0,0,1e+09,"growth","start",1
"24012",72,1000192529.21773,808471.782272147,0,0,0,0,1.30874786253014e-267,"growth","end",1
"13",72,1000192.52921773,808.471782272147,0,0,0,0,1e+09,"growth","start",1
"24013",96,988336635.590522,12664365.4104796,0,0,0,0,3.73382757486833e-270,"growth","end",1
"14",96,988336.635590522,12664.3654104796,0,0,0,0,1e+09,"growth","start",1
"24014",120,840292179.808181,160708821.192819,0,0,0,0,3.51009798209203e-304,"growth","end",1
"15",120,840292.179808181,160708.821192819,0,0,0,0,1e+09,"growth","start",1
"24015",144,324841524.368948,676159476.632053,0,0,0,0,-4.75287198774112e-318,"growth","end",1
"16",144,324841.524368948,676159.476632053,0,0,0,0,1e+09,"growth","start",1
"24016",168,57127168.0440858,943873832.956917,0,0,0,0,-1.85752971548771e-317,"growth","end",1
"17",168,571271.680440858,9438738.32956917,0,0,0,1e+07,1e+09,"conj","start",1
"24017",192,12460895.4886296,708076406.828406,0,15444.2626081183,6204.16569226275,299451059.264674,2.25911417747781e-317,"conj","end",1
"18",192,0,0,0,15.4442626081183,6.20416569226275,0,1e+09,"tselect","start",1
"2",216,0,0,0,1519585.71457502,61150123.9158045,0,937330312.018051,"tselect","end",1
"19",216,0,0,0,1519585.71457502,61150123.9158045,0,1e+09,"growth","start",2
"24018",240,0,0,0,11576562.4178289,1051093147.21255,0,-2.6527520876202e-318,"growth","end",2
"111",240,0,0,0,11576.5624178289,1051093.14721255,0,1e+09,"growth","start",2
"240111",264,0,0,0,1547848.46652349,999514821.243107,0,9.7577866240517e-318,"growth","end",2
"121",264,0,0,0,1547.84846652349,999514.821243107,0,1e+09,"growth","start",2
"240121",288,0,0,0,214719.76413986,1000786342.90557,0,1.19431526107061e-317,"growth","end",2
"131",288,0,0,0,214.71976413986,1000786.34290557,0,1e+09,"growth","start",2
"240131",312,0,0,0,29763.1368179657,1000971237.92585,0,-1.07322718225961e-317,"growth","end",2
"141",312,0,0,0,29.7631368179657,1000971.23792585,0,1e+09,"growth","start",2
"240141",336,0,0,0,4125.11485229256,1000996875.88621,0,3.58103720762194e-319,"growth","end",2
"151",336,0,0,0,4.12511485229256,1000996.87588621,0,1e+09,"growth","start",2
"240151",360,0,0,0,571.724164036969,1001000429.27684,0,-2.24939640028976e-317,"growth","end",2
"161",360,0,0,0,0.571724164036969,1001000.42927684,0,1e+09,"growth","start",2
"240161",384,0,0,0,79.2384740486612,1001000921.76253,0,3.79454767647223e-318,"growth","end",2
"171",384,0,0,1e+07,0.792384740486612,10010009.2176253,0,1e+09,"conj","start",2
"240171",408,0.0204224630695464,6216.89526799155,292186190.500073,16.9024260860114,727817585.69182,0,1.81566358079041e-317,"conj","end",2
"181",408,0,6.21689526799155,0,0,0,0,1e+09,"tselect","start",2
"21",432,0,61276863.1737539,0,0,0,0,938723143.043139,"tselect","end",2
