"","Time","A1","M1","F1","A2","M2","F2","C","Cycle","Phase"
"3",0,5e+05,5e+05,0,0,0,9e+06,1e+09,1,"immigration"
"4",0.01,503732.673267327,503653.465346535,0,0.975742574257426,7.12871287128713,9068338.43019802,999924267.326733,1,"immigration"
"5",0.02,507493.209414124,507333.62355145,0,1.97351911073268,14.4162256781785,9137195.65339281,999847961.123897,1,"immigration"
"6",0.03,511281.816382393,511040.669595808,0,2.99371704290827,21.8652966726273,9206575.60632209,999771077.048686,1,"immigration"
"7",0.04,515098.703665354,514774.799884301,0,4.03673006599724,29.4787282011768,9276482.25557078,999693610.725421,1,"immigration"
"8",0.05,518944.082319016,518536.212255638,0,5.10295823460402,37.259367386127,9346919.59779696,999615557.745303,1,"immigration"
"9",0.06,522818.164973815,522325.105993,0,6.1928080618837,45.2101068170673,9417891.65995942,999536913.666159,1,"immigration"
"10",0.07,526721.165846354,526141.681834583,0,7.30669262022222,53.3338852529324,9489402.49954703,999457674.012194,1,"immigration"
"11",0.08,530653.300751226,529986.141984206,0,8.44503164346086,61.633688334741,9561456.20480971,999377834.273735,1,"immigration"
"12",0.09,534614.787112919,533858.690122005,0,9.60825163068839,70.1125493091785,9634056.89499133,999297389.906973,1,"immigration"
"13",0.1,538605.843977817,537759.531415198,0,10.7967859516248,78.7735497631868,9707208.72056416,999216336.333707,1,"immigration"
"14",0.11,542626.692026287,541688.872528936,0,12.0110749536208,87.61982036973,9780915.86346522,999134668.941084,1,"immigration"
"15",0.12,546677.553584858,545646.921637225,0,13.2515660702978,96.6545416449022,9855182.5373344,999052383.081336,1,"immigration"
"16",0.13,550758.652638484,549633.888433933,0,14.5187139318529,105.880944716552,9930012.9877543,998969474.071515,1,"immigration"
"17",0.14,554870.21484291,553649.984143874,0,15.8129804770547,115.302312104593,10005411.492492,998885937.193229,1,"immigration"
"18",0.15,559012.467537119,557695.421533976,0,17.1348350669559,124.921978513187,10081382.3617424,998801767.692373,1,"immigration"
"19",0.16,563185.639755875,561770.414924527,0,18.4847546003472,134.743331634962,10157929.938374,998716960.778859,1,"immigration"
"20",0.17,567389.962242362,565875.180200503,0,19.8632236309818,144.769812967472,10235058.5981755,998631511.626345,1,"immigration"
"21",0.18,571625.667460917,570009.934822981,0,21.2707344865941,155.004918642052,10312772.7501053,998545415.371958,1,"immigration"
"22",0.19,575892.989609851,574174.897840635,0,22.7077873897429,165.45220026529,10391076.8365425,998458667.116019,1,"immigration"
"23",0.2,580192.164634372,578370.289901311,0,24.1748905805048,176.115265773282,10469975.3335394,998371261.921769,1,"immigration"
"24",0.21,584523.430239604,582596.33326369,0,25.6725604410467,186.997780298865,10549472.7510763,998283194.81508,1,"immigration"
"25",0.22,588887.025903699,586853.251809039,0,27.2013216221063,198.103467052047,10629573.6333186,998194460.78418,1,"immigration"
"26",0.23,593283.192891047,591141.27105304,0,28.761707171409,209.436108213799,10710282.5588748,998105054.779366,1,"immigration"
"27",0.24,597712.174265591,595460.618157709,0,30.3542586640502,220.999545843441,10791604.1410575,998014971.712715,1,"immigration"
"28",0.25,602174.214904229,599811.521943404,0,31.9795263348753,232.797682799814,10873543.0281454,997924206.457798,1,"immigration"
"29",0.26,606669.561510328,604194.212900915,0,33.6380692128837,244.834483676439,10956103.9036485,997832753.849387,1,"immigration"
"30",0.27,611198.462627328,608608.92320365,0,35.3304552576921,257.113975750901,11039291.486574,997740608.683164,1,"immigration"
"31",0.28,615761.168652456,613055.886719898,0,37.0572614980844,269.640249948636,11123110.5316948,997647765.715421,1,"immigration"
"32",0.29,620357.931850536,617535.339025193,0,38.8190741726828,282.417461821374,11207565.8298204,997554219.662768,1,"immigration"
"33",0.3,624989.006367903,622047.517414758,0,40.616488872771,295.449832540433,11292662.2080692,997459965.201827,1,"immigration"
"34",0.31,629654.648246421,626592.66091605,0,42.4501106873016,308.741649905112,11378404.5301429,997364996.968934,1,"immigration"
"35",0.32,634355.115437607,631171.010301387,0,44.3205543501235,322.297269366385,11464797.6966035,997269309.559834,1,"immigration"
"36",0.33,639090.667816857,635782.808100668,0,46.2284443894593,336.121115066149,11551846.6451519,997172897.529371,1,"immigration"
"37",0.34,643861.567197777,640428.298614195,0,48.1744152796699,350.217680892258,11639556.3509087,997075755.391183,1,"immigration"
"38",0.35,648668.077346626,645107.727925573,0,50.1591115953402,364.591531549563,11727931.8266972,996977877.617388,1,"immigration"
"39",0.36,653510.463996859,649821.343914719,0,52.1831881677202,379.247303647233,11816978.1233286,996879258.638268,1,"immigration"
"40",0.37,658388.994863787,654569.396270952,0,54.2473102435585,394.189706802564,11906700.3298889,996779892.841959,1,"immigration"
"41",0.38,663303.939659334,659352.13650619,0,56.3521536463643,409.423524761566,11997103.5740288,996679774.574127,1,"immigration"
"42",0.39,668255.570106915,664169.817968234,0,58.4984049401338,424.953616536543,12088193.0222548,996578898.137649,1,"immigration"
"43",0.4,673244.15995642,669022.695854157,0,60.68676159558,440.784917560955,12179973.8802231,996477257.792287,1,"immigration"
"44",0.41,678269.984999307,673911.02722378,0,62.9179321589028,456.922440861802,12272451.3930359,996374847.754368,1,"immigration"
"45",0.42,683333.323083812,678835.071013254,0,65.1926364231384,473.371278249807,12365630.845539,996271662.196449,1,"immigration"
"46",0.43,688434.454130265,683795.088048739,0,67.5116056021267,490.136601527656,12459517.5626229,996167695.246991,1,"immigration"
"47",0.44,693573.660146532,688791.341060182,0,69.8755825071379,507.223663716586,12554116.9095249,996062940.990022,1,"immigration"
"48",0.45,698751.225243557,693824.094695194,0,72.2853217261959,524.637800301574,12649434.2921347,995957393.464805,1,"immigration"
"49",0.46,703967.435651027,698893.615533027,0,74.741589806143,542.38443049543,12745475.157301,995851046.665495,1,"immigration"
"50",0.47,709222.57973316,704000.17209866,0,77.2451654374845,560.46905852207,12842244.9931418,995743894.540802,1,"immigration"
"51",0.48,714516.948004592,709144.034876977,0,79.7968396420573,578.897274919256,12939749.3293558,995635930.993648,1,"immigration"
"52",0.49,719850.833146404,714325.476327052,0,82.3974159635637,597.674757861109,13037993.7375368,995527149.880816,1,"immigration"
"53",0.5,725224.53002225,719544.770896543,0,85.0477106610166,616.807274500676,13136983.8314904,995417545.012606,1,"immigration"
"54",0.51,730638.335694613,724802.195036185,0,87.7485529051365,636.300682332875,13236725.267553,995307110.152481,1,"immigration"
"55",0.52,736092.549441184,730098.027214388,0,90.5007849777489,656.16093057811,13337223.7449132,995195839.016716,1,"immigration"
"56",0.53,741587.472771358,735432.547931943,0,93.305262474225,676.394061586876,13438485.0059354,995083725.274037,1,"immigration"
"57",0.54,747123.409442851,740806.039736836,0,96.1628545090132,697.006212265669,13540514.8364867,994970762.545267,1,"immigration"
"58",0.55,752700.665478446,746218.787239167,0,99.0744439243078,718.003615524524,13643319.0662646,994856944.402958,1,"immigration"
"59",0.56,758319.549182861,751671.077126179,0,102.040927501903,739.392601746509,13746903.5691292,994742264.371032,1,"immigration"
"60",0.57,763980.37115974,757163.198177398,0,105.063216178278,761.179600279504,13851274.2634363,994626715.92441,1,"immigration"
"61",0.58,769683.444328775,762695.441279877,0,108.142235262971,783.371140950608,13956437.1123736,994510292.488641,1,"immigration"
"62",0.59,775429.083942947,768268.099443555,0,111.278924660274,805.973855603504,14062398.1242995,994392987.439533,1,"immigration"
"63",0.6,781217.607605907,773881.467816733,0,114.474239094324,828.994479659146,14169163.3530846,994274794.102774,1,"immigration"
"64",0.61,787049.335289473,779535.843701647,0,117.729148337616,852.439853700106,14276738.8984549,994155705.753552,1,"immigration"
"65",0.62,792924.589351267,785231.526570173,0,121.044637443009,876.316925078947,14385130.9063388,994035715.616177,1,"immigration"
"66",0.63,798843.694552478,790968.81807963,0,124.421706979272,900.632749550982,14494345.5692158,993914816.863695,1,"immigration"
"67",0.64,804806.978075757,796748.022088709,0,127.861373270217,925.394492931789,14604389.1264682,993793002.617501,1,"immigration"
"68",0.65,810814.769543247,802569.444673512,0,131.364668637483,950.609432779857,14715267.8647351,993670265.946946,1,"immigration"
