"","Time","Cycle","Phase","Cell_types","Density","Host","Genotype"
"1",0,1,"immigration","A1",5e+05,"1","A"
"2",0,1,"immigration","M1",5e+05,"1","M"
"3",0,1,"immigration","F1",0,"1","F"
"4",0,1,"immigration","A2",0,"2","A"
"5",0,1,"immigration","M2",0,"2","M"
"6",0,1,"immigration","F2",9e+06,"2","F"
"7",0,1,"immigration","C",1e+09,"C","C"
"8",0.01,1,"immigration","A1",503732.673267327,"1","A"
"9",0.01,1,"immigration","M1",503653.465346535,"1","M"
"10",0.01,1,"immigration","F1",0,"1","F"
"11",0.01,1,"immigration","A2",0,"2","A"
"12",0.01,1,"immigration","M2",7.12871287128713,"2","M"
"13",0.01,1,"immigration","F2",9068338.43019802,"2","F"
"14",0.01,1,"immigration","C",999924267.326733,"C","C"
"15",0.02,1,"immigration","A1",507493.209414124,"1","A"
"16",0.02,1,"immigration","M1",507333.62355145,"1","M"
"17",0.02,1,"immigration","F1",0,"1","F"
"18",0.02,1,"immigration","A2",1.97351911073268,"2","A"
"19",0.02,1,"immigration","M2",14.4162256781785,"2","M"
"20",0.02,1,"immigration","F2",9137195.65339281,"2","F"
"21",0.02,1,"immigration","C",999847961.123897,"C","C"
"22",0.03,1,"immigration","A1",511281.816382393,"1","A"
"23",0.03,1,"immigration","M1",511040.669595808,"1","M"
"24",0.03,1,"immigration","F1",0,"1","F"
"25",0.03,1,"immigration","A2",2.99371704290827,"2","A"
"26",0.03,1,"immigration","M2",21.8652966726273,"2","M"
"27",0.03,1,"immigration","F2",9206575.60632209,"2","F"
"28",0.03,1,"immigration","C",999771077.048686,"C","C"
"29",0.04,1,"immigration","A1",515098.703665354,"1","A"
"30",0.04,1,"immigration","M1",514774.799884301,"1","M"
"31",0.04,1,"immigration","F1",0,"1","F"
"32",0.04,1,"immigration","A2",4.03673006599724,"2","A"
"33",0.04,1,"immigration","M2",29.4787282011768,"2","M"
"34",0.04,1,"immigration","F2",9276482.25557078,"2","F"
"35",0.04,1,"immigration","C",999693610.725421,"C","C"
"36",0.05,1,"immigration","A1",518944.082319016,"1","A"
"37",0.05,1,"immigration","M1",518536.212255638,"1","M"
"38",0.05,1,"immigration","F1",0,"1","F"
"39",0.05,1,"immigration","A2",5.10295823460402,"2","A"
"40",0.05,1,"immigration","M2",37.259367386127,"2","M"
"41",0.05,1,"immigration","F2",9346919.59779696,"2","F"
"42",0.05,1,"immigration","C",999615557.745303,"C","C"
"43",0.06,1,"immigration","A1",522818.164973815,"1","A"
"44",0.06,1,"immigration","M1",522325.105993,"1","M"
"45",0.06,1,"immigration","F1",0,"1","F"
"46",0.06,1,"immigration","A2",6.1928080618837,"2","A"
"47",0.06,1,"immigration","M2",45.2101068170673,"2","M"
"48",0.06,1,"immigration","F2",9417891.65995942,"2","F"
"49",0.06,1,"immigration","C",999536913.666159,"C","C"
"50",0.07,1,"immigration","A1",526721.165846354,"1","A"
"51",0.07,1,"immigration","M1",526141.681834583,"1","M"
"52",0.07,1,"immigration","F1",0,"1","F"
"53",0.07,1,"immigration","A2",7.30669262022222,"2","A"
"54",0.07,1,"immigration","M2",53.3338852529324,"2","M"
"55",0.07,1,"immigration","F2",9489402.49954703,"2","F"
"56",0.07,1,"immigration","C",999457674.012194,"C","C"
"57",0.08,1,"immigration","A1",530653.300751226,"1","A"
"58",0.08,1,"immigration","M1",529986.141984206,"1","M"
"59",0.08,1,"immigration","F1",0,"1","F"
"60",0.08,1,"immigration","A2",8.44503164346086,"2","A"
"61",0.08,1,"immigration","M2",61.633688334741,"2","M"
"62",0.08,1,"immigration","F2",9561456.20480971,"2","F"
