...1,Time,Cycle,Phase,Cell_types,Density,Host,Genotype,Genotype_plot
1,0,1,immigration,A1,500000,rifR,Ancestor,Ancestor
2,0,1,immigration,M1,500000,rifR,Mutant,Mutant
3,0,1,immigration,F1,0,rifR,Plasmid-free,Plasmid-free
4,0,1,immigration,A2,0,nalR,Ancestor,Ancestor
5,0,1,immigration,M2,0,nalR,Mutant,Mutant
6,0,1,immigration,F2,9000000,nalR,Plasmid-free,Plasmid-free
701,1,1,immigration,A1,1051879.62365226,rifR,Ancestor,Ancestor
702,1,1,immigration,M1,1035468.5258593,rifR,Mutant,Mutant
703,1,1,immigration,F1,0,rifR,Plasmid-free,Plasmid-free
704,1,1,immigration,A2,303.4234557458,nalR,Ancestor,Ancestor
705,1,1,immigration,M2,2184.51541249344,nalR,Mutant,Mutant
706,1,1,immigration,F2,19174737.7653069,nalR,Plasmid-free,Plasmid-free
1401,2,1,immigration,A1,2212621.55494442,rifR,Ancestor,Ancestor
1402,2,1,immigration,M1,2144124.58651541,rifR,Mutant,Mutant
1403,2,1,immigration,F1,0,rifR,Plasmid-free,Plasmid-free
1404,2,1,immigration,A2,1998.2436515246,nalR,Ancestor,Ancestor
1405,2,1,immigration,M2,14189.4386530694,nalR,Mutant,Mutant
1406,2,1,immigration,F2,40841236.9003979,nalR,Plasmid-free,Plasmid-free
2101,3,1,immigration,A1,4652910.14512489,rifR,Ancestor,Ancestor
2102,3,1,immigration,M1,4438560.71076276,rifR,Mutant,Mutant
2103,3,1,immigration,F1,0,rifR,Plasmid-free,Plasmid-free
2104,3,1,immigration,A2,10295.2255002914,nalR,Ancestor,Ancestor
2105,3,1,immigration,M2,72262.8264600763,nalR,Mutant,Mutant
2106,3,1,immigration,F2,86938831.844877,nalR,Plasmid-free,Plasmid-free
2801,4,1,immigration,A1,9777866.11431982,rifR,Ancestor,Ancestor
2802,4,1,immigration,M1,9182109.88947363,rifR,Mutant,Mutant
2803,4,1,immigration,F1,0,rifR,Plasmid-free,Plasmid-free
2804,4,1,immigration,A2,48903.0725262818,nalR,Ancestor,Ancestor
2805,4,1,immigration,M2,340883.49054322,nalR,Mutant,Mutant
2806,4,1,immigration,F2,184821943.20718,nalR,Plasmid-free,Plasmid-free
3501,5,1,immigration,A1,20506880.0249671,rifR,Ancestor,Ancestor
3502,5,1,immigration,M1,18958199.5856538,rifR,Mutant,Mutant
3503,5,1,immigration,F1,0,rifR,Plasmid-free,Plasmid-free
3504,5,1,immigration,A2,224122.450250204,nalR,Ancestor,Ancestor
3505,5,1,immigration,M2,1566984.96217214,nalR,Mutant,Mutant
3506,5,1,immigration,F2,391589241.449343,nalR,Plasmid-free,Plasmid-free
4201,6,1,immigration,A1,42453366.9093345,rifR,Ancestor,Ancestor
4202,6,1,immigration,M1,38648054.1884214,rifR,Mutant,Mutant
4203,6,1,immigration,F1,0,rifR,Plasmid-free,Plasmid-free
4204,6,1,immigration,A2,987964.602555734,nalR,Ancestor,Ancestor
4205,6,1,immigration,M2,7072609.76839133,nalR,Mutant,Mutant
4206,6,1,immigration,F2,816413287.708722,nalR,Plasmid-free,Plasmid-free
4901,7,1,immigration,A1,47275426.3542845,rifR,Ancestor,Ancestor
4902,7,1,immigration,M1,42940029.1013081,rifR,Mutant,Mutant
4903,7,1,immigration,F1,0,rifR,Plasmid-free,Plasmid-free
4904,7,1,immigration,A2,1229917.78205909,nalR,Ancestor,Ancestor
4905,7,1,immigration,M2,8861462.1495054,nalR,Mutant,Mutant
4906,7,1,immigration,F2,909693164.612842,nalR,Plasmid-free,Plasmid-free
5601,8,1,immigration,A1,47275426.3542845,rifR,Ancestor,Ancestor
5602,8,1,immigration,M1,42940029.1013081,rifR,Mutant,Mutant
5603,8,1,immigration,F1,0,rifR,Plasmid-free,Plasmid-free
