Cycle,Phase,Time,Genotype,Frequency
1,immigration,0,Ancestor,0.9900990099009901
1,immigration,0,Mutant,0.009900990099009901
1,immigration,24,Ancestor,0.9894343579680445
1,immigration,24,Mutant,0.010565642031955471
2,immigration,24,Ancestor,0.9894343579680446
2,immigration,24,Mutant,0.010565642031955473
2,immigration,48,Ancestor,0.9885513345489688
2,immigration,48,Mutant,0.011448665451031202
3,immigration,48,Ancestor,0.9885513345489687
3,immigration,48,Mutant,0.011448665451031202
3,immigration,72,Ancestor,0.9875771784200414
3,immigration,72,Mutant,0.012422821579958521
4,immigration,72,Ancestor,0.9875771784200416
4,immigration,72,Mutant,0.012422821579958521
4,immigration,96,Ancestor,0.9865193591688135
4,immigration,96,Mutant,0.013480640831186429
5,immigration,96,Ancestor,1
5,immigration,96,Mutant,0
5,immigration,120,Ancestor,1
5,immigration,120,Mutant,0
6,immigration,120,Ancestor,1
6,immigration,120,Mutant,0
6,immigration,144,Ancestor,1
6,immigration,144,Mutant,0
7,immigration,144,Ancestor,NA
7,immigration,144,Mutant,NA
7,immigration,168,Ancestor,NA
7,immigration,168,Mutant,NA
8,immigration,168,Ancestor,NA
8,immigration,168,Mutant,NA
8,immigration,192,Ancestor,NA
8,immigration,192,Mutant,NA
