"","Time","A1","M1","F1","A2","M2","F2","C","Phase","Type","Cycle"
"1",0,5e+05,5e+05,0,0,0,9e+06,1e+09,"immigration","start",1
"2401",24,47275426.3542845,42940029.1013081,0,1229917.78205909,8861462.1495054,909693164.612842,3.22362023810746e-318,"immigration","end",1
"11",24,47275.4263542845,42940.0291013081,0,1229.91778205909,8861.4621495054,9909693.16461284,1e+09,"immigration","start",2
"24011",48,4417854.84953217,3645631.88427247,0,244027.679022604,1753687.42413856,999948798.163034,1.13436187714471e-317,"immigration","end",2
"12",48,4417.85484953217,3645.63188427247,0,244.027679022604,1753.68742413856,9999948.79816303,1e+09,"immigration","start",3
"24012",72,412397.927045352,309187.760307085,0,35280.1095740539,253972.356227722,1008999171.84685,-2.11661675203557e-318,"immigration","end",3
"13",72,412.397927045352,309.187760307085,0,35.2801095740539,253.972356227722,10008999.1718468,1e+09,"immigration","start",4
"24013",96,38492.2797417641,26219.5306969908,0,4494.28788676993,32523.1521894506,1009908280.75949,1.43869198707919e-317,"immigration","end",4
"14",96,38.4922797417641,26.2195306969908,0,0,32.5231521894506,10009908.2807595,1e+09,"immigration","start",5
"24014",120,3592.74247038471,2223.42727494234,0,103.300040605316,3904.00777507993,1010000182.03816,-1.18174623104041e-317,"immigration","end",5
"15",120,0,0,0,0,0,10010000.1820382,1e+09,"immigration","start",6
"24015",144,0,0,0,0,0,1010010000.18204,-6.30158004250801e-318,"immigration","end",6
"16",144,0,0,0,0,0,10010010.000182,1e+09,"immigration","start",7
"24016",168,0,0,0,0,0,1010010010.00018,1.5887668973317e-317,"immigration","end",7
"17",168,0,0,0,0,0,10010010.0100002,1e+09,"immigration","start",8
"24017",192,0,0,0,0,0,1010010010.01,2.12817393562309e-317,"immigration","end",8
