"","Time","A1","M1","F1","A2","M2","F2","C","Cycle","Phase"
"3",0,5,1e+07,0,0,0,9e+07,1e+09,1,"immigration"
"4",0.01,5.01435643564356,10038613.8613861,0,4.23267326732673e-05,0.124752475247525,90311881.063324,999649504.936139,1,"immigration"
"5",0.02,5.02875404275522,10077376.6912376,0,8.50438389019108e-05,0.250901928792852,90624841.8152618,999297781.21376,1,"immigration"
"6",0.03,5.04319293905234,10116289.0631721,0,0.000128154145962727,0.37846046140082,90938885.9851893,998944824.529857,1,"immigration"
"7",0.04,5.05767324258625,10155351.5530069,0,0.000171660500070357,0.507440269614884,91254017.315297,998590630.566411,1,"immigration"
"8",0.05,5.07219507174311,10194564.7387674,0,0.000215565766500139,0.637853646484705,91570239.5606333,998235194.990335,1,"immigration"
"9",0.06,5.08675854524485,10233929.2006951,0,0.000259872829711735,0.76971298229914,91887556.4891481,997878513.453426,1,"immigration"
"10",0.07,5.10136378215013,10273445.5212565,0,0.000304584593473561,0.903030765324684,92205971.8817368,997520581.592308,1,"immigration"
"11",0.08,5.11601090185526,10313114.2851511,0,0.000349703980987996,1.03781958254939,92525489.5322838,997161395.028385,1,"immigration"
"12",0.09,5.13070002409512,10352936.0793202,0,0.000395233935017403,1.17409212043231,92846113.2477069,996800949.367786,1,"immigration"
"13",0.1,5.1454312689441,10392911.4929553,0,0.000441177418010948,1.31186116565854,93167846.848001,996439240.20131,1,"immigration"
"14",0.11,5.16020475681707,10433041.1175066,0,0.000487537412232228,1.45113960589978,93490694.1662831,996076263.104379,1,"immigration"
"15",0.12,5.17502060847027,10473325.5466915,0,0.000534316919887715,1.59194043058067,93814659.048836,995712013.636977,1,"immigration"
"16",0.13,5.18987894500233,10513765.3765034,0,0.000581518963256021,1.73427673165069,94139745.3551534,995346487.343606,1,"immigration"
"17",0.14,5.20477988785514,10554361.2052204,0,0.000629146584817982,1.87816170436189,94465956.9579847,994979679.753224,1,"immigration"
"18",0.15,5.21972355881483,10595113.6334135,0,0.00067720284738758,2.0236086480523,94793297.7433793,994611586.379198,1,"immigration"
"19",0.16,5.23471008001276,10636023.2639558,0,0.000725690834243697,2.17063096693525,95121771.6107325,994242202.719245,1,"immigration"
"20",0.17,5.2497395739264,10677090.7020311,0,0.000774613649262701,2.31924217089446,95451382.4728299,993871524.255383,1,"immigration"
"21",0.18,5.26481216338035,10718316.5551423,0,0.000823974417051893,2.46945587628509,95782134.2558932,993499546.453873,1,"immigration"
"22",0.19,5.27992797154729,10759701.4331208,0,0.000873776283083795,2.62128580674069,96114030.8996256,993126264.765166,1,"immigration"
"23",0.2,5.29508712194889,10801245.948135,0,0.000924022413831292,2.77474579398617,96447076.3572574,992751674.623851,1,"immigration"
"24",0.21,5.31028973845685,10842950.714699,0,0.000974715996903646,2.9298497786568,96781274.5955916,992375771.448595,1,"immigration"
"25",0.22,5.32553594529382,10884816.3496818,0,0.00102586024118337,3.08661181112324,97116629.5950501,991998550.642094,1,"immigration"
"26",0.23,5.34082586703436,10926843.4723161,0,0.00107745837696397,3.24504605232272,97453145.3497198,991620007.591015,1,"immigration"
"27",0.24,5.35615962860597,10969032.7042074,0,0.00112951365608859,3.40516677459638,97790825.8673984,991240137.665938,1,"immigration"
"28",0.25,5.37153735528999,11011384.6693425,0,0.00118202935208948,3.56698836253286,98129675.1696412,990858936.221309,1,"immigration"
"29",0.26,5.38695917272263,11053899.9940993,0,0.00123500876032846,3.73052531381801,98469697.2918077,990476398.595374,1,"immigration"
"30",0.27,5.40242520689594,11096579.3072552,0,0.00128845519813815,3.89579224009108,98810896.2831077,990092520.110131,1,"immigration"
"31",0.28,5.41793558415875,11139423.2399964,0,0.0013423720049642,4.06280386780712,99153276.2066487,989707296.071273,1,"immigration"
"32",0.29,5.43349043121772,11182432.4259272,0,0.00139676254250838,4.23157503910579,99496841.1394826,989320721.768128,1,"immigration"
"33",0.3,5.44908987513829,11225607.501079,0,0.0014516301948726,4.40212071268667,99841595.1726532,988932792.473606,1,"immigration"
"34",0.31,5.46473404334566,11268949.1039195,0,0.00150697836870383,4.57445596469101,100187542.411243,988543503.444141,1,"immigration"
"35",0.32,5.4804230636258,11312457.8753618,0,0.00156281049333995,4.74859598958999,100534686.97442,988152849.919637,1,"immigration"
"36",0.33,5.49615706412645,11356134.458774,0,0.00161913002095656,4.92455610107962,100883032.995487,987760827.123407,1,"immigration"
