Cycle,Phase,Time,Genotype,Frequency
1,immigration,0,Ancestor,4.99999750000125e-7
1,immigration,0,Mutant,0.99999950000025
1,immigration,24,Ancestor,2.6055717752159323e-7
1,immigration,24,Mutant,0.9999997394428224
2,immigration,24,Ancestor,2.5449155017737967e-7
2,immigration,24,Mutant,0.9999997455084498
2,immigration,48,Ancestor,1.323685742522533e-7
2,immigration,48,Mutant,0.9999998676314258
3,immigration,48,Ancestor,0
3,immigration,48,Mutant,1
3,immigration,72,Ancestor,0
3,immigration,72,Mutant,1
4,immigration,72,Ancestor,0
4,immigration,72,Mutant,1
4,immigration,96,Ancestor,0
4,immigration,96,Mutant,1
5,immigration,96,Ancestor,0
5,immigration,96,Mutant,1
5,immigration,120,Ancestor,0
5,immigration,120,Mutant,1
6,immigration,120,Ancestor,0
6,immigration,120,Mutant,1
6,immigration,144,Ancestor,0
6,immigration,144,Mutant,1
7,immigration,144,Ancestor,0
7,immigration,144,Mutant,1
7,immigration,168,Ancestor,0
7,immigration,168,Mutant,1
8,immigration,168,Ancestor,0
8,immigration,168,Mutant,1
8,immigration,192,Ancestor,0
8,immigration,192,Mutant,1
9,immigration,192,Ancestor,0
9,immigration,192,Mutant,1
9,immigration,216,Ancestor,0
9,immigration,216,Mutant,1
10,immigration,216,Ancestor,0
10,immigration,216,Mutant,1
10,immigration,240,Ancestor,0
10,immigration,240,Mutant,1
