"","Time","A1","M1","F1","A2","M2","F2","C","Phase","Type","Cycle"
"1",0,5,1e+07,0,0,0,9e+07,1e+09,"immigration","start",1
"2401",24,35.5713141194524,139769165.034468,0,0.847817507734996,4847.27384032328,960225956.27256,6.37200514779752e-317,"immigration","end",1
"11",24,0.355713141194524,1397691.65034468,0,0,48.4727384032328,99602259.5627256,1e+09,"immigration","start",2
"24011",48,2.56691405495545,19912776.0586287,0,0.0691065847058049,1469.49116114142,1081085751.85571,7.23123965313649e-317,"immigration","end",2
"12",48,0,199127.760586287,0,0,14.6949116114142,100810857.518557,1e+09,"immigration","start",3
"24012",72,0,2848385.00189624,0,0,323.423145057633,1098161291.54901,6.17556563514233e-317,"immigration","end",3
"13",72,0,28483.8500189624,0,0,3.23423145057633,100981612.91549,1e+09,"immigration","start",4
"24013",96,0,407681.497791214,0,0,62.5334355322809,1100602355.96851,4.45655414038525e-317,"immigration","end",4
"14",96,0,4076.81497791214,0,0,0.625334355322809,101006023.559685,1e+09,"immigration","start",5
"24014",120,0,58355.2492530624,0,0,11.2768206396575,1100951734.47392,7.13595810520471e-317,"immigration","end",5
"15",120,0,583.552492530624,0,0,0.112768206396575,101009517.344739,1e+09,"immigration","start",6
"24015",144,0,8353.03106736172,0,0,1.94712598230708,1101001746.03181,3.66265833451185e-317,"immigration","end",6
"16",144,0,83.5303106736172,0,0,0,101010017.460318,1e+09,"immigration","start",7
"24016",168,0,1195.66362020752,0,0,0.0476500220943736,1101008905.27936,5.85322732648258e-317,"immigration","end",7
"17",168,0,11.9566362020752,0,0,0,101010089.052794,1e+09,"immigration","start",8
"24017",192,0,171.148872113709,0,0,0.00682069368983729,1101009929.85374,4.86280851085984e-317,"immigration","end",8
"18",192,0,1.71148872113709,0,0,0,101010099.298537,1e+09,"immigration","start",9
"24018",216,0,24.4984768017656,0,0,0.000976323284300826,1101010076.51057,6.95551545003057e-317,"immigration","end",9
"19",216,0,0.244984768017656,0,0,0,101010100.765106,1e+09,"immigration","start",10
"24019",240,0,3.50674451566458,0,0,0.000139752214690467,1101010097.5032,6.42151596023291e-317,"immigration","end",10
