Cycle,Phase,Time,Genotype,Frequency
0,growout,0,Ancestor,4.99999750000125e-7
0,growout,0,Mutant,0.99999950000025
0,growout,0,Ancestor,4.99999750000125e-7
0,growout,0,Mutant,0.99999950000025
1,immigration,0,Ancestor,4.99999750000125e-7
1,immigration,0,Mutant,0.99999950000025
1,immigration,24,Ancestor,4.99999750000125e-7
1,immigration,24,Mutant,0.99999950000025
1,selection,24,Ancestor,4.99999750000125e-7
1,selection,24,Mutant,0.99999950000025
1,selection,48,Ancestor,4.99999750000125e-7
1,selection,48,Mutant,0.99999950000025
1,growth,48,Ancestor,4.721741114673268e-8
1,growth,48,Mutant,0.9999999527825889
1,growth,72,Ancestor,1.4507034573949707e-8
1,growth,72,Mutant,0.9999999854929654
2,immigration,72,Ancestor,1.4507034573949707e-8
2,immigration,72,Mutant,0.9999999854929654
2,immigration,96,Ancestor,1.4507034573949707e-8
2,immigration,96,Mutant,0.9999999854929654
2,selection,96,Ancestor,1.4507034573949707e-8
2,selection,96,Mutant,0.9999999854929654
2,selection,120,Ancestor,1.4507034573949707e-8
2,selection,120,Mutant,0.9999999854929654
2,growth,120,Ancestor,0
2,growth,120,Mutant,1
2,growth,144,Ancestor,0
2,growth,144,Mutant,1
3,immigration,144,Ancestor,0
3,immigration,144,Mutant,1
3,immigration,168,Ancestor,0
3,immigration,168,Mutant,1
3,selection,168,Ancestor,0
3,selection,168,Mutant,1
3,selection,192,Ancestor,0
3,selection,192,Mutant,1
3,growth,192,Ancestor,0
3,growth,192,Mutant,1
3,growth,216,Ancestor,0
3,growth,216,Mutant,1
4,immigration,216,Ancestor,0
4,immigration,216,Mutant,1
4,immigration,240,Ancestor,0
4,immigration,240,Mutant,1
4,selection,240,Ancestor,0
4,selection,240,Mutant,1
4,selection,264,Ancestor,0
4,selection,264,Mutant,1
4,growth,264,Ancestor,0
4,growth,264,Mutant,1
4,growth,288,Ancestor,0
4,growth,288,Mutant,1
5,immigration,288,Ancestor,0
5,immigration,288,Mutant,1
5,immigration,312,Ancestor,0
5,immigration,312,Mutant,1
5,selection,312,Ancestor,0
5,selection,312,Mutant,1
5,selection,336,Ancestor,0
5,selection,336,Mutant,1
5,growth,336,Ancestor,0
5,growth,336,Mutant,1
5,growth,360,Ancestor,0
5,growth,360,Mutant,1
6,immigration,360,Ancestor,0
6,immigration,360,Mutant,1
6,immigration,384,Ancestor,0
6,immigration,384,Mutant,1
6,selection,384,Ancestor,0
6,selection,384,Mutant,1
6,selection,408,Ancestor,0
6,selection,408,Mutant,1
6,growth,408,Ancestor,0
6,growth,408,Mutant,1
6,growth,432,Ancestor,0
6,growth,432,Mutant,1
7,immigration,432,Ancestor,0
7,immigration,432,Mutant,1
7,immigration,456,Ancestor,0
7,immigration,456,Mutant,1
7,selection,456,Ancestor,0
7,selection,456,Mutant,1
7,selection,480,Ancestor,0
7,selection,480,Mutant,1
7,growth,480,Ancestor,0
7,growth,480,Mutant,1
7,growth,504,Ancestor,0
7,growth,504,Mutant,1
8,immigration,504,Ancestor,0
8,immigration,504,Mutant,1
8,immigration,528,Ancestor,0
8,immigration,528,Mutant,1
8,selection,528,Ancestor,0
8,selection,528,Mutant,1
8,selection,552,Ancestor,0
8,selection,552,Mutant,1
8,growth,552,Ancestor,0
8,growth,552,Mutant,1
8,growth,576,Ancestor,0
8,growth,576,Mutant,1
9,immigration,576,Ancestor,0
9,immigration,576,Mutant,1
9,immigration,600,Ancestor,0
9,immigration,600,Mutant,1
9,selection,600,Ancestor,0
9,selection,600,Mutant,1
9,selection,624,Ancestor,0
9,selection,624,Mutant,1
9,growth,624,Ancestor,0
9,growth,624,Mutant,1
9,growth,648,Ancestor,0
9,growth,648,Mutant,1
10,immigration,648,Ancestor,0
10,immigration,648,Mutant,1
10,immigration,672,Ancestor,0
10,immigration,672,Mutant,1
10,selection,672,Ancestor,0
10,selection,672,Mutant,1
10,selection,696,Ancestor,0
10,selection,696,Mutant,1
10,growth,696,Ancestor,0
10,growth,696,Mutant,1
10,growth,720,Ancestor,0
10,growth,720,Mutant,1
