"","Time","Cycle","Phase","Cell_types","Density","Host","Genotype"
"1",0,1,"conj","A1",1e+05,"1","A"
"2",0,1,"conj","M1",1e+07,"1","M"
"3",0,1,"conj","F1",0,"1","F"
"4",0,1,"conj","A2",0,"2","A"
"5",0,1,"conj","M2",0,"2","M"
"6",0,1,"conj","F2",1e+07,"2","F"
"7",0,1,"conj","C",1e+09,"C","C"
"8",0.01,1,"conj","A1",100480.198019802,"1","A"
"9",0.01,1,"conj","M1",10067326.7326733,"1","M"
"10",0.01,1,"conj","F1",0,"1","F"
"11",0.01,1,"conj","A2",0,"2","A"
"12",0.01,1,"conj","M2",0,"2","M"
"13",0.01,1,"conj","F2",10052970.2581188,"2","F"
"14",0.01,1,"conj","C",999879222.772277,"C","C"
"15",0.02,1,"conj","A1",100962.701363932,"1","A"
"16",0.02,1,"conj","M1",10135106.6731778,"1","M"
"17",0.02,1,"conj","F1",0,"1","F"
"18",0.02,1,"conj","A2",0,"2","A"
"19",0.02,1,"conj","M2",0,"2","M"
"20",0.02,1,"conj","F2",10106221.0371572,"2","F"
"21",0.02,1,"conj","C",999757709.509836,"C","C"
"22",0.03,1,"conj","A1",101447.521093297,"1","A"
"23",0.03,1,"conj","M1",10203342.8712052,"1","M"
"24",0.03,1,"conj","F1",0,"1","F"
"25",0.03,1,"conj","A2",0,"2","A"
"26",0.03,1,"conj","M2",0,"2","M"
"27",0.03,1,"conj","F2",10159753.821958,"2","F"
"28",0.03,1,"conj","C",999635455.667073,"C","C"
"29",0.04,1,"conj","A1",101934.668321799,"1","A"
"30",0.04,1,"conj","M1",10272038.396955,"1","M"
"31",0.04,1,"conj","F1",0,"1","F"
"32",0.04,1,"conj","A2",0,"2","A"
"33",0.04,1,"conj","M2",0,"2","M"
"34",0.04,1,"conj","F2",10213570.1052143,"2","F"
"35",0.04,1,"conj","C",999512456.669972,"C","C"
"36",0.05,1,"conj","A1",102424.154216592,"1","A"
"37",0.05,1,"conj","M1",10341196.3412717,"1","M"
"38",0.05,1,"conj","F1",0,"1","F"
"39",0.05,1,"conj","A2",0,"2","A"
"40",0.05,1,"conj","M2",0,"2","M"
"41",0.05,1,"conj","F2",10267671.3875116,"2","F"
"42",0.05,1,"conj","C",999388707.915929,"C","C"
"43",0.06,1,"conj","A1",102915.989998333,"1","A"
"44",0.06,1,"conj","M1",10410819.8157841,"1","M"
"45",0.06,1,"conj","F1",0,"1","F"
"46",0.06,1,"conj","A2",0,"2","A"
"47",0.06,1,"conj","M2",0,"2","M"
"48",0.06,1,"conj","F2",10322059.1773691,"2","F"
"49",0.06,1,"conj","C",999264204.773566,"C","C"
