"","Time","A1","M1","F1","A2","M2","F2","C","Phase","Type","Cycle"
"1",0,1e+05,1e+07,0,0,0,1e+07,1e+09,"conj","start",1
"501",5,1093333.18400232,285101011.983851,0,607.434230084981,1120.09361215283,139814925.784512,594089001.519792,"conj","end",1
"11",5,0,0,0,303.717115042491,560.046806076413,0,1e+09,"tselect","start",1
"2",77,0,0,0,636863.012191234,9363136.98780877,0,1e+09,"tselect","end",1
"12",77,0,0,1e+07,636863.012191234,9363136.98780877,0,1e+09,"conj","start",2
"5011",82,3869.49099845306,1049.07133513076,139830011.953888,6963872.40936121,266988928.77899,0,606212268.295427,"conj","end",2
"111",82,1934.74549922653,524.535667565378,0,0,0,0,1e+09,"tselect","start",2
"21",154,3162974.68590872,6837025.31409128,0,0,0,0,1e+09,"tselect","end",2
"13",154,3162974.68590872,6837025.31409128,0,0,0,1e+07,1e+09,"conj","start",3
"5012",159,34600154.5209851,195068666.091166,0,19233.7981030419,766.801462310092,139876709.329306,650434469.458978,"conj","end",3
"112",159,0,0,0,9616.89905152093,383.400731155046,0,1e+09,"tselect","start",3
"22",231,0,0,0,7588049.76940744,2411950.23059256,0,1e+09,"tselect","end",3
"14",231,0,0,1e+07,7588049.76940744,2411950.23059256,0,1e+09,"conj","start",4
"5013",236,46203.1616392229,270.937302385518,139948583.13097,83060691.7580083,68878671.828261,0,728065579.18382,"conj","end",4
"113",236,23101.5808196114,135.468651192759,0,0,0,0,1e+09,"tselect","start",4
"23",308,9553344.35046321,446655.649536791,0,0,0,0,1e+09,"tselect","end",4
"15",308,9553344.35046321,446655.649536791,0,0,0,1e+07,1e+09,"conj","start",5
"5014",313,104601204.692196,12760021.7634705,0,58200.8861050597,50.2055817835123,139977011.491482,762603510.961163,"conj","end",5
"114",313,0,0,0,29100.4430525299,25.1027908917561,0,1e+09,"tselect","start",5
"24",385,0,0,0,9931692.87911105,68307.1208889501,0,1e+09,"tselect","end",5
"16",385,0,0,1e+07,9931692.87911105,68307.1208889501,0,1e+09,"conj","start",6
"5015",390,60511.9115342885,7.67886798945315,139982263.095904,108749237.821427,1951528.56037919,0,769256450.931888,"conj","end",6
"115",390,30255.9557671443,3.83943399472658,0,0,0,0,1e+09,"tselect","start",6
"25",462,9989892.64679757,10107.3532024282,0,0,0,0,1e+09,"tselect","end",6
"17",462,9989892.64679757,10107.3532024282,0,0,0,1e+07,1e+09,"conj","start",7
"5016",467,109387344.775068,288769.298397913,0,60867.442583563,1.13625714074359,139983064.815909,770279952.531786,"conj","end",7
"116",467,0,0,0,30433.7212917815,0.568128570371793,0,1e+09,"tselect","start",7
"26",539,0,0,0,9998511.84821957,1488.151780429,0,1e+09,"tselect","end",7
"18",539,0,0,1e+07,9998511.84821957,1488.151780429,0,1e+09,"conj","start",8
"5017",544,60920.0964115845,0.167296782874849,139983183.410444,109481847.12659,42516.8901259246,0,770431532.309132,"conj","end",8
"117",544,30460.0482057922,0.0836483914374247,0,0,0,0,1e+09,"tselect","start",8
"27",616,9999781.05360913,218.946390874191,0,0,0,0,1e+09,"tselect","end",8
"19",616,9999781.05360913,218.946390874191,0,0,0,1e+07,1e+09,"conj","start",9
"5018",621,109495762.92055,6255.35777707581,0,60927.8498762134,0.0246137806151785,139983200.870882,770453852.9763,"conj","end",9
"118",621,0,0,0,30463.9249381067,0.0123068903075892,0,1e+09,"tselect","start",9
"28",693,0,0,0,9999967.79069409,32.2093059109527,0,1e+09,"tselect","end",9
