Cycle,Phase,Time,Genotype,Frequency
1,growth,0,Ancestor,0.9900990099009901
1,growth,0,Mutant,0.009900990099009901
1,growth,24,Ancestor,0.9607045178328333
1,growth,24,Mutant,0.03929548216716671
1,growth,24,Ancestor,0.9607045178328333
1,growth,24,Mutant,0.03929548216716672
1,growth,48,Ancestor,0.758645921920538
1,growth,48,Mutant,0.24135407807946194
1,growth,48,Ancestor,0.758645921920538
1,growth,48,Mutant,0.2413540780794619
1,growth,72,Ancestor,0.3268894367938684
1,growth,72,Mutant,0.6731105632061316
1,growth,72,Ancestor,0.32688943679386834
1,growth,72,Mutant,0.6731105632061317
1,growth,96,Ancestor,0.08154282206105129
1,growth,96,Mutant,0.9184571779389488
1,growth,96,Ancestor,0.08154282206105128
1,growth,96,Mutant,0.9184571779389487
1,growth,120,Ancestor,0.016894991749284206
1,growth,120,Mutant,0.9831050082507158
1,growth,120,Ancestor,0.016894991749284206
1,growth,120,Mutant,0.9831050082507158
1,growth,144,Ancestor,0.0033580288019782285
1,growth,144,Mutant,0.9966419711980218
1,growth,144,Ancestor,0.003358028801978228
1,growth,144,Mutant,0.9966419711980218
1,growth,168,Ancestor,6.618610131891878e-4
1,growth,168,Mutant,0.9993381389868109
1,conj,168,Ancestor,6.618610131891877e-4
1,conj,168,Mutant,0.9993381389868108
1,conj,173,Ancestor,0.04518415628499273
1,conj,173,Mutant,0.9548158437150073
1,tselect,173,Ancestor,0.04518415628499289
1,tselect,173,Mutant,0.954815843715007
1,tselect,197,Ancestor,0.0023605335972761796
1,tselect,197,Mutant,0.9976394664027238
