"","Time","A1","M1","F1","A2","M2","F2","C","Phase","Type","Cycle"
"1",0,1e+07,1e+05,0,0,0,0,1e+09,"growth","start",1
"2401",24,970407633.462945,39692366.5370551,0,0,0,0,2.37610595801914e-317,"growth","end",1
"11",24,970407.633462945,39692.3665370551,0,0,0,0,1e+09,"growth","start",1
"24011",48,759412230.166269,241597869.833731,0,0,0,0,3.92592241179679e-297,"growth","end",1
"12",48,759412.230166269,241597.869833731,0,0,0,0,1e+09,"growth","start",1
"24012",72,327216656.421682,673784353.678318,0,0,0,0,-5.73142334655076e-318,"growth","end",1
"13",72,327216.656421682,673784.353678318,0,0,0,0,1e+09,"growth","start",1
"24013",96,81624446.5083005,919376554.501797,0,0,0,0,-1.7868264512396e-317,"growth","end",1
"14",96,81624.4465083005,919376.554501797,0,0,0,0,1e+09,"growth","start",1
"24014",120,16911903.6529372,984089097.348072,0,0,0,0,1.59966796174154e-317,"growth","end",1
"15",120,16911.9036529372,984089.097348072,0,0,0,0,1e+09,"growth","start",1
"24015",144,3361390.19217039,997639610.80883,0,0,0,0,7.79892503273324e-318,"growth","end",1
"16",144,3361.39019217039,997639.61080883,0,0,0,0,1e+09,"growth","start",1
"24016",168,662523.536725917,1000338477.46428,0,0,0,0,9.87072509003455e-318,"growth","end",1
"17",168,6625.23536725917,10003384.7746428,0,0,0,1e+07,1e+09,"conj","start",1
"501",173,69303.1430361502,215573374.786584,0,52.4630343404312,1108.63055805793,199205824.681846,605160346.304953,"conj","end",1
"18",173,0,0,0,26.2315171702156,554.315279028964,0,1e+09,"tselect","start",1
"2",197,0,0,0,23605.3359727618,9976394.66402724,0,1e+09,"tselect","end",1
