"","Time","A1","M1","F1","A2","M2","F2","C","Phase","Type","Cycle"
"1",0,1e+07,1e+05,0,0,0,0,1e+09,"growth","start",1
"2401",24,970407633.462945,39692366.5370551,0,0,0,0,2.37610595801914e-317,"growth","end",1
"11",24,970407.633462945,39692.3665370551,0,0,0,0,1e+09,"growth","start",1
"24011",48,759412230.166269,241597869.833731,0,0,0,0,3.92592241179679e-297,"growth","end",1
"12",48,759412.230166269,241597.869833731,0,0,0,0,1e+09,"growth","start",1
"24012",72,327216656.421682,673784353.678318,0,0,0,0,-5.73142334655076e-318,"growth","end",1
"13",72,327216.656421682,673784.353678318,0,0,0,0,1e+09,"growth","start",1
"24013",96,81624446.5083005,919376554.501797,0,0,0,0,-1.7868264512396e-317,"growth","end",1
"14",96,81624.4465083005,919376.554501797,0,0,0,0,1e+09,"growth","start",1
"24014",120,16911903.6529372,984089097.348072,0,0,0,0,1.59966796174154e-317,"growth","end",1
"15",120,16911.9036529372,984089.097348072,0,0,0,0,1e+09,"growth","start",1
"24015",144,3361390.19217039,997639610.80883,0,0,0,0,7.79892503273324e-318,"growth","end",1
"16",144,3361.39019217039,997639.61080883,0,0,0,0,1e+09,"growth","start",1
"24016",168,662523.536725917,1000338477.46428,0,0,0,0,9.87072509003455e-318,"growth","end",1
"17",168,6625.23536725917,10003384.7746428,0,0,0,1e+07,1e+09,"conj","start",1
"501",173,69303.1430361502,215573374.786584,0,52.4630343404312,1108.63055805793,199205824.681846,605160346.304953,"conj","end",1
"18",173,0,0,0,26.2315171702156,554.315279028964,0,1e+09,"tselect","start",1
"2",245,0,0,0,59003.2859611883,9940996.71403881,0,1e+09,"tselect","end",1
"19",245,0,0,0,59003.2859611883,9940996.71403881,0,1e+09,"growth","start",2
"24017",269,0,0,0,2016826.17955343,1007983173.82045,0,1.04982131635352e-317,"growth","end",2
"111",269,0,0,0,2016.82617955343,1007983.17382045,0,1e+09,"growth","start",2
"240111",293,0,0,0,394473.390317079,1000615526.60968,0,1.5801597797155e-317,"growth","end",2
"121",293,0,0,0,394.473390317079,1000615.52660968,0,1e+09,"growth","start",2
"240121",317,0,0,0,77607.7614178475,1000923402.23858,0,-4.55205900598895e-318,"growth","end",2
"131",317,0,0,0,77.6077614178475,1000923.40223858,0,1e+09,"growth","start",2
"240131",341,0,0,0,15265.5031881711,1000985735.50681,0,-1.92835847240986e-317,"growth","end",2
"141",341,0,0,0,15.2655031881711,1000985.73550681,0,1e+09,"growth","start",2
"240141",365,0,0,0,3002.62074912444,1000997998.38026,0,3.01355340680868e-319,"growth","end",2
"151",365,0,0,0,3.00262074912444,1000997.99838026,0,1e+09,"growth","start",2
"240151",389,0,0,0,590.59065486031,1001000410.41035,0,-8.19668246223066e-318,"growth","end",2
"161",389,0,0,0,0.59059065486031,1001000.41041035,0,1e+09,"growth","start",2
"240161",413,0,0,0,116.164122787641,1001000884.83688,0,2.11987462090424e-317,"growth","end",2
"171",413,0,0,1e+07,1.16164122787641,10010008.8483688,0,1e+09,"conj","start",2
"5011",418,0.00919863656991909,1109.36277051297,199205706.332787,12.1513163227428,215715922.45674,0,605087259.697197,"conj","end",2
"181",418,0.00459931828495954,554.681385256486,0,0,0,0,1e+09,"tselect","start",2
"21",490,10.3998991980033,9999989.6001008,0,0,0,0,1e+09,"tselect","end",2
