Cycle,Phase,Time,Genotype,Frequency
1,growth,0,Ancestor,0.9999950000249999
1,growth,0,Mutant,4.9999750001249995e-6
1,growth,24,Ancestor,0.9999471278610922
1,growth,24,Mutant,5.287213890775534e-5
1,growth,24,Ancestor,0.9999471278610923
1,growth,24,Mutant,5.287213890775535e-5
1,growth,48,Ancestor,0.9994400401132301
1,growth,48,Mutant,5.599598867698972e-4
1,growth,48,Ancestor,0.9994400401132302
1,growth,48,Mutant,5.599598867698973e-4
1,growth,72,Ancestor,0.9940921288658684
1,growth,72,Mutant,0.005907871134131699
1,growth,72,Ancestor,0.9940921288658683
1,growth,72,Mutant,0.005907871134131699
1,growth,96,Ancestor,0.9407044228293032
1,growth,96,Mutant,0.05929557717069667
1,growth,96,Ancestor,0.9407044228293033
1,growth,96,Mutant,0.059295577170696674
1,growth,120,Ancestor,0.6186791348496649
1,growth,120,Mutant,0.38132086515033525
1,growth,120,Ancestor,0.6186791348496649
1,growth,120,Mutant,0.3813208651503352
1,growth,144,Ancestor,0.18556544346560006
1,growth,144,Mutant,0.8144345565343999
1,growth,144,Ancestor,0.18556544346560006
1,growth,144,Mutant,0.8144345565343999
1,growth,168,Ancestor,0.03588173111421644
1,growth,168,Mutant,0.9641182688857836
1,conj,168,Ancestor,0.03588173111421644
1,conj,168,Mutant,0.9641182688857836
1,conj,192,Ancestor,0.8761094935439759
1,conj,192,Mutant,0.12389050645602402
1,tselect,192,Ancestor,0.876109493543976
1,tselect,192,Mutant,0.12389050645602404
1,tselect,223.049999999972,Ancestor,0.24827235152783073
1,tselect,223.049999999972,Mutant,0.7517276484721692
2,growth,223.049999999972,Ancestor,0.24827235152783073
2,growth,223.049999999972,Mutant,0.7517276484721692
2,growth,247.049999999972,Ancestor,0.050400606591502375
2,growth,247.049999999972,Mutant,0.9495993934084976
2,growth,247.049999999972,Ancestor,0.050400606591502375
2,growth,247.049999999972,Mutant,0.9495993934084976
2,growth,271.049999999972,Ancestor,0.008874183723024483
2,growth,271.049999999972,Mutant,0.9911258162769755
2,growth,271.049999999972,Ancestor,0.008874183723024483
2,growth,271.049999999972,Mutant,0.9911258162769755
2,growth,295.049999999972,Ancestor,0.0015218782969124661
2,growth,295.049999999972,Mutant,0.9984781217030876
2,growth,295.049999999972,Ancestor,0.0015218782969124663
2,growth,295.049999999972,Mutant,0.9984781217030876
2,growth,319.049999999972,Ancestor,2.598074747655639e-4
2,growth,319.049999999972,Mutant,0.9997401925252345
2,growth,319.049999999972,Ancestor,2.5980747476556397e-4
2,growth,319.049999999972,Mutant,0.9997401925252344
2,growth,343.049999999972,Ancestor,4.431848035364719e-5
2,growth,343.049999999972,Mutant,0.9999556815196463
2,growth,343.049999999972,Ancestor,4.4318480353647204e-5
2,growth,343.049999999972,Mutant,0.9999556815196463
2,growth,367.049999999972,Ancestor,7.558929971761851e-6
2,growth,367.049999999972,Mutant,0.9999924410700283
2,growth,367.049999999972,Ancestor,7.55892997176185e-6
2,growth,367.049999999972,Mutant,0.9999924410700282
2,growth,391.049999999972,Ancestor,1.289216728187012e-6
2,growth,391.049999999972,Mutant,0.9999987107832718
2,conj,391.049999999972,Ancestor,1.289216728187012e-6
2,conj,391.049999999972,Mutant,0.9999987107832717
2,conj,415.049999999972,Ancestor,2.451595268718969e-4
2,conj,415.049999999972,Mutant,0.9997548404731281
2,tselect,415.049999999972,Ancestor,0
2,tselect,415.049999999972,Mutant,1
2,tselect,446.759999999943,Ancestor,0
2,tselect,446.759999999943,Mutant,1
3,growth,446.759999999943,Ancestor,0
3,growth,446.759999999943,Mutant,1
3,growth,470.759999999943,Ancestor,0
3,growth,470.759999999943,Mutant,1
3,growth,470.759999999943,Ancestor,0
3,growth,470.759999999943,Mutant,1
3,growth,494.759999999943,Ancestor,0
3,growth,494.759999999943,Mutant,1
3,growth,494.759999999943,Ancestor,0
3,growth,494.759999999943,Mutant,1
3,growth,518.759999999943,Ancestor,0
3,growth,518.759999999943,Mutant,1
3,growth,518.759999999943,Ancestor,0
3,growth,518.759999999943,Mutant,1
3,growth,542.759999999943,Ancestor,0
3,growth,542.759999999943,Mutant,1
3,growth,542.759999999943,Ancestor,0
3,growth,542.759999999943,Mutant,1
3,growth,566.759999999943,Ancestor,0
3,growth,566.759999999943,Mutant,1
3,growth,566.759999999943,Ancestor,0
3,growth,566.759999999943,Mutant,1
3,growth,590.759999999943,Ancestor,0
3,growth,590.759999999943,Mutant,1
3,growth,590.759999999943,Ancestor,0
3,growth,590.759999999943,Mutant,1
3,growth,614.759999999943,Ancestor,0
3,growth,614.759999999943,Mutant,1
3,conj,614.759999999943,Ancestor,0
3,conj,614.759999999943,Mutant,1
3,conj,638.759999999943,Ancestor,0
3,conj,638.759999999943,Mutant,1
3,tselect,638.759999999943,Ancestor,0
3,tselect,638.759999999943,Mutant,1
3,tselect,670.469999999914,Ancestor,0
3,tselect,670.469999999914,Mutant,1
