"","Time","A1","M1","F1","A2","M2","F2","C","Phase","Type","Cycle"
"1",0,1e+06,5,0,0,0,0,1e+09,"growth","start",1
"2401",24,946492814.582545,50045.7455934134,0,0,0,0,54457144.6718601,"growth","end",1
"11",24,946492.814582545,50.0457455934134,0,0,0,0,1e+09,"growth","start",1
"24011",48,901090226.500759,504857.08091469,0,0,0,0,99351459.2786566,"growth","end",1
"12",48,901090.226500759,504.85708091469,0,0,0,0,1e+09,"growth","start",1
"24012",72,860479213.14078,5113812.04741507,0,0,0,0,135308569.895387,"growth","end",1
"13",72,860479.21314078,5113.81204741507,0,0,0,0,1e+09,"growth","start",1
"24013",96,821481157.454747,51780557.4035979,0,0,0,0,127603878.166843,"growth","end",1
"14",96,821481.157454747,51780.5574035979,0,0,0,0,1e+09,"growth","start",1
"24014",120,619219403.651908,381653858.062946,0,0,0,0,1.0268472124834e-06,"growth","end",1
"15",120,619219.403651908,381653.858062946,0,0,0,0,1e+09,"growth","start",1
"24015",144,185751170.956264,815249702.305456,0,0,0,0,4.05532461377877e-74,"growth","end",1
"16",144,185751.170956264,815249.702305456,0,0,0,0,1e+09,"growth","start",1
"24016",168,35917648.758396,965083352.114868,0,0,0,0,6.22361815498629e-111,"growth","end",1
"17",168,35917.648758396,965083.352114868,0,0,0,1e+07,1e+09,"conj","start",1
"24017",192,1454600.60969899,139711582.403077,0,33853.5516674984,4787.22544650868,869796177.210983,9.96481692697717e-206,"conj","end",1
"18",192,0,0,0,33.8535516674984,4.78722544650868,0,1e+09,"tselect","start",1
"23104",223.049999999972,0,0,0,248850.514423512,753478.230167351,0,998997709.896188,"tselect","end",1
"19",223.049999999972,0,0,0,248850.514423512,753478.230167351,0,1e+09,"growth","start",2
"24018",247.049999999972,0,0,0,50451124.5682339,950551204.176358,0,7.25789853507866e-107,"growth","end",2
"111",247.049999999972,0,0,0,50451.1245682339,950551.204176358,0,1e+09,"growth","start",2
"240111",271.049999999972,0,0,0,8883066.80159696,992117935.52715,0,5.16986660363057e-119,"growth","end",2
"121",271.049999999972,0,0,0,8883.06680159696,992117.93552715,0,1e+09,"growth","start",2
"240121",295.049999999972,0,0,0,1523401.6986131,999477599.303717,0,2.67978400919468e-121,"growth","end",2
"131",295.049999999972,0,0,0,1523.4016986131,999477.599303717,0,1e+09,"growth","start",2
"240131",319.049999999972,0,0,0,260067.542307871,1000740933.45869,0,1.07656652776931e-121,"growth","end",2
"141",319.049999999972,0,0,0,260.067542307871,1000740.93345869,0,1e+09,"growth","start",2
"240141",343.049999999972,0,0,0,44362.8431968443,1000956638.15781,0,9.21099909876963e-122,"growth","end",2
"151",343.049999999972,0,0,0,44.3628431968443,1000956.63815781,0,1e+09,"growth","start",2
"240151",367.049999999972,0,0,0,7566.49646823006,1000993434.50453,0,8.96910260195206e-122,"growth","end",2
"161",367.049999999972,0,0,0,7.56649646823006,1000993.43450453,0,1e+09,"growth","start",2
"240161",391.049999999972,0,0,0,1290.50723542244,1000999710.49377,0,8.92848160133391e-122,"growth","end",2
"171",391.049999999972,0,0,1e+07,1.29050723542244,1000999.71049377,0,1e+09,"conj","start",2
"240171",415.049999999972,1.20824405094746,4927.19109805907,866672110.85589,52.1056155408112,144323909.640154,0,3.88302040349123e-206,"conj","end",2
"181",415.049999999972,0,4.92719109805907,0,0,0,0,1e+09,"tselect","start",2
"23170",446.759999999943,0,1000124.4908112,0,0,0,0,998999880.436382,"tselect","end",2
"110",446.759999999943,0,1000124.4908112,0,0,0,0,1e+09,"growth","start",3
"24019",470.759999999943,0,1001000124.49081,0,0,0,0,9.98463033500925e-122,"growth","end",3
"112",470.759999999943,0,1001000.12449081,0,0,0,0,1e+09,"growth","start",3
"240112",494.759999999943,0,1001001000.12449,0,0,0,0,8.92115684852453e-122,"growth","end",3
"122",494.759999999943,0,1001001.00012449,0,0,0,0,1e+09,"growth","start",3
"240122",518.759999999943,0,1001001001.00013,0,0,0,0,8.92015263081563e-122,"growth","end",3
"132",518.759999999943,0,1001001.00100013,0,0,0,0,1e+09,"growth","start",3
"240132",542.759999999943,0,1001001001.001,0,0,0,0,8.92015162720882e-122,"growth","end",3
"142",542.759999999943,0,1001001.001001,0,0,0,0,1e+09,"growth","start",3
"240142",566.759999999943,0,1001001001.001,0,0,0,0,8.92015162620657e-122,"growth","end",3
"152",566.759999999943,0,1001001.001001,0,0,0,0,1e+09,"growth","start",3
"240152",590.759999999943,0,1001001001.001,0,0,0,0,8.92015162620167e-122,"growth","end",3
"162",590.759999999943,0,1001001.001001,0,0,0,0,1e+09,"growth","start",3
"240162",614.759999999943,0,1001001001.001,0,0,0,0,8.92015162620167e-122,"growth","end",3
"172",614.759999999943,0,1001001.001001,0,0,0,1e+07,1e+09,"conj","start",3
"240172",638.759999999943,0,144324074.705993,0,0,4927.19608675202,866671999.098919,3.88288925310396e-206,"conj","end",3
"182",638.759999999943,0,0,0,0,4.92719608675202,0,1e+09,"tselect","start",3
"231701",670.469999999914,0,0,0,0,1000125.50340937,0,998999879.423785,"tselect","end",3
