"","time","cell_types","density","host","genotype"
"1",0,"A1",10000,"1","A"
"2",0,"M1",1e+07,"1","M"
"3",0,"F1",0,"1","F"
"4",0,"A2",0,"2","A"
"5",0,"M2",0,"2","M"
"6",0,"F2",1e+07,"2","F"
"7",0,"C",1e+09,"C","C"
"8",0,"A1",10000,"1","A"
"9",0,"M1",1e+07,"1","M"
"10",0,"F1",0,"1","F"
"11",0,"A2",0,"2","A"
"12",0,"M2",0,"2","M"
"13",0,"F2",1e+07,"2","F"
"14",0,"C",1e+09,"C","C"
"15",0.01,"A1",10028.7128712871,"1","A"
"16",0.01,"M1",10038613.8613861,"1","M"
"17",0.01,"F1",0,"1","F"
"18",0.01,"A2",0,"2","A"
"19",0.01,"M2",0,"2","M"
"20",0.01,"F2",10034653.4420792,"2","F"
"21",0.01,"C",999926703.960396,"C","C"
"22",0.02,"A1",10057.5081645736,"1","A"
"23",0.02,"M1",10077376.7976689,"1","M"
"24",0.02,"F1",0,"1","F"
"25",0.02,"A2",0,"2","A"
"26",0.02,"M2",0,"2","M"
"27",0.02,"F2",10069426.9449453,"2","F"
"28",0.02,"C",999853138.702445,"C","C"
"29",0.03,"A1",10086.3861163167,"1","A"
"30",0.03,"M1",10116289.384159,"1","M"
"31",0.03,"F1",0,"1","F"
"32",0.03,"A2",0,"2","A"
"33",0.03,"M2",0,"2","M"
"34",0.03,"F2",10104320.9243778,"2","F"
"35",0.03,"C",999779303.234817,"C","C"
"36",0.04,"A1",10115.3469636509,"1","A"
"37",0.04,"M1",10155352.1983856,"1","M"
"38",0.04,"F1",0,"1","F"
"39",0.04,"A2",0,"2","A"
"40",0.04,"M2",0,"2","M"
"41",0.04,"F2",10139335.7975946,"2","F"
"42",0.04,"C",999705196.562527,"C","C"
"43",0.05,"A1",10144.3909443902,"1","A"
"44",0.05,"M1",10194565.8201049,"1","M"
"45",0.05,"F1",0,"1","F"
"46",0.05,"A2",0,"2","A"
"47",0.05,"M2",0,"2","M"
"48",0.05,"F2",10174471.9832572,"2","F"
"49",0.05,"C",999630817.686917,"C","C"
"50",0.06,"A1",10173.5182970298,"1","A"
"51",0.06,"M1",10233930.8313089,"1","M"
"52",0.06,"F1",0,"1","F"
"53",0.06,"A2",0,"2","A"
"54",0.06,"M2",0,"2","M"
"55",0.06,"F2",10209729.9014757,"2","F"
"56",0.06,"C",999556165.605645,"C","C"
"57",0.07,"A1",10202.7292607481,"1","A"
"58",0.07,"M1",10273447.8162339,"1","M"
"59",0.07,"F1",0,"1","F"
"60",0.07,"A2",0,"2","A"
"61",0.07,"M2",0,"2","M"
"62",0.07,"F2",10245109.9738133,"2","F"
"63",0.07,"C",999481239.31267,"C","C"
"64",0.08,"A1",10232.0240754088,"1","A"
"65",0.08,"M1",10313117.3613691,"1","M"
"66",0.08,"F1",0,"1","F"
"67",0.08,"A2",0,"2","A"
"68",0.08,"M2",0,"2","M"
"69",0.08,"F2",10280612.6232919,"2","F"
"70",0.08,"C",999406037.798239,"C","C"
"71",0.09,"A1",10261.4029815627,"1","A"
"72",0.09,"M1",10352940.0554651,"1","M"
"73",0.09,"F1",0,"1","F"
"74",0.09,"A2",0,"2","A"
"75",0.09,"M2",0,"2","M"
"76",0.09,"F2",10316238.274397,"2","F"
"77",0.09,"C",999330560.048872,"C","C"
"78",0.1,"A1",10290.8662204495,"1","A"
"79",0.1,"M1",10392916.4895432,"1","M"
"80",0.1,"F1",0,"1","F"
"81",0.1,"A2",0,"2","A"
"82",0.1,"M2",0,"2","M"
"83",0.1,"F2",10351987.3530825,"2","F"
"84",0.1,"C",999254805.047352,"C","C"
"85",0.11,"A1",10320.4140340003,"1","A"
"86",0.11,"M1",10433047.2569033,"1","M"
"87",0.11,"F1",0,"1","F"
"88",0.11,"A2",0,"2","A"
"89",0.11,"M2",0,"2","M"
"90",0.11,"F2",10387860.2867761,"2","F"
"91",0.11,"C",999178771.772708,"C","C"
"92",0.12,"A1",10350.046664839,"1","A"
"93",0.12,"M1",10473332.9531335,"1","M"
"94",0.12,"F1",0,"1","F"
"95",0.12,"A2",0,"2","A"
"96",0.12,"M2",0,"2","M"
"97",0.12,"F2",10423857.504384,"2","F"
"98",0.12,"C",999102459.200199,"C","C"
"99",0.13,"A1",10379.7643562845,"1","A"
"100",0.13,"M1",10513774.1761183,"1","M"
"101",0.13,"F1",0,"1","F"
"102",0.13,"A2",0,"2","A"
"103",0.13,"M2",0,"2","M"
"104",0.13,"F2",10459979.4362964,"2","F"
"105",0.13,"C",999025866.301306,"C","C"
"106",0.14,"A1",10409.567352353,"1","A"
"107",0.14,"M1",10554371.5260478,"1","M"
"108",0.14,"F1",0,"1","F"
"109",0.14,"A2",0,"2","A"
"110",0.14,"M2",0,"2","M"
"111",0.14,"F2",10496226.5143925,"2","F"
"112",0.14,"C",998948992.043713,"C","C"
"113",0.15,"A1",10439.4558977592,"1","A"
"114",0.15,"M1",10595125.6054263,"1","M"
"115",0.15,"F1",0,"1","F"
"116",0.15,"A2",0,"2","A"
"117",0.15,"M2",0,"2","M"
"118",0.15,"F2",10532599.1720454,"2","F"
"119",0.15,"C",998871835.391297,"C","C"
"120",0.16,"A1",10469.4302379193,"1","A"
"121",0.16,"M1",10636037.0190816,"1","M"
"122",0.16,"F1",0,"1","F"
"123",0.16,"A2",0,"2","A"
"124",0.16,"M2",0,"2","M"
"125",0.16,"F2",10569097.8441277,"2","F"
"126",0.16,"C",998794395.304108,"C","C"
"127",0.17,"A1",10499.4906189521,"1","A"
