"","Time","Cycle","Phase","Cell_types","Density","Host","Genotype"
"1",0,1,"conj","A1",1e+07,"1","A"
"2",0,1,"conj","M1",10000,"1","M"
"3",0,1,"conj","F1",0,"1","F"
"4",0,1,"conj","A2",0,"2","A"
"5",0,1,"conj","M2",0,"2","M"
"6",0,1,"conj","F2",1e+07,"2","F"
"7",0,1,"conj","C",1e+09,"C","C"
"8",0.01,1,"conj","A1",10028712.8712871,"1","A"
"9",0.01,1,"conj","M1",10038.6138613861,"1","M"
"10",0.01,1,"conj","F1",0,"1","F"
"11",0.01,1,"conj","A2",9.40594059405941,"2","A"
"12",0.01,1,"conj","M2",0,"2","M"
"13",0.01,1,"conj","F2",10034644.0593921,"2","F"
"14",0.01,1,"conj","C",999936595.049505,"C","C"
"15",0.02,1,"conj","A1",10057508.167394,"1","A"
"16",0.02,1,"conj","M1",10077.3768014656,"1","M"
"17",0.02,1,"conj","F1",0,"1","F"
"18",0.02,1,"conj","A2",18.898569101069,"2","A"
"19",0.02,1,"conj","M2",0,"2","M"
"20",0.02,1,"conj","F2",10069408.0909432,"2","F"
"21",0.02,1,"conj","C",999872987.466264,"C","C"
"22",0.03,1,"conj","A1",10086386.1248219,"1","A"
"23",0.03,1,"conj","M1",10116.2893956196,"1","M"
"24",0.03,1,"conj","F1",0,"1","F"
"25",0.03,1,"conj","A2",28.4785129843255,"2","A"
"26",0.03,1,"conj","M2",0,"2","M"
"27",0.03,1,"conj","F2",10104292.509796,"2","F"
"28",0.03,1,"conj","C",999809176.597432,"C","C"
"29",0.04,1,"conj","A1",10115346.9807499,"1","A"
"30",0.04,1,"conj","M1",10155.352221449,"1","M"
"31",0.04,1,"conj","F1",0,"1","F"
"32",0.04,1,"conj","A2",38.1464039089493,"2","A"
"33",0.04,1,"conj","M2",0,"2","M"
"34",0.04,1,"conj","F2",10139297.7325271,"2","F"
"35",0.04,1,"conj","C",999745161.788041,"C","C"
"36",0.05,1,"conj","A1",10144390.9730372,"1","A"
"37",0.05,1,"conj","M1",10194.5658587825,"1","M"
"38",0.05,1,"conj","F1",0,"1","F"
"39",0.05,1,"conj","A2",47.902877769158,"2","A"
"40",0.05,1,"conj","M2",0,"2","M"
"41",0.05,1,"conj","F2",10174424.177153,"2","F"
"42",0.05,1,"conj","C",999680942.381002,"C","C"
"43",0.06,1,"conj","A1",10173518.3402244,"1","A"
"44",0.06,1,"conj","M1",10233.9308896855,"1","M"
"45",0.06,1,"conj","F1",0,"1","F"
"46",0.06,1,"conj","A2",57.7485747157142,"2","A"
"47",0.06,1,"conj","M2",0,"2","M"
"48",0.06,1,"conj","F2",10209672.2631341,"2","F"
"49",0.06,1,"conj","C",999616517.717092,"C","C"
"50",0.07,1,"conj","A1",10202729.321536,"1","A"
"51",0.07,1,"conj","M1",10273.4478984686,"1","M"
"52",0.07,1,"conj","F1",0,"1","F"
"53",0.07,1,"conj","A2",67.6841391835493,"2","A"
"54",0.07,1,"conj","M2",0,"2","M"
"55",0.07,1,"conj","F2",10245042.4113803,"2","F"
"56",0.07,1,"conj","C",999551887.134946,"C","C"
"57",0.08,1,"conj","A1",10232024.1568822,"1","A"
"58",0.08,1,"conj","M1",10313.1174716962,"1","M"
"59",0.08,1,"conj","F1",0,"1","F"
"60",0.08,1,"conj","A2",77.7102199195641,"2","A"
"61",0.08,1,"conj","M2",0,"2","M"
"62",0.08,1,"conj","F2",10280535.0442558,"2","F"
"63",0.08,1,"conj","C",999487049.971055,"C","C"
"64",0.09,1,"conj","A1",10261403.0868608,"1","A"
"65",0.09,1,"conj","M1",10352.9401981953,"1","M"
"66",0.09,1,"conj","F1",0,"1","F"
"67",0.09,1,"conj","A2",87.8274700106066,"2","A"
"68",0.09,1,"conj","M2",0,"2","M"
"69",0.09,1,"conj","F2",10316150.585584,"2","F"
"70",0.09,1,"conj","C",999422005.559757,"C","C"
"71",0.1,1,"conj","A1",10290866.3527592,"1","A"
"72",0.1,1,"conj","M1",10392.9166690641,"1","M"
"73",0.1,1,"conj","F1",0,"1","F"
"74",0.1,1,"conj","A2",98.0365469116304,"2","A"
"75",0.1,1,"conj","M2",0,"2","M"
"76",0.1,1,"conj","F2",10351889.4606527,"2","F"
"77",0.1,1,"conj","C",999356753.233227,"C","C"
"78",0.11,1,"conj","A1",10320414.1965563,"1","A"
"79",0.11,1,"conj","M1",10433.047477681,"1","M"
"80",0.11,1,"conj","F1",0,"1","F"
"81",0.11,1,"conj","A2",108.338112474032,"2","A"
"82",0.11,1,"conj","M2",0,"2","M"
"83",0.11,1,"conj","F2",10387752.096219,"2","F"
"84",0.11,1,"conj","C",999291292.321473,"C","C"
"85",0.12,1,"conj","A1",10350046.8609248,"1","A"
"86",0.12,1,"conj","M1",10473.333219713,"1","M"
"87",0.12,1,"conj","F1",0,"1","F"
"88",0.12,1,"conj","A2",118.732832974168,"2","A"
"89",0.12,1,"conj","M2",0,"2","M"
"90",0.12,1,"conj","F2",10423738.9205145,"2","F"
"91",0.12,1,"conj","C",999225622.152331,"C","C"
"92",0.13,1,"conj","A1",10379764.5892325,"1","A"
"93",0.13,1,"conj","M1",10513.7744931248,"1","M"
"94",0.13,1,"conj","F1",0,"1","F"
"95",0.13,1,"conj","A2",129.221379142062,"2","A"
"96",0.13,1,"conj","M2",0,"2","M"
"97",0.13,1,"conj","F2",10459850.3632502,"2","F"
"98",0.13,1,"conj","C",999159742.051453,"C","C"
"99",0.14,1,"conj","A1",10409567.6255452,"1","A"
"100",0.14,1,"conj","M1",10554.3718981876,"1","M"
"101",0.14,1,"conj","F1",0,"1","F"
"102",0.14,1,"conj","A2",139.804426190283,"2","A"
"103",0.14,1,"conj","M2",0,"2","M"
"104",0.14,1,"conj","F2",10496086.8556219,"2","F"
"105",0.14,1,"conj","C",999093651.3423,"C","C"
"106",0.15,1,"conj","A1",10439456.2146279,"1","A"
"107",0.15,1,"conj","M1",10595.1260374878,"1","M"
"108",0.15,1,"conj","F1",0,"1","F"
"109",0.15,1,"conj","A2",150.48265384302,"2","A"
"110",0.15,1,"conj","M2",0,"2","M"
"111",0.15,1,"conj","F2",10532448.8303149,"2","F"
"112",0.15,1,"conj","C",999027349.346141,"C","C"
"113",0.16,1,"conj","A1",10469430.6019472,"1","A"
"114",0.16,1,"conj","M1",10636.0375159364,"1","M"
"115",0.16,1,"conj","F1",0,"1","F"
"116",0.16,1,"conj","A2",161.256746365336,"2","A"
"117",0.16,1,"conj","M2",0,"2","M"
"118",0.16,1,"conj","F2",10568936.7215095,"2","F"
"119",0.16,1,"conj","C",998960835.38204,"C","C"
"120",0.17,1,"conj","A1",10499491.0336732,"1","A"
"121",0.17,1,"conj","M1",10677.1069407772,"1","M"
"122",0.17,1,"conj","F1",0,"1","F"
"123",0.17,1,"conj","A2",172.127392592614,"2","A"
"124",0.17,1,"conj","M2",0,"2","M"
"125",0.17,1,"conj","F2",10605550.9648861,"2","F"
"126",0.17,1,"conj","C",998894108.76685,"C","C"
"127",0.18,1,"conj","A1",10529637.7566817,"1","A"
"128",0.18,1,"conj","M1",10718.3349215967,"1","M"
"129",0.18,1,"conj","F1",0,"1","F"
"130",0.18,1,"conj","A2",183.095285960184,"2","A"
"131",0.18,1,"conj","M2",0,"2","M"
"132",0.18,1,"conj","F2",10642291.9976299,"2","F"
"133",0.18,1,"conj","C",998827168.815207,"C","C"
"134",0.19,1,"conj","A1",10559871.0185559,"1","A"
"135",0.19,1,"conj","M1",10759.7220703322,"1","M"
"136",0.19,1,"conj","F1",0,"1","F"
"137",0.19,1,"conj","A2",194.161124533148,"2","A"
"138",0.19,1,"conj","M2",0,"2","M"
"139",0.19,1,"conj","F2",10679160.2584368,"2","F"
"140",0.19,1,"conj","C",998760014.839521,"C","C"
"141",0.2,1,"conj","A1",10590191.0675885,"1","A"
"142",0.2,1,"conj","M1",10801.2690012816,"1","M"
"143",0.2,1,"conj","F1",0,"1","F"
"144",0.2,1,"conj","A2",205.325611036392,"2","A"
"145",0.2,1,"conj","M2",0,"2","M"
"146",0.2,1,"conj","F2",10716156.1875181,"2","F"
"147",0.2,1,"conj","C",998692646.149973,"C","C"
"148",0.21,1,"conj","A1",10620598.152784,"1","A"
"149",0.21,1,"conj","M1",10842.9763311121,"1","M"
"150",0.21,1,"conj","F1",0,"1","F"
"151",0.21,1,"conj","A2",216.589452884787,"2","A"
"152",0.21,1,"conj","M2",0,"2","M"
"153",0.21,1,"conj","F2",10753280.226606,"2","F"
"154",0.21,1,"conj","C",998625062.054501,"C","C"
"155",0.22,1,"conj","A1",10651092.5238603,"1","A"
"156",0.22,1,"conj","M1",10884.8446788695,"1","M"
"157",0.22,1,"conj","F1",0,"1","F"
"158",0.22,1,"conj","A2",227.953362213589,"2","A"
"159",0.22,1,"conj","M2",0,"2","M"
"160",0.22,1,"conj","F2",10790532.8189586,"2","F"
"161",0.22,1,"conj","C",998557261.858797,"C","C"
"162",0.23,1,"conj","A1",10681674.4312513,"1","A"
"163",0.23,1,"conj","M1",10926.8746659872,"1","M"
"164",0.23,1,"conj","F1",0,"1","F"
"165",0.23,1,"conj","A2",239.418055909029,"2","A"
"166",0.23,1,"conj","M2",0,"2","M"
"167",0.23,1,"conj","F2",10827914.4093652,"2","F"
"168",0.23,1,"conj","C",998489244.866301,"C","C"
"169",0.24,1,"conj","A1",10712344.1261083,"1","A"
"170",0.24,1,"conj","M1",10969.0669162954,"1","M"
"171",0.24,1,"conj","F1",0,"1","F"
"172",0.24,1,"conj","A2",250.984255639102,"2","A"
"173",0.24,1,"conj","M2",0,"2","M"
"174",0.24,1,"conj","F2",10865425.4441519,"2","F"
"175",0.24,1,"conj","C",998421010.37819,"C","C"
"176",0.25,1,"conj","A1",10743101.8603026,"1","A"
"177",0.25,1,"conj","M1",11011.4220560307,"1","M"
"178",0.25,1,"conj","F1",0,"1","F"
"179",0.25,1,"conj","A2",262.652687884549,"2","A"
"180",0.25,1,"conj","M2",0,"2","M"
"181",0.25,1,"conj","F2",10903066.3711863,"2","F"
"182",0.25,1,"conj","C",998352557.693371,"C","C"
"183",0.26,1,"conj","A1",10773947.8864271,"1","A"
"184",0.26,1,"conj","M1",11053.9407138448,"1","M"
"185",0.26,1,"conj","F1",0,"1","F"
"186",0.26,1,"conj","A2",274.424083970043,"2","A"
"187",0.26,1,"conj","M2",0,"2","M"
"188",0.26,1,"conj","F2",10940837.6398835,"2","F"
"189",0.26,1,"conj","C",998283886.108477,"C","C"
"190",0.27,1,"conj","A1",10804882.457799,"1","A"
"191",0.27,1,"conj","M1",11096.6235208143,"1","M"
"192",0.27,1,"conj","F1",0,"1","F"
"193",0.27,1,"conj","A2",286.299180095565,"2","A"
"194",0.27,1,"conj","M2",0,"2","M"
"195",0.27,1,"conj","F2",10978739.7012108,"2","F"
"196",0.27,1,"conj","C",998214994.917856,"C","C"
"197",0.28,1,"conj","A1",10835905.828461,"1","A"
"198",0.28,1,"conj","M1",11139.4711104498,"1","M"
"199",0.28,1,"conj","F1",0,"1","F"
"200",0.28,1,"conj","A2",298.278717367992,"2","A"
"201",0.28,1,"conj","M2",0,"2","M"
"202",0.28,1,"conj","F2",11016773.0076935,"2","F"
"203",0.28,1,"conj","C",998145883.413566,"C","C"
"204",0.29,1,"conj","A1",10867018.2531841,"1","A"
"205",0.29,1,"conj","M1",11182.4841187053,"1","M"
"206",0.29,1,"conj","F1",0,"1","F"
"207",0.29,1,"conj","A2",310.363441832881,"2","A"
"208",0.29,1,"conj","M2",0,"2","M"
"209",0.29,1,"conj","F2",11054938.0134199,"2","F"
"210",0.29,1,"conj","C",998076550.885365,"C","C"
"211",0.3,1,"conj","A1",10898219.9874694,"1","A"
"212",0.3,1,"conj","M1",11225.6631839875,"1","M"
"213",0.3,1,"conj","F1",0,"1","F"
"214",0.3,1,"conj","A2",322.554104506453,"2","A"
"215",0.3,1,"conj","M2",0,"2","M"
"216",0.3,1,"conj","F2",11093235.1740471,"2","F"
"217",0.3,1,"conj","C",998006996.620706,"C","C"
"218",0.31,1,"conj","A1",10929511.2875502,"1","A"
"219",0.31,1,"conj","M1",11269.0089471656,"1","M"
"220",0.31,1,"conj","F1",0,"1","F"
"221",0.31,1,"conj","A2",334.851461407788,"2","A"
"222",0.31,1,"conj","M2",0,"2","M"
"223",0.31,1,"conj","F2",11131664.9468059,"2","F"
"224",0.31,1,"conj","C",997937219.904727,"C","C"
"225",0.32,1,"conj","A1",10960892.4103941,"1","A"
"226",0.32,1,"conj","M1",11312.5220515804,"1","M"
"227",0.32,1,"conj","F1",0,"1","F"
"228",0.32,1,"conj","A2",347.256273591223,"2","A"
"229",0.32,1,"conj","M2",0,"2","M"
"230",0.32,1,"conj","F2",11170227.7905067,"2","F"
"231",0.32,1,"conj","C",997867220.020247,"C","C"
"232",0.33,1,"conj","A1",10992363.613705,"1","A"
"233",0.33,1,"conj","M1",11356.2031430541,"1","M"
"234",0.33,1,"conj","F1",0,"1","F"
"235",0.33,1,"conj","A2",359.769307178959,"2","A"
"236",0.33,1,"conj","M2",0,"2","M"
"237",0.33,1,"conj","F2",11208924.1655447,"2","F"
"238",0.33,1,"conj","C",997796996.247753,"C","C"
"239",0.34,1,"conj","A1",11023925.1559254,"1","A"
"240",0.34,1,"conj","M1",11400.0528698996,"1","M"
"241",0.34,1,"conj","F1",0,"1","F"
"242",0.34,1,"conj","A2",372.391333393871,"2","A"
"243",0.34,1,"conj","M2",0,"2","M"
"244",0.34,1,"conj","F2",11247754.5339054,"2","F"
"245",0.34,1,"conj","C",997726547.865399,"C","C"
"246",0.35,1,"conj","A1",11055577.2962385,"1","A"
"247",0.35,1,"conj","M1",11444.0718829303,"1","M"
"248",0.35,1,"conj","F1",0,"1","F"
"249",0.35,1,"conj","A2",385.123128592533,"2","A"
"250",0.35,1,"conj","M2",0,"2","M"
"251",0.35,1,"conj","F2",11286719.3591699,"2","F"
"252",0.35,1,"conj","C",997655874.148993,"C","C"
"253",0.36,1,"conj","A1",11087320.2945701,"1","A"
"254",0.36,1,"conj","M1",11488.2608354698,"1","M"
"255",0.36,1,"conj","F1",0,"1","F"
"256",0.36,1,"conj","A2",397.965474298455,"2","A"
"257",0.36,1,"conj","M2",0,"2","M"
"258",0.36,1,"conj","F2",11325819.1065207,"2","F"
"259",0.36,1,"conj","C",997584974.371993,"C","C"
"260",0.37,1,"conj","A1",11119154.4115909,"1","A"
"261",0.37,1,"conj","M1",11532.6203833613,"1","M"
"262",0.37,1,"conj","F1",0,"1","F"
"263",0.37,1,"conj","A2",410.919157235528,"2","A"
"264",0.37,1,"conj","M2",0,"2","M"
"265",0.37,1,"conj","F2",11365054.2427471,"2","F"
"266",0.37,1,"conj","C",997513847.805494,"C","C"
"267",0.38,1,"conj","A1",11151079.9087186,"1","A"
"268",0.38,1,"conj","M1",11577.1511849775,"1","M"
"269",0.38,1,"conj","F1",0,"1","F"
"270",0.38,1,"conj","A2",423.984969361686,"2","A"
"271",0.38,1,"conj","M2",0,"2","M"
"272",0.38,1,"conj","F2",11404425.2362506,"2","F"
"273",0.38,1,"conj","C",997442493.718229,"C","C"
"274",0.39,1,"conj","A1",11183097.0481199,"1","A"
"275",0.39,1,"conj","M1",11621.8539012302,"1","M"
"276",0.39,1,"conj","F1",0,"1","F"
"277",0.39,1,"conj","A2",437.163707902779,"2","A"
"278",0.39,1,"conj","M2",0,"2","M"
"279",0.39,1,"conj","F2",11443932.5570507,"2","F"
"280",0.39,1,"conj","C",997370911.376552,"C","C"
"281",0.4,1,"conj","A1",11215206.0927131,"1","A"
"282",0.4,1,"conj","M1",11666.7291955802,"1","M"
"283",0.4,1,"conj","F1",0,"1","F"
"284",0.4,1,"conj","A2",450.456175386672,"2","A"
"285",0.4,1,"conj","M2",0,"2","M"
"286",0.4,1,"conj","F2",11483576.67679,"2","F"
"287",0.4,1,"conj","C",997299100.044436,"C","C"
"288",0.41,1,"conj","A1",11247407.3061694,"1","A"
"289",0.41,1,"conj","M1",11711.7777340472,"1","M"
"290",0.41,1,"conj","F1",0,"1","F"
"291",0.41,1,"conj","A2",463.863179677549,"2","A"
"292",0.41,1,"conj","M2",0,"2","M"
"293",0.41,1,"conj","F2",11523358.0687406,"2","F"
"294",0.41,1,"conj","C",997227058.983466,"C","C"
"295",0.42,1,"conj","A1",11279700.952916,"1","A"
"296",0.42,1,"conj","M1",11757.0001852195,"1","M"
"297",0.42,1,"conj","F1",0,"1","F"
"298",0.42,1,"conj","A2",477.385534010449,"2","A"
"299",0.42,1,"conj","M2",0,"2","M"
"300",0.42,1,"conj","F2",11563277.2078087,"2","F"
"301",0.42,1,"conj","C",997154787.452824,"C","C"
"302",0.43,1,"conj","A1",11312087.2981377,"1","A"
"303",0.43,1,"conj","M1",11802.3972202638,"1","M"
"304",0.43,1,"conj","F1",0,"1","F"
"305",0.43,1,"conj","A2",491.024057026012,"2","A"
"306",0.43,1,"conj","M2",0,"2","M"
"307",0.43,1,"conj","F2",11603334.5705412,"2","F"
"308",0.43,1,"conj","C",997082284.70929,"C","C"
"309",0.44,1,"conj","A1",11344566.607779,"1","A"
"310",0.44,1,"conj","M1",11847.9695129354,"1","M"
"311",0.44,1,"conj","F1",0,"1","F"
"312",0.44,1,"conj","A2",504.779572805452,"2","A"
"313",0.44,1,"conj","M2",0,"2","M"
"314",0.44,1,"conj","F2",11643530.6351307,"2","F"
"315",0.44,1,"conj","C",997009550.007229,"C","C"
"316",0.45,1,"conj","A1",11377139.1485467,"1","A"
"317",0.45,1,"conj","M1",11893.717739588,"1","M"
"318",0.45,1,"conj","F1",0,"1","F"
"319",0.45,1,"conj","A2",518.652910905757,"2","A"
"320",0.45,1,"conj","M2",0,"2","M"
"321",0.45,1,"conj","F2",11683865.8814213,"2","F"
"322",0.45,1,"conj","C",996936582.598584,"C","C"
"323",0.46,1,"conj","A1",11409805.1879117,"1","A"
"324",0.46,1,"conj","M1",11939.6425791839,"1","M"
"325",0.46,1,"conj","F1",0,"1","F"
"326",0.46,1,"conj","A2",532.644906395108,"2","A"
"327",0.46,1,"conj","M2",0,"2","M"
"328",0.46,1,"conj","F2",11724340.7909145,"2","F"
"329",0.46,1,"conj","C",996863381.732868,"C","C"
"330",0.47,1,"conj","A1",11442564.9941115,"1","A"
"331",0.47,1,"conj","M1",11985.7447133035,"1","M"
"332",0.47,1,"conj","F1",0,"1","F"
"333",0.47,1,"conj","A2",546.756399888524,"2","A"
"334",0.47,1,"conj","M2",0,"2","M"
"335",0.47,1,"conj","F2",11764955.8467746,"2","F"
"336",0.47,1,"conj","C",996789946.657158,"C","C"
"337",0.48,1,"conj","A1",11475418.8361518,"1","A"
"338",0.48,1,"conj","M1",12032.0248261563,"1","M"
"339",0.48,1,"conj","F1",0,"1","F"
"340",0.48,1,"conj","A2",560.988237583742,"2","A"
"341",0.48,1,"conj","M2",0,"2","M"
"342",0.48,1,"conj","F2",11805711.5338347,"2","F"
"343",0.48,1,"conj","C",996716276.616084,"C","C"
"344",0.49,1,"conj","A1",11508366.9838096,"1","A"
"345",0.49,1,"conj","M1",12078.4836045901,"1","M"
"346",0.49,1,"conj","F1",0,"1","F"
"347",0.49,1,"conj","A2",575.341271297317,"2","A"
"348",0.49,1,"conj","M2",0,"2","M"
"349",0.49,1,"conj","F2",11846608.3386022,"2","F"
"350",0.49,1,"conj","C",996642370.851824,"C","C"
"351",0.5,1,"conj","A1",11541409.7076346,"1","A"
"352",0.5,1,"conj","M1",12125.1217381018,"1","M"
"353",0.5,1,"conj","F1",0,"1","F"
"354",0.5,1,"conj","A2",589.816358500963,"2","A"
"355",0.5,1,"conj","M2",0,"2","M"
"356",0.5,1,"conj","F2",11887646.7492648,"2","F"
"357",0.5,1,"conj","C",996568228.604092,"C","C"
"358",0.51,1,"conj","A1",11574547.2789518,"1","A"
"359",0.51,1,"conj","M1",12171.9399188472,"1","M"
"360",0.51,1,"conj","F1",0,"1","F"
"361",0.51,1,"conj","A2",604.414362358114,"2","A"
"362",0.51,1,"conj","M2",0,"2","M"
"363",0.51,1,"conj","F2",11928827.2556962,"2","F"
"364",0.51,1,"conj","C",996493849.110135,"C","C"
"365",0.52,1,"conj","A1",11607779.9698636,"1","A"
"366",0.52,1,"conj","M1",12218.9388416516,"1","M"
"367",0.52,1,"conj","F1",0,"1","F"
"368",0.52,1,"conj","A2",619.136151760728,"2","A"
"369",0.52,1,"conj","M2",0,"2","M"
"370",0.52,1,"conj","F2",11970150.3494618,"2","F"
"371",0.52,1,"conj","C",996419231.604722,"C","C"
"372",0.53,1,"conj","A1",11641108.0532522,"1","A"
"373",0.53,1,"conj","M1",12266.1192040197,"1","M"
"374",0.53,1,"conj","F1",0,"1","F"
"375",0.53,1,"conj","A2",633.982601366325,"2","A"
"376",0.53,1,"conj","M2",0,"2","M"
"377",0.53,1,"conj","F2",12011616.5238245,"2","F"
"378",0.53,1,"conj","C",996344375.320135,"C","C"
"379",0.54,1,"conj","A1",11674531.8027815,"1","A"
"380",0.54,1,"conj","M1",12313.4817061462,"1","M"
"381",0.54,1,"conj","F1",0,"1","F"
"382",0.54,1,"conj","A2",648.954591635256,"2","A"
"383",0.54,1,"conj","M2",0,"2","M"
"384",0.54,1,"conj","F2",12053226.2737508,"2","F"
"385",0.54,1,"conj","C",996269279.486163,"C","C"
"386",0.55,1,"conj","A1",11708051.4928996,"1","A"
"387",0.55,1,"conj","M1",12361.0270509262,"1","M"
"388",0.55,1,"conj","F1",0,"1","F"
"389",0.55,1,"conj","A2",664.053008868219,"2","A"
"390",0.55,1,"conj","M2",0,"2","M"
"391",0.55,1,"conj","F2",12094980.0959164,"2","F"
"392",0.55,1,"conj","C",996193943.330092,"C","C"
"393",0.56,1,"conj","A1",11741667.398841,"1","A"
"394",0.56,1,"conj","M1",12408.7559439653,"1","M"
"395",0.56,1,"conj","F1",0,"1","F"
"396",0.56,1,"conj","A2",679.278745244002,"2","A"
"397",0.56,1,"conj","M2",0,"2","M"
"398",0.56,1,"conj","F2",12136878.4887123,"2","F"
"399",0.56,1,"conj","C",996118366.076701,"C","C"
"400",0.57,1,"conj","A1",11775379.7966286,"1","A"
"401",0.57,1,"conj","M1",12456.6690935902,"1","M"
"402",0.57,1,"conj","F1",0,"1","F"
"403",0.57,1,"conj","A2",694.632698857483,"2","A"
"404",0.57,1,"conj","M2",0,"2","M"
"405",0.57,1,"conj","F2",12178921.9522505,"2","F"
"406",0.57,1,"conj","C",996042546.948247,"C","C"
"407",0.58,1,"conj","A1",11809188.9630764,"1","A"
"408",0.58,1,"conj","M1",12504.7672108593,"1","M"
"409",0.58,1,"conj","F1",0,"1","F"
"410",0.58,1,"conj","A2",710.115773757858,"2","A"
"411",0.58,1,"conj","M2",0,"2","M"
"412",0.58,1,"conj","F2",12221110.98837,"2","F"
"413",0.58,1,"conj","C",995966485.164462,"C","C"
"414",0.59,1,"conj","A1",11843095.1757914,"1","A"
"415",0.59,1,"conj","M1",12553.0510095731,"1","M"
"416",0.59,1,"conj","F1",0,"1","F"
