"","time","A1","M1","F1","A2","M2","F2","C"
"1",0,1e+07,10000,0,0,0,0,1e+09
"2",0,1e+07,10000,0,0,0,0,1e+09
"3",0.01,10028712.8712871,10038.6138613861,0,0,0,0,999971248.514851
"4",0.02,10057508.1772747,10077.3768147665,0,0,0,0,999942414.445911
"5",0.03,10086386.1545852,10116.2894357252,0,0,0,0,999913497.555979
"6",0.04,10115347.0405201,10155.3523020678,0,0,0,0,999884497.607178
"7",0.05,10144391.0730617,10194.5659938303,0,0,0,0,999855414.360944
"8",0.06,10173518.4908753,10233.9310932871,0,0,0,0,999826247.578031
"9",0.07,10202729.5333108,10273.4481849604,0,0,0,0,999796997.018504
"10",0.08,10232024.4404048,10313.1178556281,0,0,0,0,999767662.441739
"11",0.09,10261403.4528829,10352.9406943331,0,0,0,0,999738243.606423
"12",0.1,10290866.812161,10392.9172923917,0,0,0,0,999708740.270546
"13",0.11,10320414.7603481,10433.0482434025,0,0,0,0,999679152.191408
"14",0.12,10350047.5402475,10473.3341432554,0,0,0,0,999649479.125609
"15",0.13,10379765.3953593,10513.7755901398,0,0,0,0,999619720.829051
"16",0.14,10409568.5698822,10554.3731845543,0,0,0,0,999589877.056933
"17",0.15,10439457.3087156,10595.1275293149,0,0,0,0,999559947.563755
"18",0.16,10469431.8574617,10636.0392295646,0,0,0,0,999529932.103309
"19",0.17,10499492.4624269,10677.1088927816,0,0,0,0,999499830.42868
"20",0.18,10529639.3706249,10718.3371287891,0,0,0,0,999469642.292246
"21",0.19,10559872.8297776,10759.7245497638,0,0,0,0,999439367.445673
"22",0.2,10590193.088318,10801.2717702451,0,0,0,0,999409005.639912
"23",0.21,10620600.3953916,10842.9794071446,0,0,0,0,999378556.625201
"24",0.22,10651095.000859,10884.8480797544,0,0,0,0,999348020.151061
"25",0.23,10681677.1552976,10926.8784097574,0,0,0,0,999317395.966293
"26",0.24,10712347.1100035,10969.0710212355,0,0,0,0,999286683.818975
"27",0.25,10743105.1169942,11011.4265406794,0,0,0,0,999255883.456465
"28",0.26,10773951.4290099,11053.9455969979,0,0,0,0,999224994.625393
"29",0.27,10804886.2995161,11096.6288215271,0,0,0,0,999194017.071662
"30",0.28,10835909.9827055,11139.4768480396,0,0,0,0,999162950.540446
"31",0.29,10867022.7335001,11182.4903127542,0,0,0,0,999131794.776187
"32",0.3,10898224.8075533,11225.6698543452,0,0,0,0,999100549.522592
"33",0.31,10929516.4612519,11269.0161139519,0,0,0,0,999069214.522634
"34",0.32,10960897.9517184,11312.5297351882,0,0,0,0,999037789.518546
"35",0.33,10992369.5368128,11356.2113641518,0,0,0,0,999006274.251823
"36",0.34,11023931.4751353,11400.0616494341,0,0,0,0,998974668.463215
"37",0.35,11055584.0260276,11444.0812421299,0,0,0,0,998942971.89273
"38",0.36,11087327.4495756,11488.2707958468,0,0,0,0,998911184.279629
"39",0.37,11119162.0066115,11532.6309667149,0,0,0,0,998879305.362422
"40",0.38,11151087.9587158,11577.1624133968,0,0,0,0,998847334.878871
"41",0.39,11183105.5682193,11621.8657970972,0,0,0,0,998815272.565984
"42",0.4,11215215.0982057,11666.7417815724,0,0,0,0,998783118.160013
"43",0.41,11247416.8125132,11711.7910331407,0,0,0,0,998750871.396454
"44",0.42,11279710.9757371,11757.0142206922,0,0,0,0,998718532.010042
"45",0.43,11312097.8532318,11802.4120156982,0,0,0,0,998686099.734753
"46",0.44,11344577.7111129,11847.9850922216,0,0,0,0,998653574.303795
"47",0.45,11377150.8162597,11893.734126927,0,0,0,0,998620955.449614
"48",0.46,11409817.436317,11939.6597990903,0,0,0,0,998588242.903884
