"","time","A1","M1","F1","A2","M2","F2","C","Cycle","Phase"
"1",0,10000,1e+07,0,0,0,0,1e+09,NA,NA
"17511",0,10000,1e+07,0,0,0,0,1e+09,1,NA
"2",0,10000,1e+07,0,0,0,0,1e+09,1,"growth"
"3",0.01,10028.7128712871,10038613.8613861,0,0,0,0,999961357.425743,1,"growth"
"4",0.02,10057.5081744545,10077376.8109701,0,0,0,0,999922565.680856,1,"growth"
"5",0.03,10086.386146081,10116289.4242659,0,0,0,0,999883624.189588,1,"growth"
"6",0.04,10115.3470234238,10155352.2790081,0,0,0,0,999844532.373968,1,"growth"
"7",0.05,10144.3910444207,10194565.9551607,0,0,0,0,999805289.653795,1,"growth"
"8",0.06,10173.5184476917,10233931.0349253,0,0,0,0,999765895.446627,1,"growth"
"9",0.07,10202.7294725411,10273448.1027504,0,0,0,0,999726349.167777,1,"growth"
"10",0.08,10232.0243589597,10313117.7453392,0,0,0,0,999686650.230302,1,"growth"
"11",0.09,10261.4033476262,10352940.551659,0,0,0,0,999646798.044993,1,"growth"
"12",0.1,10290.8666799096,10392917.1129497,0,0,0,0,999606792.02037,1,"growth"
"13",0.11,10320.4145978712,10433048.0227324,0,0,0,0,999566631.56267,1,"growth"
"14",0.12,10350.0473442665,10473333.8768183,0,0,0,0,999526316.075837,1,"growth"
"15",0.13,10379.7651625468,10513775.2733177,0,0,0,0,999485844.96152,1,"growth"
"16",0.14,10409.5682968619,10554372.8126487,0,0,0,0,999445217.619055,1,"growth"
"17",0.15,10439.4569920615,10595127.0975459,0,0,0,0,999404433.445462,1,"growth"
"18",0.16,10469.4314936977,10636038.7330699,0,0,0,0,999363491.835436,1,"growth"
"19",0.17,10499.4920480264,10677108.3266156,0,0,0,0,999322392.181336,1,"growth"
"20",0.18,10529.6389020098,10718336.4879217,0,0,0,0,999281133.873176,1,"growth"
"21",0.19,10559.8723033186,10759723.8290794,0,0,0,0,999239716.298617,1,"growth"
"22",0.2,10590.1925003331,10801270.9645417,0,0,0,0,999198138.842958,1,"growth"
