...1,Time,Cycle,Phase,Cell_types,Density,Host,Genotype,Genotype_plot
117650,168,1,conj,A1,0,rifR,Ancestor,Ancestor
117664,168.02,1,conj,A1,0,rifR,Ancestor,Ancestor
117678,168.04,1,conj,A1,0,rifR,Ancestor,Ancestor
117692,168.06,1,conj,A1,0,rifR,Ancestor,Ancestor
117706,168.08,1,conj,A1,0,rifR,Ancestor,Ancestor
117720,168.1,1,conj,A1,0,rifR,Ancestor,Ancestor
117734,168.12,1,conj,A1,0,rifR,Ancestor,Ancestor
117748,168.14,1,conj,A1,0,rifR,Ancestor,Ancestor
117762,168.16,1,conj,A1,0,rifR,Ancestor,Ancestor
117776,168.18,1,conj,A1,0,rifR,Ancestor,Ancestor
117790,168.2,1,conj,A1,0,rifR,Ancestor,Ancestor
117804,168.22,1,conj,A1,0,rifR,Ancestor,Ancestor
117818,168.24,1,conj,A1,0,rifR,Ancestor,Ancestor
117832,168.26,1,conj,A1,0,rifR,Ancestor,Ancestor
117846,168.28,1,conj,A1,0,rifR,Ancestor,Ancestor
117860,168.3,1,conj,A1,0,rifR,Ancestor,Ancestor
117874,168.32,1,conj,A1,0,rifR,Ancestor,Ancestor
117888,168.34,1,conj,A1,0,rifR,Ancestor,Ancestor
117902,168.36,1,conj,A1,0,rifR,Ancestor,Ancestor
117916,168.38,1,conj,A1,0,rifR,Ancestor,Ancestor
117930,168.4,1,conj,A1,0,rifR,Ancestor,Ancestor
117944,168.42,1,conj,A1,0,rifR,Ancestor,Ancestor
117958,168.44,1,conj,A1,0,rifR,Ancestor,Ancestor
117972,168.46,1,conj,A1,0,rifR,Ancestor,Ancestor
117986,168.48,1,conj,A1,0,rifR,Ancestor,Ancestor
118000,168.5,1,conj,A1,0,rifR,Ancestor,Ancestor
118014,168.52,1,conj,A1,0,rifR,Ancestor,Ancestor
118028,168.54,1,conj,A1,0,rifR,Ancestor,Ancestor
118042,168.56,1,conj,A1,0,rifR,Ancestor,Ancestor
118056,168.58,1,conj,A1,0,rifR,Ancestor,Ancestor
118070,168.6,1,conj,A1,0,rifR,Ancestor,Ancestor
118084,168.62,1,conj,A1,0,rifR,Ancestor,Ancestor
118098,168.64,1,conj,A1,0,rifR,Ancestor,Ancestor
118112,168.66,1,conj,A1,0,rifR,Ancestor,Ancestor
118126,168.68,1,conj,A1,0,rifR,Ancestor,Ancestor
118140,168.7,1,conj,A1,0,rifR,Ancestor,Ancestor
118154,168.72,1,conj,A1,0,rifR,Ancestor,Ancestor
118168,168.74,1,conj,A1,0,rifR,Ancestor,Ancestor
118182,168.76,1,conj,A1,0,rifR,Ancestor,Ancestor
118196,168.78,1,conj,A1,0,rifR,Ancestor,Ancestor
118210,168.8,1,conj,A1,0,rifR,Ancestor,Ancestor
118224,168.82,1,conj,A1,0,rifR,Ancestor,Ancestor
118238,168.84,1,conj,A1,0,rifR,Ancestor,Ancestor
