"","Time","A1","M1","F1","A2","M2","F2","C","Phase","Type","Cycle"
"1",0,10000,1e+07,0,0,0,0,1e+09,"growth","start",1
"2401",24,309760.331538543,1009700239.66846,0,0,0,0,1.14560538845083e-252,"growth","end",1
"11",24,309.760331538543,1009700.23966846,0,0,0,0,1e+09,"growth","start",1
"24011",48,52490.3657442663,1000957519.63426,0,0,0,0,2.92460220081884e-122,"growth","end",1
"12",48,52.4903657442663,1000957.51963426,0,0,0,0,1e+09,"growth","start",1
"24012",72,8952.70617628325,1000992057.30382,0,0,0,0,8.9677070696142e-122,"growth","end",1
"13",72,8.95270617628325,1000992.05730382,0,0,0,0,1e+09,"growth","start",1
"24013",96,1526.93415523295,1000999474.07586,0,0,0,0,8.92999819335053e-122,"growth","end",1
"14",96,1.52693415523295,1000999.47407586,0,0,0,0,1e+09,"growth","start",1
"24014",120,260.425977481528,1001000740.57503,0,0,0,0,8.92183199457195e-122,"growth","end",1
"15",120,0.260425977481528,1001000.74057503,0,0,0,0,1e+09,"growth","start",1
"24015",144,44.416870605621,1001000956.58413,0,0,0,0,8.92043819947777e-122,"growth","end",1
"16",144,0,1001000.95658413,0,0,0,0,1e+09,"growth","start",1
"24016",168,0,1001001000.95659,0,0,0,0,8.92020256032933e-122,"growth","end",1
"17",168,0,10010010.0095659,0,0,0,1e+07,1e+09,"conj","start",1
"701",175,0,148277103.800791,0,0,605.03145799807,112403305.871101,759328995.306214,"conj","end",1
"18",175,0,0,0,0,60.503145799807,0,1e+09,"tselect","start",1
"23117",206.179999999972,0,0,0,0,10011175.8956732,0,989988884.607477,"tselect","end",1
