"","Time","A1","M1","F1","A2","M2","F2","C","Cycle","Phase","Type"
"1",0,1,1e+06,0,0,0,0,1e+09,0,"growout","start"
"1197",5.97999999999992,5.55400812121502,10020125.7620332,0,0,0,0,990979869.683958,0,"growout","end"
"12",5.97999999999992,5.55400812121502,10020125.7620332,0,0,0,1e+07,1e+09,1,"conj","start"
"701",12.9799999999999,41.258276495396,148426724.873143,0,0.114350437751961,605.641079564659,112403153.983005,759189605.446186,1,"conj","end"
"11",12.9799999999999,0,0,0,0.0114350437751961,60.5641079564659,0,1e+09,1,"tselect","start"
"23117",44.1599999999999,0,0,0,87.2430945751447,10021262.0035063,0,989978711.32894,1,"tselect","end"
"13",44.1599999999999,0,0,1e+07,87.2430945751447,10021262.0035063,0,1e+09,2,"conj","start"
"7011",51.1599999999999,1.79623125033129,605.709541384606,112403134.369964,648.090382991996,148443529.936324,0,759173429.344158,2,"conj","end"
"111",51.1599999999999,0.179623125033129,60.5709541384606,0,0,0,0,1e+09,2,"tselect","start"
"231171",82.3400000000068,1370.42561984492,10022394.5245829,0,0,0,0,989976295.800376,2,"tselect","end"
"14",82.3400000000068,1370.42561984492,10022394.5245829,0,0,0,1e+07,1e+09,3,"conj","start"
"7012",89.3400000000068,10180.2840912163,148460266.048151,0,28.2154117321693,605.777585567943,112403077.009949,759149607.615014,3,"conj","end"
"112",89.3400000000068,0,0,0,2.82154117321693,60.5777585567943,0,1e+09,3,"tselect","start"
"23116",120.510000000023,0,0,0,21465.1758000129,9984965.65859295,0,989993632.564909,3,"tselect","end"
"15",120.510000000023,0,0,1e+07,21465.1758000129,9984965.65859295,0,1e+09,4,"conj","start"
"7013",127.510000000023,441.944150928011,603.518710712514,112403006.095709,159455.742013857,147906425.503524,0,759536498.030283,4,"conj","end"
"113",127.510000000023,44.1944150928011,60.3518710712514,0,0,0,0,1e+09,4,"tselect","start"
"23109",158.609999999995,329532.845696795,9682943.30147844,0,0,0,0,989987628.399111,4,"tselect","end"
"16",158.609999999995,329532.845696795,9682943.30147844,0,0,0,1e+07,1e+09,5,"conj","start"
"7014",165.609999999995,2447998.21367631,143435556.345094,0,6784.72625366954,585.267649687366,112397839.401723,761723712.192778,5,"conj","end"
"114",165.609999999995,0,0,0,678.472625366954,58.5267649687366,0,1e+09,5,"tselect","start"
"23004",195.659999999968,0,0,0,3743813.38806507,6265020.267208,0,989991903.344116,5,"tselect","end"
"17",195.659999999968,0,0,1e+07,3743813.38806507,6265020.267208,0,1e+09,6,"conj","start"
"7015",202.659999999968,77083.2214542438,378.710779897534,112341187.617329,27816501.2935827,92826914.9550393,0,786946767.857088,6,"conj","end"
"115",202.659999999968,7708.32214542438,37.8710779897534,0,0,0,0,1e+09,6,"tselect","start"
"22480",227.469999999945,9467868.80141013,538050.259894867,0,0,0,0,990001827.131918,6,"tselect","end"
"18",227.469999999945,9467868.80141013,538050.259894867,0,0,0,1e+07,1e+09,7,"conj","start"
"7016",234.469999999945,70365881.1089218,7975127.516574,0,194941.699911321,32.5279390875369,112244428.687338,829225507.520619,7,"conj","end"
"116",234.469999999945,0,0,0,19494.1699911321,3.25279390875369,0,1e+09,7,"tselect","start"
"22175",256.229999999925,0,0,0,9986463.34278318,14265.2012600139,0,990018768.878741,7,"tselect","end"
"19",256.229999999925,0,0,1e+07,9986463.34278318,14265.2012600139,0,1e+09,8,"conj","start"
"7017",263.229999999925,205619.639348241,0.862413817944942,112235628.744446,74221977.0468485,211449.833496381,0,833126052.417491,8,"conj","end"
"117",263.229999999925,20561.9639348241,0.0862413817944942,0,0,0,0,1e+09,8,"tselect","start"
"22157",284.809999999906,10003638.8203773,352.865804230282,0,0,0,0,990016570.363996,8,"tselect","end"
"110",284.809999999906,10003638.8203773,352.865804230282,0,0,0,1e+07,1e+09,9,"conj","start"
"7018",291.809999999906,74349665.6480674,5230.45295645182,0,205973.119103239,0.0213327630828524,112235290.166776,833207832.277945,9,"conj","end"
"118",291.809999999906,0,0,0,20597.3119103239,0,0,1e+09,9,"tselect","start"
"221571",313.389999999886,0,0,0,10020834.3619597,0,0,989999762.949951,9,"tselect","end"
"119",313.389999999886,0,0,1e+07,10020834.3619597,0,0,1e+09,10,"conj","start"
"7019",320.389999999886,206326.357196864,0,112234766.047355,74477401.8869171,0,0,833102340.070491,10,"conj","end"
"1110",320.389999999886,20632.6357196864,0,0,0,0,0,1e+09,10,"tselect","start"
"22156",341.959999999867,10009281.4652213,0,0,0,0,0,990011351.170498,10,"tselect","end"
