Cycle,Phase,Time,Ratio_type,Ratio
0,growout,0,Ancestor:Mutant,1e-6
0,growout,0,Mutant:Ancestor,1000000
0,growout,5.97999999999992,Ancestor:Mutant,5.542852707756881e-7
0,growout,5.97999999999992,Mutant:Ancestor,1804125.1549054545
1,conj,5.97999999999992,Ancestor:Mutant,5.542852707756881e-7
1,conj,5.97999999999992,Mutant:Ancestor,1804125.1549054545
1,conj,12.9799999999999,Ancestor:Mutant,1.888089193589003e-4
1,conj,12.9799999999999,Mutant:Ancestor,5296.359956910377
1,tselect,12.9799999999999,Ancestor:Mutant,1.888089193589003e-4
1,tselect,12.9799999999999,Mutant:Ancestor,5296.359956910377
1,tselect,44.1599999999999,Ancestor:Mutant,8.705799184236433e-6
1,tselect,44.1599999999999,Mutant:Ancestor,114865.96219801363
2,conj,44.1599999999999,Ancestor:Mutant,8.705799184236433e-6
2,conj,44.1599999999999,Mutant:Ancestor,114865.96219801363
2,conj,51.1599999999999,Ancestor:Mutant,0.002965499348458738
2,conj,51.1599999999999,Mutant:Ancestor,337.2113369438881
2,tselect,51.1599999999999,Ancestor:Mutant,0.002965499348458738
2,tselect,51.1599999999999,Mutant:Ancestor,337.21133694388806
2,tselect,82.3400000000068,Ancestor:Mutant,1.3673634743509088e-4
2,tselect,82.3400000000068,Mutant:Ancestor,7313.344394216049
3,conj,82.3400000000068,Ancestor:Mutant,1.3673634743509088e-4
3,conj,82.3400000000068,Mutant:Ancestor,7313.344394216049
3,conj,89.3400000000068,Ancestor:Mutant,0.04657718014725837
3,conj,89.3400000000068,Mutant:Ancestor,21.46974112297913
3,tselect,89.3400000000068,Ancestor:Mutant,0.04657718014725836
3,tselect,89.3400000000068,Mutant:Ancestor,21.46974112297913
3,tselect,120.510000000023,Ancestor:Mutant,0.0021497495869242382
3,tselect,120.510000000023,Mutant:Ancestor,465.1704580303018
4,conj,120.510000000023,Ancestor:Mutant,0.0021497495869242382
4,conj,120.510000000023,Mutant:Ancestor,465.1704580303018
4,conj,127.510000000023,Ancestor:Mutant,0.7322791209012425
4,conj,127.510000000023,Mutant:Ancestor,1.3655994981384472
4,tselect,127.510000000023,Ancestor:Mutant,0.7322791209012425
4,tselect,127.510000000023,Mutant:Ancestor,1.3655994981384472
4,tselect,158.609999999995,Ancestor:Mutant,0.03403230148486775
4,tselect,158.609999999995,Mutant:Ancestor,29.383848766285865
5,conj,158.609999999995,Ancestor:Mutant,0.03403230148486775
5,conj,158.609999999995,Mutant:Ancestor,29.383848766285865
5,conj,165.609999999995,Ancestor:Mutant,11.592518836969301
5,conj,165.609999999995,Mutant:Ancestor,0.08626252965929497
5,tselect,165.609999999995,Ancestor:Mutant,11.592518836969301
5,tselect,165.609999999995,Mutant:Ancestor,0.08626252965929497
5,tselect,195.659999999968,Ancestor:Mutant,0.5975740266413371
5,tselect,195.659999999968,Mutant:Ancestor,1.6734328391421174
6,conj,195.659999999968,Ancestor:Mutant,0.5975740266413371
6,conj,195.659999999968,Mutant:Ancestor,1.6734328391421174
6,conj,202.659999999968,Ancestor:Mutant,203.5411336194334
6,conj,202.659999999968,Mutant:Ancestor,0.004913011842951254
6,tselect,202.659999999968,Ancestor:Mutant,203.5411336194334
6,tselect,202.659999999968,Mutant:Ancestor,0.004913011842951254
6,tselect,227.469999999945,Ancestor:Mutant,17.596625272999805
6,tselect,227.469999999945,Mutant:Ancestor,0.05682907855828448
7,conj,227.469999999945,Ancestor:Mutant,17.596625272999805
7,conj,227.469999999945,Mutant:Ancestor,0.05682907855828448
7,conj,234.469999999945,Ancestor:Mutant,5993.054136836263
7,conj,234.469999999945,Mutant:Ancestor,1.6685983092552218e-4
7,tselect,234.469999999945,Ancestor:Mutant,5993.054136836263
7,tselect,234.469999999945,Mutant:Ancestor,1.6685983092552215e-4
7,tselect,256.229999999925,Ancestor:Mutant,700.0576550416961
7,tselect,256.229999999925,Mutant:Ancestor,0.001428453774911495
8,conj,256.229999999925,Ancestor:Mutant,700.0576550416961
8,conj,256.229999999925,Mutant:Ancestor,0.001428453774911495
8,conj,263.229999999925,Ancestor:Mutant,238423.40541135453
8,conj,263.229999999925,Mutant:Ancestor,4.194219096378936e-6
8,tselect,263.229999999925,Ancestor:Mutant,238423.40541135453
8,tselect,263.229999999925,Mutant:Ancestor,4.194219096378936e-6
8,tselect,284.809999999906,Ancestor:Mutant,28349.697535012136
8,tselect,284.809999999906,Mutant:Ancestor,3.5273744940840756e-5
9,conj,284.809999999906,Ancestor:Mutant,28349.697535012136
9,conj,284.809999999906,Mutant:Ancestor,3.5273744940840756e-5
9,conj,291.809999999906,Ancestor:Mutant,9655248.047488201
9,conj,291.809999999906,Mutant:Ancestor,1.0357061725204963e-7
9,tselect,291.809999999906,Ancestor:Mutant,Inf
9,tselect,291.809999999906,Mutant:Ancestor,0
9,tselect,313.389999999886,Ancestor:Mutant,Inf
9,tselect,313.389999999886,Mutant:Ancestor,0
10,conj,313.389999999886,Ancestor:Mutant,Inf
10,conj,313.389999999886,Mutant:Ancestor,0
10,conj,320.389999999886,Ancestor:Mutant,Inf
10,conj,320.389999999886,Mutant:Ancestor,0
10,tselect,320.389999999886,Ancestor:Mutant,Inf
10,tselect,320.389999999886,Mutant:Ancestor,0
10,tselect,341.959999999867,Ancestor:Mutant,Inf
10,tselect,341.959999999867,Mutant:Ancestor,0
