SetID,SweepID,gamma_fold,psi_change,gamma_M,psi_M
DimF,1,-2,-0.2,1.9999999999999998e-13,0.8
DimF,2,-1.6,-0.2,5.023772863019159e-13,0.8
DimF,3,-1.2,-0.2,1.2619146889603865e-12,0.8
DimF,4,-0.7999999999999998,-0.2,3.1697863849222284e-12,0.8
DimF,5,-0.3999999999999999,-0.2,7.962143411069945e-12,0.8
DimF,6,0,-0.2,2e-11,0.8
DimF,7,0.40000000000000036,-0.2,5.0237728630191646e-11,0.8
DimF,8,0.8000000000000003,-0.2,1.2619146889603872e-10,0.8
DimF,9,1.2000000000000002,-0.2,3.169786384922228e-10,0.8
DimF,10,1.6,-0.2,7.962143411069946e-10,0.8
DimF,11,2,-0.2,1.9999999999999997e-9,0.8
DimF,12,-2,-0.16,1.9999999999999998e-13,0.84
DimF,13,-1.6,-0.16,5.023772863019159e-13,0.84
DimF,14,-1.2,-0.16,1.2619146889603865e-12,0.84
DimF,15,-0.7999999999999998,-0.16,3.1697863849222284e-12,0.84
DimF,16,-0.3999999999999999,-0.16,7.962143411069945e-12,0.84
DimF,17,0,-0.16,2e-11,0.84
DimF,18,0.40000000000000036,-0.16,5.0237728630191646e-11,0.84
DimF,19,0.8000000000000003,-0.16,1.2619146889603872e-10,0.84
DimF,20,1.2000000000000002,-0.16,3.169786384922228e-10,0.84
DimF,21,1.6,-0.16,7.962143411069946e-10,0.84
DimF,22,2,-0.16,1.9999999999999997e-9,0.84
DimF,23,-2,-0.12000000000000001,1.9999999999999998e-13,0.88
DimF,24,-1.6,-0.12000000000000001,5.023772863019159e-13,0.88
DimF,25,-1.2,-0.12000000000000001,1.2619146889603865e-12,0.88
DimF,26,-0.7999999999999998,-0.12000000000000001,3.1697863849222284e-12,0.88
DimF,27,-0.3999999999999999,-0.12000000000000001,7.962143411069945e-12,0.88
DimF,28,0,-0.12000000000000001,2e-11,0.88
DimF,29,0.40000000000000036,-0.12000000000000001,5.0237728630191646e-11,0.88
DimF,30,0.8000000000000003,-0.12000000000000001,1.2619146889603872e-10,0.88
DimF,31,1.2000000000000002,-0.12000000000000001,3.169786384922228e-10,0.88
DimF,32,1.6,-0.12000000000000001,7.962143411069946e-10,0.88
DimF,33,2,-0.12000000000000001,1.9999999999999997e-9,0.88
DimF,34,-2,-0.08000000000000002,1.9999999999999998e-13,0.9199999999999999
DimF,35,-1.6,-0.08000000000000002,5.023772863019159e-13,0.9199999999999999
DimF,36,-1.2,-0.08000000000000002,1.2619146889603865e-12,0.9199999999999999
DimF,37,-0.7999999999999998,-0.08000000000000002,3.1697863849222284e-12,0.9199999999999999
DimF,38,-0.3999999999999999,-0.08000000000000002,7.962143411069945e-12,0.9199999999999999
DimF,39,0,-0.08000000000000002,2e-11,0.9199999999999999
DimF,40,0.40000000000000036,-0.08000000000000002,5.0237728630191646e-11,0.9199999999999999
