SetID,SweepID,gamma_M,psi_M,end_time,A1,M1,A2,M2
pDim90_E.R1,1,2.189999999999996e-15,0.354,24,94094641.11905368,84446.34623689284,2464844.9773563733,0.21836298274059446
pDim90_E.R1,2,2.6378627531667316e-15,0.354,24,94094641.12286268,84446.34623849789,2464844.9774073437,0.2630190553157531
pDim90_E.R1,3,3.177315024906097e-15,0.354,24,94094641.12745044,84446.34624043095,2464844.9774687802,0.31680748417871707
pDim90_E.R1,4,3.827087196016819e-15,0.354,24,94094641.13297665,84446.34624275965,2464844.977542744,0.3815958826557187
pDim90_E.R1,5,4.609740076481321e-15,0.354,24,94094641.13936096,84446.34624164771,2464844.9785787817,0.4596338040388785
pDim90_E.R1,6,5.552448241794546e-15,0.354,24,94094641.14747538,84446.34624643305,2464844.97834708,0.5536308522831583
pDim90_E.R1,7,6.6879435643451615e-15,0.354,24,94094641.1571326,84446.34625050223,2464844.978476369,0.6668507686018773
pDim90_E.R1,8,8.055651700304697e-15,0.354,24,94094641.16876468,84446.34625540313,2464844.978632107,0.8032247601703572
pDim90_E.R1,9,9.703060992108696e-15,0.354,24,94094641.18277568,84446.34626130694,2464844.9788196636,0.9674880082067431
pDim90_E.R1,10,1.168737131634178e-14,0.354,24,94094641.1998268,84446.3462709271,2464844.97843773,1.1653440961224129
pDim90_E.R1,11,1.4077480126852635e-14,0.354,24,94094641.22015458,84446.34627949203,2464844.97870987,1.403663070031828
pDim90_E.R1,12,1.6956374650716673e-14,0.354,24,94094641.2444638,84446.34628729962,2464844.97964552,1.6907200108814657
pDim90_E.R1,13,2.0424013296742443e-14,0.354,24,94094641.27413021,84446.34630223528,2464844.9794324427,2.0364824075942773
pDim90_E.R1,14,2.4600796322218743e-14,0.354,24,94094641.30965315,84446.34631720302,2464844.9799080393,2.452956318234002
pDim90_E.R1,15,2.9631746263297735e-14,0.354,24,94094641.35244085,84446.34633523172,2464844.9804808586,2.9546033449451055
pDim90_E.R1,16,3.5691543278192105e-14,0.354,24,94094641.40397882,84446.34635694718,2464844.9811708224,3.5588429208968972
pDim90_E.R1,17,4.2990590235881814e-14,0.354,24,94094641.46605651,84446.34638310425,2464844.982001878,4.28665736927682
pDim90_E.R1,18,5.178231813693433e-14,0.354,24,94094641.54082945,84446.34641461038,2464844.983002885,5.163320776804916
pDim90_E.R1,19,6.237198551874402e-14,0.354,24,94094641.63089457,84446.34645255953,2464844.984208627,6.219277037130938
pDim90_E.R1,20,7.512727737029677e-14,0.354,24,94094641.73937848,84446.34649826986,2464844.9856609427,7.491197620684782
pDim90_E.R1,21,9.049107156252568e-14,0.354,24,94094641.87004946,84446.34655332698,2464844.987410612,9.023255899386845
pDim90_E.R1,22,1.0899681605887313e-13,0.354,24,94094642.02717157,84446.34661573626,2464844.99046293,10.8686624207376
pDim90_E.R1,23,1.312870508198481e-13,0.354,24,94094642.21702689,84446.34669952776,2464844.9920556974,13.091514641922528
pDim90_E.R1,24,1.5813571750264125e-13,0.354,24,94094642.44538352,84446.34679574687,2464844.995112751,15.769025686980429
pDim90_E.R1,25,1.9047503157329425e-13,0.354,24,94094642.72044338,84446.3469116445,2464844.998794979,18.99420991448312
pDim90_E.R1,26,2.294278498609365e-13,0.354,24,94094643.05158468,84446.3470487381,2464845.003837975,22.879119243247736
pDim90_E.R1,27,2.7634665739145756e-13,0.354,24,94094643.45066339,84446.3472168917,2464845.0091804126,27.558743513163034
pDim90_E.R1,28,3.3286052716669183e-13,0.354,24,94094643.93154217,84446.34742194696,2464845.015007848,33.195711712512505
pDim90_E.R1,29,4.0093168338468533e-13,0.354,24,94094644.51056714,84446.34766592288,2464845.022758696,39.985959279087105
pDim90_E.R1,30,4.829236320387652e-13,0.354,24,94094645.20785403,84446.34795729296,2464845.0327031054,48.16556113556808
pDim90_E.R1,31,5.816832244653228e-13,0.354,24,94094646.04815847,84446.34831379453,2464845.043341394,58.018971923062736
pDim90_E.R1,32,7.00639503177626e-13,0.354,24,94094647.06014696,84446.34874020082,2464845.056887757,69.88896568869669
pDim90_E.R1,33,8.439227620226058e-13,0.354,24,94094648.27916321,84446.34925383907,2464845.073205013,84.18862887775926
pDim90_E.R1,34,1.0165079545611996e-12,0.354,24,94094649.74740307,84446.34987005318,2464845.093467914,101.41583603522155
pDim90_E.R1,35,1.2243874299701746e-12,0.354,24,94094651.51626617,84446.35061537207,2464845.1171436245,122.17072936997597
pDim90_E.R1,36,1.474778994047429e-12,0.354,24,94094653.64726318,84446.35151571299,2464845.145054942,147.17683633269837
pDim90_E.R1,37,1.7763765194294157e-12,0.354,24,94094656.21416692,84446.35259729037,2464845.1794088865,177.30659773901831
pDim90_E.R1,38,2.1396518064852987e-12,0.354,24,94094659.30630243,84446.35389774066,2464845.2213998726,213.61224999763633
pDim90_E.R1,39,2.5772181758326437e-12,0.354,24,94094663.03185105,84446.35546995341,2464845.2706433274,257.3632169588919
pDim90_E.R1,40,3.1042684168097034e-12,0.354,24,94094667.5198815,84446.35735857059,2464845.331304913,310.09143088702467
pDim90_E.R1,41,3.739102297960802e-12,0.354,24,94094672.92753841,84446.35963954752,2464845.4030429893,373.64633145133627
pDim90_E.R1,42,4.5037619552835395e-12,0.354,24,94094679.44293377,84446.36238484013,2464845.490199993,450.2617096770324
pDim90_E.R1,43,5.424797219621845e-12,0.354,24,94094687.29357338,84446.36569030763,2464845.595812056,542.6370897711421
pDim90_E.R1,44,6.534187456220491e-12,0.354,24,94094696.75425783,84446.36967661101,2464845.7223237646,654.0370192791676
pDim90_E.R1,45,7.870451923732117e-12,0.354,24,94094708.15617746,84446.37448329784,2464845.8741487027,788.4125089412007
pDim90_E.R1,46,9.479987205571888e-12,0.354,24,94094721.89879431,84446.38027381222,2464846.057825808,950.5499983352291
pDim90_E.R1,47,1.1418678150719312e-11,0.354,24,94094738.46515039,84446.38725412125,2464846.279168854,1146.254715958551
pDim90_E.R1,48,1.3753838257617031e-11,0.354,24,94094758.43874103,84446.39567001307,2464846.5459444784,1382.5772875300797
pDim90_E.R1,49,1.656654687344635e-11,0.354,24,94094782.52497286,84446.40581648824,2464846.8680650103,1668.0951106861232
