SetID,SweepID,gamma_M,psi_M
pDim90_E.R1,1,2.189999999999996e-15,0.354
pDim90_E.R1,2,2.4781945069601495e-15,0.354
pDim90_E.R1,3,2.8043141617933534e-15,0.354
pDim90_E.R1,4,3.1733497495647746e-15,0.354
pDim90_E.R1,5,3.5909488210204436e-15,0.354
pDim90_E.R1,6,4.063502120104066e-15,0.354
pDim90_E.R1,7,4.59824138496018e-15,0.354
pDim90_E.R1,8,5.203350019125647e-15,0.354
pDim90_E.R1,9,5.8880883265699256e-15,0.354
pDim90_E.R1,10,6.662935227124106e-15,0.354
pDim90_E.R1,11,7.539748621045752e-15,0.354
pDim90_E.R1,12,8.531946856865743e-15,0.354
pDim90_E.R1,13,9.654714079616688e-15,0.354
pDim90_E.R1,14,1.0925232601998599e-14,0.354
pDim90_E.R1,15,1.2362945854582154e-14,0.354
pDim90_E.R1,16,1.3989855939119257e-14,0.354
pDim90_E.R1,17,1.5830860338579555e-14,0.354
pDim90_E.R1,18,1.7914132936767605e-14,0.354
pDim90_E.R1,19,2.027155517847098e-14,0.354
pDim90_E.R1,20,2.2939203968413804e-14,0.354
pDim90_E.R1,21,2.5957903775598925e-14,0.354
pDim90_E.R1,22,2.937385139218686e-14,0.354
pDim90_E.R1,23,3.323932290793669e-14,0.354
pDim90_E.R1,24,3.761347371941713e-14,0.354
pDim90_E.R1,25,4.256324381696313e-14,0.354
pDim90_E.R1,26,4.816438220347203e-14,0.354
pDim90_E.R1,27,5.450260612227091e-14,0.354
pDim90_E.R1,28,6.167491283434914e-14,0.354
pDim90_E.R1,29,6.979106401978525e-14,0.354
pDim90_E.R1,30,7.897526551997088e-14,0.354
pDim90_E.R1,31,8.936806812662587e-14,0.354
pDim90_E.R1,32,1.0112851850641326e-13,0.354
pDim90_E.R1,33,1.1443659317790436e-13,0.354
pDim90_E.R1,34,1.2949595278936823e-13,0.354
pDim90_E.R1,35,1.4653705884757188e-13,0.354
pDim90_E.R1,36,1.6582070059458877e-13,0.354
pDim90_E.R1,37,1.8764198600629872e-13,0.354
pDim90_E.R1,38,2.1233485798899617e-13,0.354
pDim90_E.R1,39,2.402772048878971e-13,0.354
pDim90_E.R1,40,2.7189664351640343e-13,0.354
pDim90_E.R1,41,3.0767706320696536e-13,0.354
pDim90_E.R1,42,3.481660310306532e-13,0.354
pDim90_E.R1,43,3.939831715115448e-13,0.354
pDim90_E.R1,44,4.4582964907518106e-13,0.354
pDim90_E.R1,45,5.044988983461583e-13,0.354
pDim90_E.R1,46,5.708887665063463e-13,0.354
pDim90_E.R1,47,6.460152535348308e-13,0.354
pDim90_E.R1,48,7.310280606038732e-13,0.354
pDim90_E.R1,49,8.272281845763712e-13,0.354
pDim90_E.R1,50,9.360878278629148e-13,0.354
pDim90_E.R1,51,1.0592729283297387e-12,0.354
pDim90_E.R1,52,1.198668654044911e-12,0.354
pDim90_E.R1,53,1.3564082530225602e-12,0.354
pDim90_E.R1,54,1.53490569946846e-12,0.354
pDim90_E.R1,55,1.7368926361299336e-12,0.354
pDim90_E.R1,56,1.9654601780989692e-12,0.354
pDim90_E.R1,57,2.224106217814507e-12,0.354
pDim90_E.R1,58,2.5167889551980983e-12,0.354
pDim90_E.R1,59,2.847987472123247e-12,0.354
pDim90_E.R1,60,3.222770278222437e-12,0.354
pDim90_E.R1,61,3.646872877025232e-12,0.354
pDim90_E.R1,62,4.126785539463882e-12,0.354
pDim90_E.R1,63,4.669852627991774e-12,0.354
pDim90_E.R1,64,5.284384991325391e-12,0.354
pDim90_E.R1,65,5.9797871498471524e-12,0.354
pDim90_E.R1,66,6.766701218055738e-12,0.354
pDim90_E.R1,67,7.657169766587356e-12,0.354
pDim90_E.R1,68,8.664820116172671e-12,0.354
pDim90_E.R1,69,9.805072883879848e-12,0.354
pDim90_E.R1,70,1.1095377973139221e-11,0.354
pDim90_E.R1,71,1.2555481619032102e-11,0.354
pDim90_E.R1,72,1.4207728575581977e-11,0.354
pDim90_E.R1,73,1.6077404069583527e-11,0.354
pDim90_E.R1,74,1.8193120754073387e-11,0.354
pDim90_E.R1,75,2.0587256583199658e-11,0.354
pDim90_E.R1,76,2.329645030952724e-11,0.354
pDim90_E.R1,77,2.6362162186639535e-11,0.354
pDim90_E.R1,78,2.9831308457772835e-11,0.354
pDim90_E.R1,79,3.37569793404047e-11,0.354
pDim90_E.R1,80,3.819925149450152e-11,0.354
pDim90_E.R1,81,4.322610740806535e-11,0.354
pDim90_E.R1,82,4.891447576983412e-11,0.354
pDim90_E.R1,83,5.5351408750519614e-11,0.354
pDim90_E.R1,84,6.263541420915247e-11,0.354
pDim90_E.R1,85,7.087796321200713e-11,0.354
pDim90_E.R1,86,8.020519593448364e-11,0.354
pDim90_E.R1,87,9.075985205228284e-11,0.354
pDim90_E.R1,88,1.0270345516369112e-10,0.354
pDim90_E.R1,89,1.1621878467236886e-10,0.354
pDim90_E.R1,90,1.3151267295920064e-10,0.354
pDim90_E.R1,91,1.4881917064983418e-10,0.354
pDim90_E.R1,92,1.6840312841770926e-10,0.354
pDim90_E.R1,93,1.9056425013683674e-10,0.354
pDim90_E.R1,94,2.1564167941191303e-10,0.354
pDim90_E.R1,95,2.4401918967591923e-10,0.354
pDim90_E.R1,96,2.761310572820678e-10,0.354
pDim90_E.R1,97,3.124687074691872e-10,0.354
pDim90_E.R1,98,3.53588234907342e-10,0.354
pDim90_E.R1,99,4.0011891391466106e-10,0.354
pDim90_E.R1,100,4.527728285818154e-10,0.354
pDim90_E.R1,101,5.123557701791148e-10,0.354
pDim90_E.R1,102,5.797795686151696e-10,0.354
pDim90_E.R1,103,6.560760466620278e-10,0.354
pDim90_E.R1,104,7.42412810495874e-10,0.354
pDim90_E.R1,105,8.40111118204437e-10,0.354
pDim90_E.R1,106,9.506660997125061e-10,0.354
pDim90_E.R1,107,1.0757696375619937e-9,0.354
pDim90_E.R1,108,1.2173362587034874e-9,0.354
pDim90_E.R1,109,1.3775324335353401e-9,0.354
pDim90_E.R1,110,1.5588097305692845e-9,0.354
pDim90_E.R1,111,1.7639423341063188e-9,0.354
pDim90_E.R1,112,1.996069499076142e-9,0.354
pDim90_E.R1,113,2.258743592749398e-9,0.354
pDim90_E.R1,114,2.55598445853104e-9,0.354
pDim90_E.R1,115,2.892340933793217e-9,0.354
pDim90_E.R1,116,3.272960463188289e-9,0.354
pDim90_E.R1,117,3.703667872772121e-9,0.354
pDim90_E.R1,118,4.191054510460562e-9,0.354
pDim90_E.R1,119,4.742579116983534e-9,0.354
pDim90_E.R1,120,5.366681971019421e-9,0.354
pDim90_E.R1,121,6.072914055334413e-9,0.354
pDim90_E.R1,122,6.8720832206259325e-9,0.354
pDim90_E.R1,123,7.776419583894167e-9,0.354
pDim90_E.R1,124,8.799762692522325e-9,0.354
pDim90_E.R1,125,9.957773318338685e-9,0.354
pDim90_E.R1,126,1.1268173122859e-8,0.354
pDim90_E.R1,127,1.2751015861436145e-8,0.354
pDim90_E.R1,128,1.44289942766999e-8,0.354
pDim90_E.R1,129,1.6327787377843432e-8,0.354
pDim90_E.R1,130,1.8476453420358376e-8,0.354
pDim90_E.R1,131,2.0907874600199626e-8,0.354
pDim90_E.R1,132,2.3659260267774577e-8,0.354
pDim90_E.R1,133,2.677271636271208e-8,0.354
pDim90_E.R1,134,3.0295889783778614e-8,0.354
pDim90_E.R1,135,3.428269755508238e-8,0.354
pDim90_E.R1,136,3.8794151947388704e-8,0.354
pDim90_E.R1,137,4.389929418182468e-8,0.354
pDim90_E.R1,138,4.9676251004943163e-8,0.354
pDim90_E.R1,139,5.621343030448571e-8,0.354
pDim90_E.R1,140,6.36108740629971e-8,0.354
pDim90_E.R1,141,7.198178935427087e-8,0.354
pDim90_E.R1,142,8.145428081229068e-8,0.354
pDim90_E.R1,143,9.217331108557453e-8,0.354
pDim90_E.R1,144,1.0430291927881268e-7,0.354
pDim90_E.R1,145,1.1802873133180883e-7,0.354
pDim90_E.R1,146,1.3356080075340815e-7,0.354
pDim90_E.R1,147,1.5113682318369665e-7,0.354
pDim90_E.R1,148,1.7102577397865036e-7,0.354
pDim90_E.R1,149,1.9353202448515948e-7,0.354
pDim90_E.R1,150,2.1899999999999962e-7,0.354
pDim90_E.R1,151,2.189999999999996e-15,0.3593691275167785
pDim90_E.R1,152,2.4781945069601495e-15,0.3593691275167785
pDim90_E.R1,153,2.8043141617933534e-15,0.3593691275167785
pDim90_E.R1,154,3.1733497495647746e-15,0.3593691275167785
pDim90_E.R1,155,3.5909488210204436e-15,0.3593691275167785
pDim90_E.R1,156,4.063502120104066e-15,0.3593691275167785
pDim90_E.R1,157,4.59824138496018e-15,0.3593691275167785
pDim90_E.R1,158,5.203350019125647e-15,0.3593691275167785
pDim90_E.R1,159,5.8880883265699256e-15,0.3593691275167785
pDim90_E.R1,160,6.662935227124106e-15,0.3593691275167785
pDim90_E.R1,161,7.539748621045752e-15,0.3593691275167785
pDim90_E.R1,162,8.531946856865743e-15,0.3593691275167785
pDim90_E.R1,163,9.654714079616688e-15,0.3593691275167785
pDim90_E.R1,164,1.0925232601998599e-14,0.3593691275167785
pDim90_E.R1,165,1.2362945854582154e-14,0.3593691275167785
pDim90_E.R1,166,1.3989855939119257e-14,0.3593691275167785
pDim90_E.R1,167,1.5830860338579555e-14,0.3593691275167785
pDim90_E.R1,168,1.7914132936767605e-14,0.3593691275167785
pDim90_E.R1,169,2.027155517847098e-14,0.3593691275167785
pDim90_E.R1,170,2.2939203968413804e-14,0.3593691275167785
pDim90_E.R1,171,2.5957903775598925e-14,0.3593691275167785
pDim90_E.R1,172,2.937385139218686e-14,0.3593691275167785
pDim90_E.R1,173,3.323932290793669e-14,0.3593691275167785
pDim90_E.R1,174,3.761347371941713e-14,0.3593691275167785
pDim90_E.R1,175,4.256324381696313e-14,0.3593691275167785
pDim90_E.R1,176,4.816438220347203e-14,0.3593691275167785
pDim90_E.R1,177,5.450260612227091e-14,0.3593691275167785
pDim90_E.R1,178,6.167491283434914e-14,0.3593691275167785
pDim90_E.R1,179,6.979106401978525e-14,0.3593691275167785
pDim90_E.R1,180,7.897526551997088e-14,0.3593691275167785
pDim90_E.R1,181,8.936806812662587e-14,0.3593691275167785
pDim90_E.R1,182,1.0112851850641326e-13,0.3593691275167785
pDim90_E.R1,183,1.1443659317790436e-13,0.3593691275167785
pDim90_E.R1,184,1.2949595278936823e-13,0.3593691275167785
pDim90_E.R1,185,1.4653705884757188e-13,0.3593691275167785
pDim90_E.R1,186,1.6582070059458877e-13,0.3593691275167785
pDim90_E.R1,187,1.8764198600629872e-13,0.3593691275167785
pDim90_E.R1,188,2.1233485798899617e-13,0.3593691275167785
pDim90_E.R1,189,2.402772048878971e-13,0.3593691275167785
pDim90_E.R1,190,2.7189664351640343e-13,0.3593691275167785
pDim90_E.R1,191,3.0767706320696536e-13,0.3593691275167785
pDim90_E.R1,192,3.481660310306532e-13,0.3593691275167785
pDim90_E.R1,193,3.939831715115448e-13,0.3593691275167785
pDim90_E.R1,194,4.4582964907518106e-13,0.3593691275167785
pDim90_E.R1,195,5.044988983461583e-13,0.3593691275167785
pDim90_E.R1,196,5.708887665063463e-13,0.3593691275167785
pDim90_E.R1,197,6.460152535348308e-13,0.3593691275167785
pDim90_E.R1,198,7.310280606038732e-13,0.3593691275167785
pDim90_E.R1,199,8.272281845763712e-13,0.3593691275167785
pDim90_E.R1,200,9.360878278629148e-13,0.3593691275167785
pDim90_E.R1,201,1.0592729283297387e-12,0.3593691275167785
pDim90_E.R1,202,1.198668654044911e-12,0.3593691275167785
pDim90_E.R1,203,1.3564082530225602e-12,0.3593691275167785
pDim90_E.R1,204,1.53490569946846e-12,0.3593691275167785
pDim90_E.R1,205,1.7368926361299336e-12,0.3593691275167785
pDim90_E.R1,206,1.9654601780989692e-12,0.3593691275167785
pDim90_E.R1,207,2.224106217814507e-12,0.3593691275167785
pDim90_E.R1,208,2.5167889551980983e-12,0.3593691275167785
pDim90_E.R1,209,2.847987472123247e-12,0.3593691275167785
pDim90_E.R1,210,3.222770278222437e-12,0.3593691275167785
pDim90_E.R1,211,3.646872877025232e-12,0.3593691275167785
pDim90_E.R1,212,4.126785539463882e-12,0.3593691275167785
pDim90_E.R1,213,4.669852627991774e-12,0.3593691275167785
pDim90_E.R1,214,5.284384991325391e-12,0.3593691275167785
pDim90_E.R1,215,5.9797871498471524e-12,0.3593691275167785
pDim90_E.R1,216,6.766701218055738e-12,0.3593691275167785
pDim90_E.R1,217,7.657169766587356e-12,0.3593691275167785
pDim90_E.R1,218,8.664820116172671e-12,0.3593691275167785
pDim90_E.R1,219,9.805072883879848e-12,0.3593691275167785
pDim90_E.R1,220,1.1095377973139221e-11,0.3593691275167785
pDim90_E.R1,221,1.2555481619032102e-11,0.3593691275167785
pDim90_E.R1,222,1.4207728575581977e-11,0.3593691275167785
pDim90_E.R1,223,1.6077404069583527e-11,0.3593691275167785
pDim90_E.R1,224,1.8193120754073387e-11,0.3593691275167785
pDim90_E.R1,225,2.0587256583199658e-11,0.3593691275167785
pDim90_E.R1,226,2.329645030952724e-11,0.3593691275167785
pDim90_E.R1,227,2.6362162186639535e-11,0.3593691275167785
pDim90_E.R1,228,2.9831308457772835e-11,0.3593691275167785
pDim90_E.R1,229,3.37569793404047e-11,0.3593691275167785
pDim90_E.R1,230,3.819925149450152e-11,0.3593691275167785
pDim90_E.R1,231,4.322610740806535e-11,0.3593691275167785
pDim90_E.R1,232,4.891447576983412e-11,0.3593691275167785
pDim90_E.R1,233,5.5351408750519614e-11,0.3593691275167785
pDim90_E.R1,234,6.263541420915247e-11,0.3593691275167785
pDim90_E.R1,235,7.087796321200713e-11,0.3593691275167785
pDim90_E.R1,236,8.020519593448364e-11,0.3593691275167785
pDim90_E.R1,237,9.075985205228284e-11,0.3593691275167785
pDim90_E.R1,238,1.0270345516369112e-10,0.3593691275167785
pDim90_E.R1,239,1.1621878467236886e-10,0.3593691275167785
pDim90_E.R1,240,1.3151267295920064e-10,0.3593691275167785
pDim90_E.R1,241,1.4881917064983418e-10,0.3593691275167785
pDim90_E.R1,242,1.6840312841770926e-10,0.3593691275167785
pDim90_E.R1,243,1.9056425013683674e-10,0.3593691275167785
pDim90_E.R1,244,2.1564167941191303e-10,0.3593691275167785
pDim90_E.R1,245,2.4401918967591923e-10,0.3593691275167785
pDim90_E.R1,246,2.761310572820678e-10,0.3593691275167785
