SetID,SweepID,gamma_M,psi_M,end_time,A1,M1,A2,M2
pDim90_E.RP4,1,3.9000000000000034e-15,0.62,24,116318538.3567172,180131.85852276432,4131652.8827720503,0.6287309724914332
pDim90_E.RP4,2,4.413223094586578e-15,0.62,24,116318538.36180355,180131.85852755158,4131652.8827782497,0.7114694064831619
pDim90_E.RP4,3,4.9939841237416004e-15,0.62,24,116318538.36755872,180131.85853296955,4131652.8827852574,0.8050959055712624
pDim90_E.RP4,4,5.651170786896188e-15,0.62,24,116318538.37407157,180131.85853909992,4131652.8827931923,0.9110433047817458
pDim90_E.RP4,5,6.394840366200806e-15,0.62,24,116318538.3814411,180131.85854603694,4131652.8828021544,1.0309329976253552
pDim90_E.RP4,6,7.236373638541504e-15,0.62,24,116318538.3897811,180131.85855388758,4131652.882812321,1.1665997505884174
pDim90_E.RP4,7,8.188649041709931e-15,0.62,24,116318538.39921856,180131.85856277094,4131652.882823827,1.3201197833868341
pDim90_E.RP4,8,9.266239760086792e-15,0.62,24,116318538.40989693,180131.85857282308,4131652.8828368178,1.49384254482321
pDim90_E.RP4,9,1.0485636745946468e-14,0.62,24,116318538.42198129,180131.85858419831,4131652.882851524,1.690426670674267
pDim90_E.RP4,10,1.1865501089399124e-14,0.62,24,116318538.43565598,180131.8585970708,4131652.8828681936,1.9128806740762867
pDim90_E.RP4,11,1.3426949599122603e-14,0.62,24,116318538.45113,180131.85861163598,4131652.8828870263,2.164608991351629
pDim90_E.RP4,12,1.5193877964281497e-14,0.62,24,116318538.46864025,180131.85862811844,4131652.8829083527,2.4494640882437233
pDim90_E.RP4,13,1.7193326443153053e-14,0.62,24,116318538.48845595,180131.85864677085,4131652.8829325084,2.771805424357352
pDim90_E.RP4,14,1.945589367479207e-14,0.62,24,116318538.51087804,180131.85866787715,4131652.882959805,3.1365661786659627
pDim90_E.RP4,15,2.2016204946516214e-14,0.62,24,116318538.53625093,180131.85869176147,4131652.8829907035,3.549328757857588
pDim90_E.RP4,16,2.4913442083363122e-14,0.62,24,116318538.56496325,180131.85871878781,4131652.883025673,4.016410243878688
pDim90_E.RP4,17,2.8191943068703387e-14,0.62,24,116318538.59745376,180131.8587493716,4131652.883065242,4.544959089368099
pDim90_E.RP4,18,3.1901880572325956e-14,0.62,24,116318538.6342199,180131.85878397996,4131652.883110016,5.14306454209776
pDim90_E.RP4,19,3.610002976987991e-14,0.62,24,116318538.67582422,180131.858823143,4131652.8831606815,5.819880474711572
pDim90_E.RP4,20,4.085063720402468e-14,0.62,24,116318538.72290415,180131.85886745955,4131652.8832180346,6.5857655169833444
pDim90_E.RP4,21,4.6226403983943405e-14,0.62,24,116318538.77617864,180131.85891760758,4131652.8832828836,7.452441637916909
pDim90_E.RP4,22,5.2309598369647974e-14,0.62,24,116318538.83646467,180131.85897435553,4131652.883356298,8.433173608144344
pDim90_E.RP4,23,5.919331476755864e-14,0.62,24,116318538.90468433,180131.85903857136,4131652.8834393756,9.542972093627867
pDim90_E.RP4,24,6.698289840444163e-14,0.62,24,116318538.98188123,180131.8591112378,4131652.8835333637,10.798823494603452
pDim90_E.RP4,25,7.579755748226329e-14,0.62,24,116318539.06923752,180131.85919346733,4131652.8836397235,12.219950054651495
pDim90_E.RP4,26,8.577218748563533e-14,0.62,24,116318539.1680901,180131.8592865178,4131652.8837600998,13.828104230134569
pDim90_E.RP4,27,9.70594355602087e-14,0.62,24,116318539.27995141,180131.85939181448,4131652.88389629,15.647901837254766
pDim90_E.RP4,28,1.0983203655432065e-13,0.62,24,116318539.40653357,180131.8595109676,4131652.884050389,17.707199090885517
pDim90_E.RP4,29,1.2428545647359046e-13,0.62,24,116318539.5497743,180131.85964580195,4131652.8842247673,20.037519325472346
pDim90_E.RP4,30,1.406408838026882e-13,0.62,24,116318539.71186604,180131.8597983808,4131652.88442208,22.674535954295738
