SetID,SweepID,gamma_M,psi_M
pDim90_E.RP4,1,3.9000000000000034e-15,0.62
pDim90_E.RP4,2,4.697563807009259e-15,0.62
pDim90_E.RP4,3,5.6582322361341596e-15,0.62
pDim90_E.RP4,4,6.815360760029969e-15,0.62
pDim90_E.RP4,5,8.209126163596892e-15,0.62
pDim90_E.RP4,6,9.887921526483463e-15,0.62
pDim90_E.RP4,7,1.1910036484450317e-14,0.62
pDim90_E.RP4,8,1.4345681110131686e-14,0.62
pDim90_E.RP4,9,1.7279423684577173e-14,0.62
pDim90_E.RP4,10,2.0813127001704593e-14,0.62
pDim90_E.RP4,11,2.5069485157408865e-14,0.62
pDim90_E.RP4,12,3.0196283624564005e-14,0.62
pDim90_E.RP4,13,3.637153052844553e-14,0.62
pDim90_E.RP4,14,4.380963728614307e-14,0.62
pDim90_E.RP4,15,5.276886320861254e-14,0.62
pDim90_E.RP4,16,6.356028255020527e-14,0.62
pDim90_E.RP4,17,7.655858535157053e-14,0.62
pDim90_E.RP4,18,9.221508709317095e-14,0.62
pDim90_E.RP4,19,1.1107339886899647e-13,0.62
pDim90_E.RP4,20,1.3378830216628223e-13,0.62
pDim90_E.RP4,21,1.6114848360449818e-13,0.62
pDim90_E.RP4,22,1.9410391900895258e-13,0.62
pDim90_E.RP4,23,2.337988576243876e-13,0.62
pDim90_E.RP4,24,2.81611551717033e-13,0.62
pDim90_E.RP4,25,3.392021110209358e-13,0.62
pDim90_E.RP4,26,4.085701435879701e-13,0.62
pDim90_E.RP4,27,4.921241843957476e-13,0.62
pDim90_E.RP4,28,5.927653223516444e-13,0.62
pDim90_E.RP4,29,7.139879293151947e-13,0.62
pDim90_E.RP4,30,8.600009885621867e-13,0.62
pDim90_E.RP4,31,1.0358742353492076e-12,0.62
pDim90_E.RP4,32,1.2477141837409808e-12,0.62
pDim90_E.RP4,33,1.50287615154711e-12,0.62
pDim90_E.RP4,34,1.81021964510899e-12,0.62
pDim90_E.RP4,35,2.1804159711797683e-12,0.62
pDim90_E.RP4,36,2.626318756522825e-12,0.62
pDim90_E.RP4,37,3.1634102400797892e-12,0.62
pDim90_E.RP4,38,3.810338833466979e-12,0.62
pDim90_E.RP4,39,4.5895666144965e-12,0.62
pDim90_E.RP4,40,5.528149235414554e-12,0.62
pDim90_E.RP4,41,6.658675325135691e-12,0.62
pDim90_E.RP4,42,8.020398002559746e-12,0.62
pDim90_E.RP4,43,9.660597788367692e-12,0.62
pDim90_E.RP4,44,1.1636224237105013e-11,0.62
pDim90_E.RP4,45,1.401587328883805e-11,0.62
pDim90_E.RP4,46,1.6882168996223952e-11,0.62
pDim90_E.RP4,47,2.0334632323198827e-11,0.62
pDim90_E.RP4,48,2.4493136623153682e-11,0.62
pDim90_E.RP4,49,2.950206977463056e-11,0.62
pDim90_E.RP4,50,3.553534748850416e-11,0.62
pDim90_E.RP4,51,4.280245185422934e-11,0.62
pDim90_E.RP4,52,5.155570479017516e-11,0.62
pDim90_E.RP4,53,6.209902894030271e-11,0.62
pDim90_E.RP4,54,7.479850020522727e-11,0.62
pDim90_E.RP4,55,9.009505830324323e-11,0.62
pDim90_E.RP4,56,1.08519816686078e-10,0.62
pDim90_E.RP4,57,1.3071250338661516e-10,0.62
pDim90_E.RP4,58,1.5744367308526557e-10,0.62
pDim90_E.RP4,59,1.8964146162254894e-10,0.62
pDim90_E.RP4,60,2.2842381190421044e-10,0.62
pDim90_E.RP4,61,2.751372901180268e-10,0.62
pDim90_E.RP4,62,3.314038400043727e-10,0.62
pDim90_E.RP4,63,3.9917709854062077e-10,0.62
pDim90_E.RP4,64,4.808102283824071e-10,0.62
pDim90_E.RP4,65,5.791376222792436e-10,0.62
pDim90_E.RP4,66,6.975733163324003e-10,0.62
pDim90_E.RP4,67,8.402295291124364e-10,0.62
pDim90_E.RP4,68,1.0120594424459004e-9,0.62
pDim90_E.RP4,69,1.2190291813784127e-9,0.62
pDim90_E.RP4,70,1.468324964649065e-9,0.62
pDim90_E.RP4,71,1.768602618170152e-9,0.62
