SetID,SweepID,gamma_fold,psi_change,gamma_M,psi_M,end_time,A1,M1,A2,M2
DimF,1,-2,-0.2,2e-13,0.8,240,514351997.67389995,608.592110792767,119130896.28011282,0.13018922882080494
DimF,2,-1.6,-0.2,5.023772863019159e-13,0.8,240,514352002.58690125,608.5921154484095,119130889.48413882,0.32707331344982815
DimF,3,-1.2,-0.2,1.2619146889603865e-12,0.8,240,514352011.22088534,608.592123630561,119130871.48979469,8.068185396509016
DimF,4,-0.7999999999999998,-0.2,3.1697863849222284e-12,0.8,240,514352037.3941477,608.5921484334419,119130827.22848788,20.46986685551636
DimF,5,-0.3999999999999999,-0.2,7.962143411069945e-12,0.8,240,514352102.8239215,608.5922104377318,119130715.00658357,52.73241148467674
DimF,6,0,-0.2,2e-11,0.8,240,514352264.8925352,608.592364023294,119130426.33785352,141.25791097254944
DimF,7,0.4000000000000003,-0.2,5.0237728630191646e-11,0.8,240,514352652.1523544,608.5927310262839,119129654.96628526,419.45628839771297
DimF,8,0.8000000000000003,-0.2,1.2619146889603872e-10,0.8,240,514353378.1669675,608.5934191869375,119127356.02594171,1662.2299944350932
DimF,9,1.2000000000000002,-0.2,3.169786384922228e-10,0.8,240,514348835.7798753,608.5891166944415,119117171.38997078,15998.804979797573
DimF,10,1.6,-0.2,7.962143411069945e-10,0.8,240,513156182.6347252,607.458853468756,118715644.86241738,2425040.663551903
DimF,11,2,-0.2,1.9999999999999993e-9,0.8,240,90214286.96161689,150.99269415987283,15256324.894131662,921235562.920691
DimF,12,-2,-0.16,2e-13,0.84,240,514347795.81880826,3718.0869159953468,119130662.43048145,7.765964818007593
DimF,13,-1.6,-0.16,5.023772863019159e-13,0.84,240,514347792.0533569,3718.086893119403,119130651.3576575,19.538023880970115
DimF,14,-1.2,-0.16,1.2619146889603865e-12,0.84,240,514347782.48043793,3718.086834961764,119130623.4780812,49.272365165596554
DimF,15,-0.7999999999999998,-0.16,3.1697863849222284e-12,0.84,240,514347757.70403564,3718.0866844386805,119130553.0290901,125.00886860323844
DimF,16,-0.3999999999999999,-0.16,7.962143411069945e-12,0.84,240,514347690.73677766,3718.086277589796,119130373.38181236,322.03199807612924
DimF,17,0,-0.16,2e-11,0.84,240,514347490.6090118,3718.0850617110536,119129904.4149658,862.6263587371833
DimF,18,0.4000000000000003,-0.16,5.0237728630191646e-11,0.84,240,514346749.67350864,3718.0805599232604,119128601.34327647,2561.329977451131
DimF,19,0.8000000000000003,-0.16,1.2619146889603872e-10,0.84,240,514342582.25262386,3718.0552377578183,119124261.15124002,10147.89316420257
DimF,20,1.2000000000000002,-0.16,3.169786384922228e-10,0.84,240,514287260.4032904,3717.719066600914,119097068.1503669,97589.0716729017
DimF,21,1.6,-0.16,7.962143411069945e-10,0.84,240,507077709.106495,3673.858272519589,117055886.73716763,14385445.767946973
DimF,22,2,-0.16,1.9999999999999993e-9,0.84,240,39621873.8354247,430.9313771183803,6252536.986848741,990491086.6854374
DimF,23,-2,-0.12,2e-13,0.88,240,514327834.0399123,22698.43059297595,119126834.9595802,47.39224068434052
DimF,24,-1.6,-0.12,5.023772863019159e-13,0.88,240,514327779.6588272,22698.42847984318,119126808.0313696,119.23181335930275
DimF,25,-1.2,-0.12,1.2619146889603865e-12,0.88,240,514327642.29860437,22698.42314231795,119126740.13830958,300.686645551489
DimF,26,-0.7999999999999998,-0.12,3.1697863849222284e-12,0.88,240,514327292.41645354,22698.409546640916,119126567.9922388,762.8683140012656
DimF,27,-0.3999999999999999,-0.12,7.962143411069945e-12,0.88,240,514326382.2058924,22698.374177775462,119126125.22657464,1965.1817794559274
DimF,28,0,-0.12,2e-11,0.88,240,514323885.5805691,22698.277164054634,119124944.09609695,5263.96774245032
DimF,29,0.4000000000000003,-0.12,5.0237728630191646e-11,0.88,240,514316064.07571626,22697.973235508314,119121477.77396262,15628.572540906744
DimF,30,0.8000000000000003,-0.12,1.2619146889603872e-10,0.88,240,514281787.6408249,22696.641307291426,119108242.31178111,61902.765671741894
DimF,31,1.2000000000000002,-0.12,3.169786384922228e-10,0.88,240,513921595.41588897,22682.644063352378,118996348.51318774,594380.8466967059
DimF,32,1.6,-0.12,7.962143411069945e-10,0.88,240,474789130.2911133,21154.74292801117,108661723.79681003,77446851.47267696
DimF,33,2,-0.12,1.9999999999999993e-9,0.88,240,15570499.965379534,1043.6563003880447,2304643.8155471166,1021815319.6938534
DimF,34,-2,-0.08000000000000002,2e-13,0.92,240,514220540.85035706,138451.6743686432,119102131.902652,288.963564026532
DimF,35,-1.6,-0.08000000000000002,5.023772863019159e-13,0.92,240,514220189.08639747,138451.58720136742,119102026.00799423,726.9883694945895
DimF,36,-1.2,-0.08000000000000002,1.2619146889603865e-12,0.92,240,514219300.94010323,138451.36711827628,119101758.76616143,1833.3615576215589
DimF,37,-0.7999999999999998,-0.08000000000000002,3.1697863849222284e-12,0.92,240,514217041.0007375,138450.80710403837,119101079.54739597,4651.3623804768995
DimF,38,-0.3999999999999999,-0.08000000000000002,7.962143411069945e-12,0.92,240,514211176.75699747,138449.3539402007,119099322.16736452,11981.870702822755
DimF,39,0,-0.08000000000000002,2e-11,0.92,240,514195189.247669,138445.39221679824,119094564.86277148,32093.116957396716
DimF,40,0.4000000000000003,-0.08000000000000002,5.0237728630191646e-11,0.92,240,514145775.7527228,138433.1474307904,119080102.27433342,95268.60653861328
DimF,41,0.8000000000000003,-0.08000000000000002,1.2619146889603872e-10,0.92,240,513934576.42143834,138380.8106342275,119020383.76097849,377120.6513842457
DimF,42,1.2000000000000002,-0.08000000000000002,3.169786384922228e-10,0.92,240,511782815.19676656,137847.48970396526,118443814.92514244,3602038.590103068
DimF,43,1.6,-0.08000000000000002,7.962143411069945e-10,0.92,240,359307316.1673362,99543.89656915553,79879291.54356676,293734430.98639965
DimF,44,2,-0.08000000000000002,1.9999999999999993e-9,0.92,240,5790210.216565022,2228.5783534603493,807805.4797551156,1033695494.9036194
DimF,45,-2,-0.04000000000000001,2e-13,0.96,240,513616963.50489753,843113.7452878469,118957325.17324184,1758.9259627046524
DimF,46,-1.6,-0.04000000000000001,5.023772863019159e-13,0.96,240,513614884.8986955,843110.4690630604,118956784.41675445,4425.1716194473765
DimF,47,-1.2,-0.04000000000000001,1.2619146889603865e-12,0.96,240,513609636.97564834,843102.1974720189,118955419.26099983,11159.53721819252
DimF,48,-0.7999999999999998,-0.04000000000000001,3.1697863849222284e-12,0.96,240,513596284.70803684,843081.15208403,118951946.59659123,28311.74013788058
DimF,49,-0.3999999999999999,-0.04000000000000001,7.962143411069945e-12,0.96,240,513561646.1407756,843026.5558564344,118942942.26019318,72925.72447774243
DimF,50,0,-0.04000000000000001,2e-11,0.96,240,513467269.8031135,842877.8020784212,118918438.8000226,195292.57858262988
DimF,51,0.4000000000000003,-0.04000000000000001,5.0237728630191646e-11,0.96,240,513175984.1884523,842418.6776412863,118843025.33447143,579389.5580263339
DimF,52,0.8000000000000003,-0.04000000000000001,1.2619146889603872e-10,0.96,240,511935065.80569166,840462.6256172017,118523668.97377694,2287826.4468426895
DimF,53,1.2000000000000002,-0.04000000000000001,3.169786384922228e-10,0.96,240,499581203.6260484,820978.9374048946,115376527.7639706,21285442.00793466
DimF,54,1.6,-0.04000000000000001,7.962143411069945e-10,0.96,240,180924988.71616238,309590.3793803038,37942461.42221656,603133615.3251812
DimF,55,2,-0.04000000000000001,1.9999999999999993e-9,0.96,240,2119196.2026959443,4328.67566445758,279847.1310074942,1037467277.6550934
DimF,56,-2,0,2e-13,1,240,510170077.33327556,5101700.773332756,118122173.94498329,10636.215630072405
DimF,57,-1.6,0,5.023772863019159e-13,1,240,510158059.7419737,5101580.597419704,118119176.14239022,26758.40197414515
DimF,58,-1.2,0,1.2619146889603865e-12,1,240,510127719.9183432,5101277.199183478,118111607.8000869,67476.44658604097
DimF,59,-0.7999999999999998,0,3.1697863849222284e-12,1,240,510050535.34961486,5100505.35349611,118092353.68935582,171163.59592892477
DimF,60,-0.3999999999999999,0,7.962143411069945e-12,1,240,509850363.10818744,5098503.631081857,118042418.14254662,440724.0081733377
DimF,61,0,0,2e-11,1,240,509305435.0361664,5093054.350361639,117906469.14465423,1179064.6914465297
DimF,62,0.4000000000000003,0,5.0237728630191646e-11,1,240,507628202.56216115,5076282.025621552,117487969.21553053,3487170.687539919
DimF,63,0.8000000000000003,0,1.2619146889603872e-10,1,240,500575220.04646873,5005752.2004647115,115727899.92765182,13585224.364944777
DimF,64,1.2000000000000002,0,3.169786384922228e-10,1,240,439264497.31853783,4392644.973185376,100485657.86903232,110456996.75399074
DimF,65,1.6,0,7.962143411069945e-10,1,240,65915931.82700019,659159.3182700031,12864685.00360861,791404239.1191459
DimF,66,2,0,1.9999999999999993e-9,1,240,781382.7090751799,7813.827090751755,98010.40304136704,1038216316.0108464
DimF,67,-2,0.03999999999999998,2e-13,1.04,240,491000065.2866821,29836809.151592173,113470422.858353,62075.58587162518
DimF,68,-1.6,0.03999999999999998,5.023772863019159e-13,1.04,240,490934919.05802655,29832692.834923,113454411.00722998,156149.34203438245
DimF,69,-1.2,0.03999999999999998,1.2619146889603865e-12,1.04,240,490770515.01730555,29822304.930499855,113414002.92308187,393637.61718091014
DimF,70,-0.7999999999999998,0.03999999999999998,3.1697863849222284e-12,1.04,240,490352692.5264319,29795905.350470364,113311306.2982059,997724.9620939227
DimF,71,-0.3999999999999999,0.03999999999999998,7.962143411069945e-12,1.04,240,489271924.75087273,29727622.57424719,113045652.00091746,2563725.67830885
DimF,72,0,0.03999999999999998,2e-11,1.04,240,486350413.4458205,29543071.924649753,112327472.6295811,6820367.558195334
DimF,73,0.4000000000000003,0.03999999999999998,5.0237728630191646e-11,1.04,240,477547304.20143473,28987250.95147832,110163273.95100671,19827432.27480796
DimF,74,0.8000000000000003,0.03999999999999998,1.2619146889603872e-10,1.04,240,443502956.07655954,26841623.1189375,101802490.23767713,71957942.59590012
DimF,75,1.2000000000000002,0.03999999999999998,3.169786384922228e-10,1.04,240,268741825.46140826,15943678.715574238,59529410.59769691,363174568.91978955
DimF,76,1.6,0.03999999999999998,7.962143411069945e-10,1.04,240,21130061.843073588,1132916.4744825866,3840172.460747176,865402203.7040789
DimF,77,2,0.03999999999999998,1.9999999999999993e-9,1.04,240,294059.2804021029,13299.844180167163,35138.07044706949,1037907128.3659134
DimF,78,-2,0.08000000000000002,2e-13,1.08,240,403642770.9768643,146643905.20763707,92378495.30631936,302303.4302658689
DimF,79,-1.6,0.08000000000000002,5.023772863019159e-13,1.08,240,403393026.6444545,146545954.28143445,92317970.53463964,760002.2239787009
DimF,80,-1.2,0.08000000000000002,1.2619146889603865e-12,1.08,240,402763994.20138144,146299266.1290136,92165532.8306242,1913141.8493767683
DimF,81,-0.7999999999999998,0.08000000000000002,3.1697863849222284e-12,1.08,240,401173210.5483782,145675544.15299508,91780068.50441927,4831466.291603388
DimF,82,-0.3999999999999999,0.08000000000000002,7.962143411069945e-12,1.08,240,397110021.2009501,144083324.66038153,90795786.10931455,12299033.99849569
DimF,83,0,0.08000000000000002,2e-11,1.08,240,386486086.6262858,139926338.29837015,88224154.39556351,31914231.57243092
DimF,84,0.4000000000000003,0.08000000000000002,5.0237728630191646e-11,1.08,240,357339837.8840586,128569212.63846931,81185289.50104602,86360448.20110375
DimF,85,0.8000000000000003,0.08000000000000002,1.2619146889603872e-10,1.08,240,273713999.19228864,96413506.46787067,61159542.40940718,247346364.37784833
DimF,86,1.2000000000000002,0.08000000000000002,3.169786384922228e-10,1.08,240,98697360.48938581,32054661.249041427,20606340.54614946,612931077.6152734
DimF,87,1.6,0.08000000000000002,7.962143411069945e-10,1.08,240,6650002.765965129,1742515.069658459,1130476.8603625835,892282871.9476507
DimF,88,2,0.08000000000000002,1.9999999999999993e-9,1.08,240,113759.37089849885,21564.17550179521,12982.291191665887,1037250020.3460406
DimF,89,-2,0.12,2e-13,1.12,240,207417305.36073405,419064636.9400544,45932526.871615455,838184.5920777805
DimF,90,-1.6,0.12,5.023772863019159e-13,1.12,240,207087836.55584958,418319602.34024847,45855331.267922275,2104682.740778056
DimF,91,-1.2,0.12,1.2619146889603865e-12,1.12,240,206261325.16864195,416451218.0917563,45661704.41956156,5282021.138071939
DimF,92,-0.7999999999999998,0.12,3.1697863849222284e-12,1.12,240,204192104.68805525,411777531.8645834,45177121.239009485,13237808.375068514
DimF,93,-0.3999999999999999,0.12,7.962143411069945e-12,1.12,240,199039238.1287862,400163568.35399604,43971483.1945679,33056911.294885565
DimF,94,0,0.12,2e-11,1.12,240,186398364.5829782,371826015.71611595,41020722.7080162,81723998.55471402
DimF,95,0.4000000000000003,0.12,5.0237728630191646e-11,1.12,240,156811066.35141513,306418560.1400879,34156435.60719088,195962911.3413628
DimF,96,0.8000000000000003,0.12,1.2619146889603872e-10,1.12,240,97972406.282243,180992879.14728853,20731630.627419535,425692545.9805198
DimF,97,1.2000000000000002,0.12,3.169786384922228e-10,1.12,240,28507561.177595958,45449331.59779903,5558266.729186966,716180988.1125063
DimF,98,1.6,0.12,7.962143411069945e-10,1.12,240,2144686.2279136116,2510889.73198041,342599.42656574154,903522567.1510869
DimF,99,2,0.12,1.9999999999999993e-9,1.12,240,45410.05388341423,33558.14714582008,4959.9488678741855,1036494945.1626365
DimF,100,-2,0.15999999999999998,2e-13,1.16,240,64268514.29589544,631477040.5595065,13438327.885544091,1198332.710246297
DimF,101,-1.6,0.15999999999999998,5.023772863019159e-13,1.16,240,64134360.270462155,629949424.520667,13408593.971534586,3006757.2922290056
DimF,102,-1.2,0.15999999999999998,1.2619146889603865e-12,1.16,240,63798587.51803234,626128200.1112585,13334188.104514318,7531742.872976251
DimF,103,-0.7999999999999998,0.15999999999999998,3.1697863849222284e-12,1.16,240,62962738.88752631,616629839.7771297,13149060.284537531,18787829.19840663
DimF,104,-0.3999999999999999,0.15999999999999998,7.962143411069945e-12,1.16,240,60910327.26178258,593392276.1755656,12695054.399585495,46377886.41934841
DimF,105,0,0.15999999999999998,2e-11,1.16,240,56042168.19090537,538778240.1554861,11621592.340530152,111539595.67740518
DimF,106,0.4000000000000003,0.15999999999999998,5.0237728630191646e-11,1.16,240,45468022.786295034,422817458.7498593,9308381.269666394,251731795.81727654
DimF,107,0.8000000000000003,0.15999999999999998,1.2619146889603872e-10,1.16,240,27073207.109303817,231825477.05225357,5362855.053567978,491887643.73488545
DimF,108,1.2000000000000002,0.15999999999999998,3.169786384922228e-10,1.16,240,8048564.094633001,56822385.75944076,1467363.687327857,746885557.2058731
DimF,109,1.6,0.15999999999999998,7.962143411069945e-10,1.16,240,719571.0604851141,3459632.9713948653,108443.12325663918,909524869.3395265
DimF,110,2,0.15999999999999998,1.9999999999999993e-9,1.16,240,18735.540306807045,50412.54220704335,1962.3631557867382,1035728202.9085108
DimF,111,-2,0.2,2e-13,1.2,240,16963768.16948031,714861283.8619019,3322837.2555278377,1277468.8850506204
DimF,112,-1.6,0.2,5.023772863019159e-13,1.2,240,16928438.508348133,713076803.6586808,3315478.487776262,3204781.784844099
DimF,113,-1.2,0.2,1.2619146889603865e-12,1.2,240,16840045.56314391,708615374.7408061,3297071.157213647,8024419.001977047
DimF,114,-0.7999999999999998,0.2,3.1697863849222284e-12,1.2,240,16620211.215373266,697539969.0988673,3251316.3435271927,19996020.22188475
DimF,115,-0.3999999999999999,0.2,7.962143411069945e-12,1.2,240,16081620.816313567,670529001.8092588,3139367.834410622,49235852.45775979
DimF,116,0,0.2,2e-11,1.2,240,14810568.965253508,607504084.5470028,2876056.5483127977,117723948.95986669
DimF,117,0.4000000000000003,0.2,5.0237728630191646e-11,1.2,240,12075760.726837438,475623140.309836,2314195.061000894,262547320.50766063
DimF,118,0.8000000000000003,0.2,1.2619146889603872e-10,1.2,240,7360374.021239285,262720506.67714357,1364735.0926060867,503999260.73679334
DimF,119,1.2000000000000002,0.2,3.169786384922228e-10,1.2,240,2375728.9323433847,67723318.24470393,406432.7349971596,755096648.7257332
DimF,120,1.6,0.2,7.962143411069945e-10,1.2,240,252372.7872638563,4606381.722949308,36002.78863929395,913483202.7744361
DimF,121,2,0.2,1.9999999999999993e-9,1.2,240,7992.919555410694,73433.54784206583,804.1694733065476,1034978119.8330346
