SetID,SweepID,gamma_fold,psi_change,gamma_M,psi_M,end_time,A1,M1,A2,M2
testmut,1,-2,-0.2,1.4e-16,0.19,77,0,0,10000000,0
testmut,2,-1.6,-0.2,3.5166410041134115e-16,0.19,77,0,0,10000000,0
testmut,3,-1.2,-0.2,8.833402822722708e-16,0.19,77,0,0,10000000,0
testmut,4,-0.7999999999999998,-0.2,2.2188504694455602e-15,0.19,77,0,0,10000000,0
testmut,5,-0.3999999999999999,-0.2,5.573500387748963e-15,0.19,77,0,0,10000000,0
testmut,6,0,-0.2,1.4e-14,0.19,77,0,0,10000000,0
testmut,7,0.4000000000000003,-0.2,3.5166410041134154e-14,0.19,77,0,0,10000000,0
testmut,8,0.8000000000000003,-0.2,8.833402822722711e-14,0.19,308,0,10000000,0,0
testmut,9,1.2000000000000002,-0.2,2.21885046944556e-13,0.19,231,0,0,0,10000000
testmut,10,1.6,-0.2,5.573500387748963e-13,0.19,231,0,0,0,10000000
testmut,11,2,-0.2,1.4e-12,0.19,154,0,10000000,0,0
testmut,12,-2,-0.16,1.4e-16,0.23,77,0,0,10000000,0
testmut,13,-1.6,-0.16,3.5166410041134115e-16,0.23,77,0,0,10000000,0
testmut,14,-1.2,-0.16,8.833402822722708e-16,0.23,77,0,0,10000000,0
testmut,15,-0.7999999999999998,-0.16,2.2188504694455602e-15,0.23,77,0,0,10000000,0
testmut,16,-0.3999999999999999,-0.16,5.573500387748963e-15,0.23,77,0,0,10000000,0
testmut,17,0,-0.16,1.4e-14,0.23,77,0,0,10000000,0
testmut,18,0.4000000000000003,-0.16,3.5166410041134154e-14,0.23,385,0,0,0,10000000
testmut,19,0.8000000000000003,-0.16,8.833402822722711e-14,0.23,308,0,10000000,0,0
testmut,20,1.2000000000000002,-0.16,2.21885046944556e-13,0.23,231,0,0,0,10000000
testmut,21,1.6,-0.16,5.573500387748963e-13,0.23,231,0,0,0,10000000
testmut,22,2,-0.16,1.4e-12,0.23,154,0,10000000,0,0
testmut,23,-2,-0.12,1.4e-16,0.27,77,0,0,10000000,0
testmut,24,-1.6,-0.12,3.5166410041134115e-16,0.27,77,0,0,10000000,0
testmut,25,-1.2,-0.12,8.833402822722708e-16,0.27,77,0,0,10000000,0
testmut,26,-0.7999999999999998,-0.12,2.2188504694455602e-15,0.27,77,0,0,10000000,0
testmut,27,-0.3999999999999999,-0.12,5.573500387748963e-15,0.27,77,0,0,10000000,0
testmut,28,0,-0.12,1.4e-14,0.27,77,0,0,10000000,0
testmut,29,0.4000000000000003,-0.12,3.5166410041134154e-14,0.27,385,0,0,0,10000000
testmut,30,0.8000000000000003,-0.12,8.833402822722711e-14,0.27,308,0,10000000,0,0
testmut,31,1.2000000000000002,-0.12,2.21885046944556e-13,0.27,231,0,0,0,10000000
testmut,32,1.6,-0.12,5.573500387748963e-13,0.27,231,0,0,0,10000000
testmut,33,2,-0.12,1.4e-12,0.27,154,0,10000000,0,0
testmut,34,-2,-0.08000000000000002,1.4e-16,0.31,77,0,0,10000000,0
testmut,35,-1.6,-0.08000000000000002,3.5166410041134115e-16,0.31,77,0,0,10000000,0
testmut,36,-1.2,-0.08000000000000002,8.833402822722708e-16,0.31,77,0,0,10000000,0
testmut,37,-0.7999999999999998,-0.08000000000000002,2.2188504694455602e-15,0.31,77,0,0,10000000,0
testmut,38,-0.3999999999999999,-0.08000000000000002,5.573500387748963e-15,0.31,77,0,0,10000000,0
testmut,39,0,-0.08000000000000002,1.4e-14,0.31,77,0,0,10000000,0
testmut,40,0.4000000000000003,-0.08000000000000002,3.5166410041134154e-14,0.31,308,0,10000000,0,0
testmut,41,0.8000000000000003,-0.08000000000000002,8.833402822722711e-14,0.31,231,0,0,0,10000000
testmut,42,1.2000000000000002,-0.08000000000000002,2.21885046944556e-13,0.31,231,0,0,0,10000000
testmut,43,1.6,-0.08000000000000002,5.573500387748963e-13,0.31,154,0,10000000,0,0
testmut,44,2,-0.08000000000000002,1.4e-12,0.31,154,0,10000000,0,0
testmut,45,-2,-0.04000000000000001,1.4e-16,0.35,77,0,0,10000000,0
testmut,46,-1.6,-0.04000000000000001,3.5166410041134115e-16,0.35,77,0,0,10000000,0
testmut,47,-1.2,-0.04000000000000001,8.833402822722708e-16,0.35,77,0,0,10000000,0
testmut,48,-0.7999999999999998,-0.04000000000000001,2.2188504694455602e-15,0.35,77,0,0,10000000,0
testmut,49,-0.3999999999999999,-0.04000000000000001,5.573500387748963e-15,0.35,77,0,0,10000000,0
