SetID,SweepID,gamma_M,psi_M,end_time,A1,M1,A2,M2
pHFC_S.pB10-A,1,1.6100000000000009e-18,0.223,29,0,0,295079481.14458805,0.003049259379501833
pHFC_S.pB10-A,2,1.8218690210985614e-18,0.223,29,0,0,295079481.1445492,0.003450528696269012
pHFC_S.pB10-A,3,2.0616190869805147e-18,0.223,29,0,0,295079481.1445095,0.0039046033157641687
pHFC_S.pB10-A,4,2.332919222282775e-18,0.223,29,0,0,295079481.1444583,0.00441843218693903
pHFC_S.pB10-A,5,2.639921279380332e-18,0.223,29,0,0,295079481.1443945,0.004999878710308273
pHFC_S.pB10-A,6,2.9873234764235433e-18,0.223,29,0,0,295079481.14433193,0.005657841075811722
pHFC_S.pB10-A,7,3.380442296705907e-18,0.223,29,0,0,295079481.1442631,0.006402388436618259
pHFC_S.pB10-A,8,3.825293849676839e-18,0.223,29,0,0,295079481.1441799,0.007244915002812168
pHFC_S.pB10-A,9,4.328685938711234e-18,0.223,29,0,0,295079481.144083,0.008198314413141004
pHFC_S.pB10-A,10,4.8983222445980984e-18,0.223,29,0,0,295079481.1439796,0.009277177053329796
pHFC_S.pB10-A,11,5.542920219124995e-18,0.223,29,0,0,295079481.14385784,0.01049801334063076
pHFC_S.pB10-A,12,6.272344492947001e-18,0.223,29,0,0,295079481.14372647,0.011879506391652826
pHFC_S.pB10-A,13,7.097757839352925e-18,0.223,29,0,0,295079481.1435683,0.013442797940182747
pHFC_S.pB10-A,14,8.031792004209034e-18,0.223,29,0,0,295079481.1433949,0.015211811880553866
pHFC_S.pB10-A,15,9.088741016382335e-18,0.223,29,0,0,295079481.14319974,0.01721362038791985
pHFC_S.pB10-A,16,1.0284779936978147e-17,0.223,29,0,0,295079481.14297444,0.019478858218372953
pHFC_S.pB10-A,17,1.1638212395028783e-17,0.223,29,0,0,295079481.1427232,0.02204219152916285
pHFC_S.pB10-A,18,1.3169750697806349e-17,0.223,29,0,0,295079481.1424378,0.024942848393628553
pHFC_S.pB10-A,19,1.49028328024376e-17,0.223,29,0,0,295079481.14211726,0.02822521912959847
pHFC_S.pB10-A,20,1.6863980999610254e-17,0.223,29,0,0,295079481.141748,0.03193953562840945
pHFC_S.pB10-A,21,1.908320779849963e-17,0.223,29,0,0,295079481.14133906,0.03614264008069049
pHFC_S.pB10-A,22,2.1594475224393132e-17,0.223,29,0,0,295079481.14087063,0.04089885486313117
pHFC_S.pB10-A,23,2.4436214557889583e-17,0.223,29,0,0,295079481.1403394,0.046280966898591167
