SetID,SweepID,gamma_M,psi_M
pHFC_S.pB10-A,1,1.610000000000001e-18,0.22299999999999998
pHFC_S.pB10-A,2,1.8218690210985618e-18,0.22299999999999998
pHFC_S.pB10-A,3,2.061619086980515e-18,0.22299999999999998
pHFC_S.pB10-A,4,2.3329192222827754e-18,0.22299999999999998
pHFC_S.pB10-A,5,2.6399212793803322e-18,0.22299999999999998
pHFC_S.pB10-A,6,2.9873234764235437e-18,0.22299999999999998
pHFC_S.pB10-A,7,3.3804422967059073e-18,0.22299999999999998
pHFC_S.pB10-A,8,3.825293849676839e-18,0.22299999999999998
pHFC_S.pB10-A,9,4.328685938711234e-18,0.22299999999999998
pHFC_S.pB10-A,10,4.8983222445980984e-18,0.22299999999999998
pHFC_S.pB10-A,11,5.542920219124995e-18,0.22299999999999998
pHFC_S.pB10-A,12,6.272344492947002e-18,0.22299999999999998
pHFC_S.pB10-A,13,7.097757839352925e-18,0.22299999999999998
pHFC_S.pB10-A,14,8.031792004209035e-18,0.22299999999999998
pHFC_S.pB10-A,15,9.088741016382335e-18,0.22299999999999998
pHFC_S.pB10-A,16,1.0284779936978149e-17,0.22299999999999998
pHFC_S.pB10-A,17,1.1638212395028784e-17,0.22299999999999998
pHFC_S.pB10-A,18,1.316975069780635e-17,0.22299999999999998
pHFC_S.pB10-A,19,1.4902832802437602e-17,0.22299999999999998
pHFC_S.pB10-A,20,1.6863980999610257e-17,0.22299999999999998
pHFC_S.pB10-A,21,1.9083207798499634e-17,0.22299999999999998
pHFC_S.pB10-A,22,2.1594475224393132e-17,0.22299999999999998
pHFC_S.pB10-A,23,2.4436214557889586e-17,0.22299999999999998
pHFC_S.pB10-A,24,2.7651914469525896e-17,0.22299999999999998
pHFC_S.pB10-A,25,3.12907865503701e-17,0.22299999999999998
pHFC_S.pB10-A,26,3.5408518423557e-17,0.22299999999999998
pHFC_S.pB10-A,27,4.006812596203487e-17,0.22299999999999998
pHFC_S.pB10-A,28,4.534091765447595e-17,0.22299999999999998
pHFC_S.pB10-A,29,5.1307585877559346e-17,0.22299999999999998
pHFC_S.pB10-A,30,5.805944177495565e-17,0.22299999999999998
pHFC_S.pB10-A,31,6.569981264103561e-17,0.22299999999999998
pHFC_S.pB10-A,32,7.434562319421266e-17,0.22299999999999998
pHFC_S.pB10-A,33,8.412918493900786e-17,0.22299999999999998
pHFC_S.pB10-A,34,9.520022100040295e-17,0.22299999999999998
pHFC_S.pB10-A,35,1.0772815741762159e-16,0.22299999999999998
pHFC_S.pB10-A,36,1.2190471596223223e-16,0.22299999999999998
pHFC_S.pB10-A,37,1.3794684815988203e-16,0.22299999999999998
pHFC_S.pB10-A,38,1.5610005541656833e-16,0.22299999999999998
pHFC_S.pB10-A,39,1.7664214605913937e-16,0.22299999999999998
pHFC_S.pB10-A,40,1.9988748678603223e-16,0.22299999999999998
pHFC_S.pB10-A,41,2.261918135905093e-16,0.22299999999999998
pHFC_S.pB10-A,42,2.5595767578052644e-16,0.22299999999999998
pHFC_S.pB10-A,43,2.896405964080313e-16,0.22299999999999998
pHFC_S.pB10-A,44,3.2775604338403796e-16,0.22299999999999998
pHFC_S.pB10-A,45,3.7088731796224507e-16,0.22299999999999998
pHFC_S.pB10-A,46,4.1969448131288573e-16,0.22299999999999998
pHFC_S.pB10-A,47,4.749244557950137e-16,0.22299999999999998
pHFC_S.pB10-A,48,5.3742245551243765e-16,0.22299999999999998
pHFC_S.pB10-A,49,6.081449210812605e-16,0.22299999999999998
pHFC_S.pB10-A,50,6.881741565567563e-16,0.22299999999999998
pHFC_S.pB10-A,51,7.787348925163851e-16,0.22299999999999998
pHFC_S.pB10-A,52,8.812130287727449e-16,0.22299999999999998
pHFC_S.pB10-A,53,9.971768435462681e-16,0.22299999999999998
pHFC_S.pB10-A,54,1.1284009936731628e-15,0.22299999999999998
pHFC_S.pB10-A,55,1.2768936731366209e-15,0.22299999999999998
pHFC_S.pB10-A,56,1.4449273455430811e-15,0.22299999999999998
pHFC_S.pB10-A,57,1.6350735208590708e-15,0.22299999999999998
pHFC_S.pB10-A,58,1.8502421086159576e-15,0.22299999999999998
pHFC_S.pB10-A,59,2.093725949825771e-15,0.22299999999999998
pHFC_S.pB10-A,60,2.3692512091041713e-15,0.22299999999999998
pHFC_S.pB10-A,61,2.6810343981783728e-15,0.22299999999999998
pHFC_S.pB10-A,62,3.033846903441491e-15,0.22299999999999998
pHFC_S.pB10-A,63,3.4330880050533214e-15,0.22299999999999998
pHFC_S.pB10-A,64,3.88486750503831e-15,0.22299999999999998
pHFC_S.pB10-A,65,4.396099228883076e-15,0.22299999999999998
