SetID,SweepID,gamma_M,psi_M,end_time,A1,M1,A2,M2,log_gamma_M,Anc,Mut,Anc_freq,Mut_freq,Mut_freq0,Mut_freq_change,Mut_freq_inv
pHFC_S.pB10-A,1,1.6100000000000007e-18,0.223,29,0,0,295079481.14458805,0.00304925937950183,-17.79317412396815,295079481.14458805,0.00304925937950183,0.9999999999896664,1.0333688291854465e-11,0.009900990099009901,-0.009900990088676212,Decrease
pHFC_S.pB10-A,2,1.939250699816635e-18,0.223,29,0,0,295079481.14453024,0.00367284371796677,-17.71236604316007,295079481.14453024,0.00367284371796677,0.9999999999875531,1.2446964132087827e-11,0.009900990099009901,-0.009900990086562938,Decrease
pHFC_S.pB10-A,3,2.3358343333784694e-18,0.223,29,0,0,295079481.1444533,0.0044239532613832,-17.631557962351987,295079481.1444533,0.0044239532613832,0.9999999999850075,1.499241236347156e-11,0.009900990099009901,-0.00990099008401749,Decrease
pHFC_S.pB10-A,4,2.8135207240123707e-18,0.223,29,0,0,295079481.1443633,0.0053286673656744,-17.550749881543908,295079481.1443633,0.0053286673656744,0.9999999999819417,1.805841377012318e-11,0.009900990099009901,-0.009900990080951487,Decrease
pHFC_S.pB10-A,5,3.3888956726643427e-18,0.223,29,0,0,295079481.14425963,0.00641839870739497,-17.46994180073583,295079481.14425963,0.00641839870739497,0.9999999999782485,2.1751423319459847e-11,0.009900990099009901,-0.009900990077258478,Decrease
pHFC_S.pB10-A,6,4.081936835291891e-18,0.223,29,0,0,295079481.14413035,0.00773098396668948,-17.389133719927745,295079481.14413035,0.00773098396668948,0.9999999999738004,2.6199666396697926e-11,0.009900990099009901,-0.009900990072810235,Decrease
pHFC_S.pB10-A,7,4.916707369221797e-18,0.223,29,0,0,295079481.14397126,0.00931199755877959,-17.308325639119666,295079481.14397126,0.00931199755877959,0.9999999999684425,3.1557590932398106e-11,0.009900990099009901,-0.00990099006745231,Decrease
pHFC_S.pB10-A,8,5.9221914326441295e-18,0.223,29,0,0,295079481.1437888,0.01121633402819868,-17.227517558311582,295079481.1437888,0.01121633402819868,0.9999999999619887,3.8011230005880155e-11,0.009900990099009901,-0.009900990060998672,Decrease
pHFC_S.pB10-A,9,7.133300546710062e-18,0.223,29,0,0,295079481.14356405,0.01351011404825489,-17.146709477503503,295079481.14356405,0.01351011404825489,0.9999999999542154,4.578466112004346e-11,0.009900990099009901,-0.00990099005322524,Decrease
pHFC_S.pB10-A,10,8.592085762242152e-18,0.223,29,0,0,295079481.1432904,0.01627298020414338,-17.065901396695423,295079481.1432904,0.01627298020414338,0.9999999999448522,5.5147786420784076e-11,0.009900990099009901,-0.009900990043862115,Decrease
pHFC_S.pB10-A,11,1.0349197718827803e-17,0.223,29,0,0,295079481.14296293,0.01960086227184966,-16.98509331588734,295079481.14296293,0.01960086227184966,0.9999999999335742,6.642570399888716e-11,0.009900990099009901,-0.009900990032584198,Decrease
pHFC_S.pB10-A,12,1.2465645291166163e-17,0.223,29,0,0,295079481.14257157,0.02360930800639906,-16.90428523507926,295079481.14257157,0.02360930800639906,0.9999999999199901,8.000999565640056e-11,0.009900990099009901,-0.009900990018999906,Decrease
pHFC_S.pB10-A,13,1.501491388481982e-17,0.223,29,0,0,295079481.1420909,0.02843749508812941,-16.82347715427118,295079481.1420909,0.02843749508812941,0.9999999999036276,9.637232306130833e-11,0.009900990099009901,-0.009900990002637578,Decrease
pHFC_S.pB10-A,14,1.808551693094631e-17,0.223,29,0,0,295079481.1415211,0.03425306352622786,-16.742669073463098,295079481.1415211,0.03425306352622786,0.9999999998839192,1.1608080436410912e-10,0.009900990099009901,-0.009900989982929096,Decrease
pHFC_S.pB10-A,15,2.1784069170734915e-17,0.223,29,0,0,295079481.1408393,0.04125793630596641,-16.66186099265502,295079481.1408393,0.04125793630596641,0.9999999998601803,1.3981973989070974e-10,0.009900990099009901,-0.009900989959190162,Decrease
pHFC_S.pB10-A,16,2.6238988437392323e-17,0.223,29,0,0,295079481.1400076,0.04969533037900542,-16.58105291184694,295079481.1400076,0.04969533037900542,0.9999999998315867,1.6841337180966817e-10,0.009900990099009901,-0.00990098993059653,Decrease
pHFC_S.pB10-A,17,3.160495446564847e-17,0.223,29,0,0,295079481.1390091,0.0598582014261823,-16.500244831038856,295079481.1390091,0.0598582014261823,0.9999999997971455,2.0285450273596343e-10,0.009900990099009901,-0.009900989896155399,Decrease
pHFC_S.pB10-A,18,3.806827954359108e-17,0.223,29,0,0,295079481.13780475,0.07209941560439487,-16.419436750230776,295079481.13780475,0.07209941560439487,0.9999999997556611,2.4433896694127337e-10,0.009900990099009901,-0.009900989854670934,Decrease
pHFC_S.pB10-A,19,4.58533774818163e-17,0.223,29,0,0,295079481.1363566,0.0868440014520443,-16.338628669422697,295079481.1363566,0.0868440014520443,0.9999999997056928,2.9430715104977007e-10,0.009900990099009901,-0.00990098980470275,Decrease
pHFC_S.pB10-A,20,5.523055550967034e-17,0.223,29,0,0,295079481.13460827,0.10460390735295842,-16.257820588614614,295079481.13460827,0.10460390735295842,0.999999999645506,3.5449400586467463e-10,0.009900990099009901,-0.009900989744515896,Decrease
pHFC_S.pB10-A,21,6.652539964185691e-17,0.223,29,0,0,295079481.13250566,0.1259957769545794,-16.177012507806534,295079481.13250566,0.1259957769545794,0.9999999995730108,4.2698928579246773e-10,0.009900990099009901,-0.009900989672020615,Decrease
pHFC_S.pB10-A,22,8.013007938574676e-17,0.223,29,0,0,295079481.12997174,0.15176235972303773,-16.096204426998455,295079481.12997174,0.15176235972303773,0.99999999948568985,5.143101074457259e-10,0.009900990099009901,-0.009900989584699794,Decrease
pHFC_S.pB10-A,23,9.651696430134972e-17,0.223,29,0,0,295079481.12692165,0.1827983000339024,-16.01539634619037,295079481.12692165,0.1827983000339024,0.9999999993805115,6.194883467415156e-10,0.009900990099009901,-0.009900989479521555,Decrease
pHFC_S.pB10-A,24,1.1625502519600593e-16,0.223,29,0,0,295079481.1232492,0.220181200225251,-15.934588265382292,295079481.1232492,0.220181200225251,0.999999999253824,7.461759090222594e-10,0.009900990099009901,-0.009900989352833992,Decrease
pHFC_S.pB10-A,25,1.4002958942146322e-16,0.223,29,0,0,295079481.11882335,0.2652090361579451,-15.85378018457421,295079481.11882335,0.2652090361579451,0.9999999991012285,8.987715272983951e-10,0.009900990099009901,-0.009900989200238373,Decrease
pHFC_S.pB10-A,26,1.6866613619913636e-16,0.223,29,0,0,295079481.1134923,0.31944522439457734,-15.77297210376613,295079481.1134923,0.31944522439457734,0.9999999989174264,1.0825734911940238e-9,0.009900990099009901,-0.00990098901643641,Decrease
pHFC_S.pB10-A,27,2.031589581736291e-16,0.223,29,0,0,295079481.107069,0.3847729057820948,-15.69216402295805,295079481.107069,0.3847729057820948,0.9999999986960364,1.303963609522381e-9,0.009900990099009901,-0.009900988795046292,Decrease
pHFC_S.pB10-A,28,2.4470568435542237e-16,0.223,29,0,0,295079481.0993351,0.4634603302280214,-15.611355942149968,295079481.0993351,0.4634603302280214,0.9999999984293713,1.5706287938878365e-9,0.009900990099009901,-0.009900988528381107,Decrease
