SetID,SweepID,gamma_fold,psi_change,gamma_M,psi_M
pHFC_S.pB10-high,1,-4,-0.4,1.5600000000000002e-16,-0.010000000000000009
pHFC_S.pB10-high,2,-3.8,-0.4,2.472433380239338e-16,-0.010000000000000009
pHFC_S.pB10-high,3,-3.6,-0.4,3.918542833154944e-16,-0.010000000000000009
pHFC_S.pB10-high,4,-3.4,-0.4,6.210471860634559e-16,-0.010000000000000009
pHFC_S.pB10-high,5,-3.2,-0.4,9.84293457389101e-16,-0.010000000000000009
pHFC_S.pB10-high,6,-3,-0.4,1.5600000000000001e-15,-0.010000000000000009
pHFC_S.pB10-high,7,-2.8,-0.4,2.472433380239338e-15,-0.010000000000000009
pHFC_S.pB10-high,8,-2.5999999999999996,-0.4,3.918542833154948e-15,-0.010000000000000009
pHFC_S.pB10-high,9,-2.4,-0.4,6.210471860634559e-15,-0.010000000000000009
pHFC_S.pB10-high,10,-2.2,-0.4,9.842934573891011e-15,-0.010000000000000009
pHFC_S.pB10-high,11,-2,-0.4,1.56e-14,-0.010000000000000009
pHFC_S.pB10-high,12,-1.7999999999999998,-0.4,2.4724333802393382e-14,-0.010000000000000009
pHFC_S.pB10-high,13,-1.5999999999999996,-0.4,3.918542833154948e-14,-0.010000000000000009
pHFC_S.pB10-high,14,-1.4,-0.4,6.210471860634558e-14,-0.010000000000000009
pHFC_S.pB10-high,15,-1.1999999999999997,-0.4,9.84293457389102e-14,-0.010000000000000009
pHFC_S.pB10-high,16,-1,-0.4,1.5600000000000002e-13,-0.010000000000000009
pHFC_S.pB10-high,17,-0.7999999999999998,-0.4,2.472433380239338e-13,-0.010000000000000009
pHFC_S.pB10-high,18,-0.5999999999999996,-0.4,3.9185428331549487e-13,-0.010000000000000009
pHFC_S.pB10-high,19,-0.3999999999999999,-0.4,6.210471860634558e-13,-0.010000000000000009
pHFC_S.pB10-high,20,-0.19999999999999973,-0.4,9.84293457389102e-13,-0.010000000000000009
pHFC_S.pB10-high,21,0,-0.4,1.56e-12,-0.010000000000000009
pHFC_S.pB10-high,22,0.20000000000000018,-0.4,2.472433380239338e-12,-0.010000000000000009
pHFC_S.pB10-high,23,0.40000000000000036,-0.4,3.918542833154948e-12,-0.010000000000000009
pHFC_S.pB10-high,24,0.6000000000000005,-0.4,6.210471860634565e-12,-0.010000000000000009
pHFC_S.pB10-high,25,0.8000000000000007,-0.4,9.842934573891032e-12,-0.010000000000000009
pHFC_S.pB10-high,26,1,-0.4,1.56e-11,-0.010000000000000009
pHFC_S.pB10-high,27,1.2000000000000002,-0.4,2.4724333802393383e-11,-0.010000000000000009
pHFC_S.pB10-high,28,1.4000000000000004,-0.4,3.918542833154948e-11,-0.010000000000000009
pHFC_S.pB10-high,29,1.6000000000000005,-0.4,6.210471860634565e-11,-0.010000000000000009
pHFC_S.pB10-high,30,1.8000000000000007,-0.4,9.842934573891031e-11,-0.010000000000000009
pHFC_S.pB10-high,31,2,-0.4,1.56e-10,-0.010000000000000009
pHFC_S.pB10-high,32,2.2,-0.4,2.472433380239338e-10,-0.010000000000000009
pHFC_S.pB10-high,33,2.4000000000000004,-0.4,3.918542833154948e-10,-0.010000000000000009
pHFC_S.pB10-high,34,2.6000000000000005,-0.4,6.210471860634565e-10,-0.010000000000000009
pHFC_S.pB10-high,35,2.8000000000000007,-0.4,9.84293457389103e-10,-0.010000000000000009
pHFC_S.pB10-high,36,3,-0.4,1.56e-9,-0.010000000000000009
pHFC_S.pB10-high,37,3.2,-0.4,2.4724333802393378e-9,-0.010000000000000009
pHFC_S.pB10-high,38,3.4000000000000004,-0.4,3.918542833154948e-9,-0.010000000000000009
pHFC_S.pB10-high,39,3.6000000000000005,-0.4,6.2104718606345645e-9,-0.010000000000000009
pHFC_S.pB10-high,40,3.8000000000000007,-0.4,9.842934573891031e-9,-0.010000000000000009
pHFC_S.pB10-high,41,4,-0.4,1.56e-8,-0.010000000000000009
pHFC_S.pB10-high,42,-4,-0.38,1.5600000000000002e-16,0.010000000000000009
pHFC_S.pB10-high,43,-3.8,-0.38,2.472433380239338e-16,0.010000000000000009
pHFC_S.pB10-high,44,-3.6,-0.38,3.918542833154944e-16,0.010000000000000009
pHFC_S.pB10-high,45,-3.4,-0.38,6.210471860634559e-16,0.010000000000000009
pHFC_S.pB10-high,46,-3.2,-0.38,9.84293457389101e-16,0.010000000000000009
pHFC_S.pB10-high,47,-3,-0.38,1.5600000000000001e-15,0.010000000000000009
pHFC_S.pB10-high,48,-2.8,-0.38,2.472433380239338e-15,0.010000000000000009
pHFC_S.pB10-high,49,-2.5999999999999996,-0.38,3.918542833154948e-15,0.010000000000000009
pHFC_S.pB10-high,50,-2.4,-0.38,6.210471860634559e-15,0.010000000000000009
